rank,song,artist,apple,audiomark,youtube,RT
1,Heartbreaker (feat. Nasty C),Blaqbonez,14,45,10,62.333333333333336
2,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,44,59,15,108.0
3,No Fugazy,Sarkodie,61,1,450,212.0
4,Euphoria,PsychoYP,2,66,450,218.0
5,KOLO (feat. Oxlade),Ice Prince,94,4,450,248.0
6,Mehia Sika (feat. Dead Peepol),ZACK GH,50,58,450,258.0
7,Run The Cheque,D-Truce,73,47,450,270.0
8,Crown Of Clay (feat. Pheelz),Vector,500,2,8,504.6666666666667
9,No Fear (feat. Moliy),M.anifest,500,3,20,509.6666666666667
10,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",500,10,2,510.6666666666667
11,Coachella (feat. Kwesi Arthur),"Sarkodie, Kwesi Arthur",3,510,1,513.3333333333334
12,Best I Ever Had,Nasty C,11,510,6,523.0
13,Breathe (feat. Chike),A-Q,24,510,5,535.6666666666666
14,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,41,510,16,556.3333333333334
15,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",500,48,49,564.3333333333334
16,What You Telling Me,Zilla Oaks,66,510,23,583.6666666666666
17,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz,77,510,14,591.6666666666666
18,Early Momo (feat. Good Girl La),Vector,93,510,11,606.6666666666666
19,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,500,5,450,655.0
20,Every Weekend,DJ Tunez & J. Anthoni,500,6,450,656.0
21,Guala (feat. Maison 2500 & New World Ray),Teezee,500,7,450,657.0
22,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,500,8,450,658.0
23,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,500,9,450,659.0
24,Monster,Vnero feat. Tonez,500,11,450,661.0
25,Somebody (feat. Phyno),Olamide,1,510,450,661.0
26,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,500,12,450,662.0
27,Odeshi,Kwvdwo Pvnch,500,13,450,663.0
28,I Want (feat. Mutoriah),Chris Kaiga,4,510,450,664.0
29,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,500,14,450,664.0
30,Squander (feat. Niniola),Falz,500,15,450,665.0
