rank,song,artist
1,Heartbreaker (feat. Nasty C),Blaqbonez
2,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz
3,No Fugazy,Sarkodie
4,Euphoria,PsychoYP
5,KOLO (feat. Oxlade),Ice Prince
6,Mehia Sika (feat. Dead Peepol),ZACK GH
7,Run The Cheque,D-Truce
8,Crown Of Clay (feat. Pheelz),Vector
9,No Fear (feat. Moliy),M.anifest
10,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur"
11,Coachella (feat. Kwesi Arthur),"Sarkodie, Kwesi Arthur"
12,Best I Ever Had,Nasty C
13,Breathe (feat. Chike),A-Q
14,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur
15,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie"
16,What You Telling Me,Zilla Oaks
17,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz
18,Early Momo (feat. Good Girl La),Vector
19,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik
20,Every Weekend,DJ Tunez & J. Anthoni
21,Guala (feat. Maison 2500 & New World Ray),Teezee
22,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks
23,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle
24,Monster,Vnero feat. Tonez
25,Somebody (feat. Phyno),Olamide
26,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack
27,Odeshi,Kwvdwo Pvnch
28,I Want (feat. Mutoriah),Chris Kaiga
29,"Loose Guard (I See, I Saw)",Legendary Styles & Falz
30,Squander (feat. Niniola),Falz
31,Makaveli,Kida Kudz
32,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd
33,Toxic (feat. Adekunle Gold),Reminisce
34,Attention (feat. Oxlade & Merry-Lynn),PsychoYP
35,Ama,Medikal
36,Feeling,"LADIPOE, Buju"
37,African Knockout,AFRICAN KNOCKOUT x M.I Abaga
38,Oulalalah,Samba Peuzzi
39,Married to the Game,TenTik
40,First Sermon,Black Sherif
41,Action Figure,Gemini Major and AKA
42,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd
43,Jailer (feat. Jaywillz),Olamide
44,Could Have Been Worse,CDQ
45,Intense,"Blackway, Busta Rhymes"
46,Ye X 4,"Blxckie, Nasty C"
47,Roll Call,$pacely
48,Lekki Epe (feat. Vector),Maxino feat. Vector
49,Network,Twist
50,Where You Dey,"Kokopee, Erigga"
