rank,song,artist,apple,audiomark,youtube,boom,RT
1,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp,2,71,51,59,138.75
2,Heartbreaker (feat. Nasty C),Blaqbonez,22,45,8,450,187.5
3,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,60,59,15,450,246.5
4,Euphoria,PsychoYP,12,13,350,50,387.5
5,Omo X 100 ft. Olamide,Reminisce,3,67,350,53,433.25
6,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",27,410,1,6,439.5
7,Best I Ever Had,Nasty C,21,410,5,48,448.0
8,Breathe ft. Chike,A-Q,41,410,4,47,466.75
9,Early Momo ft. Good Girl LA,Vector,86,410,9,11,507.75
10,No Fear (feat. Moliy),M.anifest,400,3,22,450,537.5
11,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",400,10,24,450,546.5
12,Crown Of Clay (feat. Pheelz),Vector,400,2,32,450,546.5
13,KOLO (feat. Oxlade),Ice Prince,87,4,350,450,553.5
14,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,28,73,350,450,563.5
15,First Sermon,Black Sherif,31,72,350,450,565.5
16,Mehia Sika (feat. Dead Peepol),ZACK GH,66,58,350,450,586.5
17,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,57,410,12,450,591.5
18,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",400,48,40,450,600.5
19,Rappers (feat. Dremo),Dreylo feat. Dremo,400,66,25,450,603.5
20,What You Telling Me,Zilla Oaks,75,410,21,450,618.5
21,Check Yourself,Kaptain,400,63,350,4,814.0
22,All My Life (feat. Oxlade),M.I Abaga,64,410,350,9,826.25
23,No Fugazy,Sarkodie,400,1,350,450,863.5
24,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,400,5,350,450,867.5
25,Every Weekend,DJ Tunez & J. Anthoni,400,6,350,450,868.5
26,Guala (feat. Maison 2500 & New World Ray),Teezee,400,7,350,450,869.5
27,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,400,8,350,450,870.5
28,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,400,9,350,450,871.5
29,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,400,11,350,450,873.5
30,Somebody (feat. Phyno),Olamide,1,410,350,450,873.5
31,Odeshi,Kwvdwo Pvnch,400,12,350,450,874.5
32,Jack,Nasty C,400,410,50,63,875.75
33,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,400,14,350,450,876.5
34,Survive (feat. Olamide),Jaido P,4,410,350,450,876.5
35,Squander (feat. Niniola),Falz,400,15,350,450,877.5
36,Loyal,Acebergtm,5,410,350,450,877.5
37,Feeling,"LADIPOE, Buju",6,410,350,450,878.5
38,Toxic (feat. Adekunle Gold),Reminisce,400,16,350,450,878.5
39,Attention (feat. Oxlade & Merr,ynn) - PsychoYP,400,17,350,450,879.5
40,Makola Dreams (feat. M.anifest),Omar Sterling,7,410,350,450,879.5
41,African Knockout,AFRICAN KNOCKOUT x M.I Abaga,400,18,350,450,880.5
42,Decisions (feat. Sean Lifer),Jay Bahd,8,410,350,450,880.5
43,Oulalalah,Samba Peuzzi,400,19,350,450,881.5
44,"Akata Gang Gang (feat. O\'Kenneth, Pappy Kojo, Skyface SDW, Kawabanga & Jay Bahd)",Reggie,9,410,350,450,881.5
45,Action Figure,Gemini Major and AKA,400,20,350,450,882.5
46,Missing You,Dead Peepol,10,410,350,450,882.5
47,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd,400,21,350,450,883.5
48,Bigger Picture,Thutmose,11,410,350,450,883.5
49,Could Have Been Worse,CDQ,400,22,350,450,884.5
50,Intense,"Blackway, Busta Rhymes",400,23,350,450,885.5
51,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.]",Loti,13,410,350,450,885.5
52,Roll Call,$pacely,400,24,350,450,886.5
53,Korope,"Lil Kesh, Naira Marley",14,410,350,450,886.5
54,50 Miss Calls (Drill Mix),"Tony Ross, JoeBoy, Layzee Ellai",15,410,350,450,887.5
55,Lekki Epe (feat. Vector),Maxino feat. Vector,400,25,350,450,887.5
56,Where You Dey,"Kokopee, Erigga",400,26,350,450,888.5
57,Yaya Tour\xc3\xa9,Yung Mavu,16,410,350,450,888.5
58,EVERYWHERE (feat. Buju),Straffitti featuring Buju,400,27,350,450,889.5
59,One Time (feat. Lioness),Willy Monfret,17,410,350,450,889.5
60,I Want (feat. Mutoriah),Chris Kaiga,18,410,350,450,890.5
61,Don't Worry (feat. Emtee),Just G featuring Emtee,400,28,350,450,890.5
62,Ye X 4,"Blxckie, Nasty C",19,410,350,450,891.5
63,Flex and Ball (feat. Azanti & Lyta),PsychoYP,400,29,350,450,891.5
64,Makaveli,Kida Kudz,20,410,350,450,892.5
65,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur,400,30,350,450,892.5
66,Three,Kweku Lee,400,31,350,450,893.5
67,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo,400,32,350,450,894.5
68,Jailer (feat. Jaywillz),Olamide,23,410,350,450,895.5
69,Bourdillon Love (feat. Three),Studio Magic x Fresh L,400,33,350,450,895.5
70,Drive By (Fivio Freestyle),So$aVelli,400,34,350,450,896.5
71,Stay With Me,Layzee Ella,24,410,350,450,896.5
72,Gidi Flex,KingJayy,25,410,350,450,897.5
73,Dawgi (feat. Sarkodie),Amerado,400,35,350,450,897.5
74,Eyes off Me,Stella Mwangi,26,410,350,450,898.5
75,Go Down,Bucky Raw,400,36,350,450,898.5
76,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma,400,37,350,450,899.5
77,We Move (Freestyle),Stonebwoy,400,38,350,450,900.5
78,Ama,Medikal,29,410,350,450,901.5
79,Like Dat (feat. PsychoYP),Skillz 8Figure,400,39,350,450,901.5
80,Married to the Game,TenTik,30,410,350,450,902.5
81,Use to this,Marvy feat. Psycho YP,400,40,350,450,902.5
82,TikTok Girl (feat. Kofi Mole),Kwasi Yesu,400,41,350,450,903.5
83,Network,Twist,32,410,350,450,904.5
84,Justice,KayMad,400,42,350,450,904.5
