rank,song,artist,apple,audiomark,youtube,boom,spotify,RT
1,Omo X 100 ft. Olamide,Reminisce,1,68,5,2,420,99.2
2,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp,2,71,2,24,420,103.8
3,Breathe,A-Q,51,410,6,45,63,115.0
4,Jack,Nasty C,3,410,1,42,420,175.2
5,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",36,410,4,7,420,175.4
6,Early Momo ft. Good Girl LA,Vector,90,410,27,10,420,191.4
7,Heartbreaker (feat. Nasty C),Blaqbonez,31,47,26,450,420,194.8
8,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,71,61,48,450,420,210.0
9,Euphoria,PsychoYP,17,1,350,450,420,247.6
10,Check Yourself,Kaptain,400,65,350,3,420,247.6
11,All My Life (feat. Oxlade),M.I Abaga,75,410,350,13,420,253.6
12,Crown Of Clay (feat. Pheelz),Vector,400,3,10,450,420,256.6
13,Rappers (feat. Dremo),Dreylo feat. Dremo,400,13,30,450,420,262.6
14,KOLO (feat. Oxlade),Ice Prince,91,5,350,450,420,263.2
15,No Fear (feat. Moliy),M.anifest,400,4,44,450,420,263.6
16,My Crew (feat. Lil5ive),Kiiwii,37,70,350,450,420,265.4
17,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",400,11,50,450,420,266.2
18,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,38,73,350,450,420,266.2
19,First Sermon,Black Sherif,41,72,350,450,420,266.6
20,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",400,50,35,450,420,271.0
21,Mehia Sika (feat. Dead Peepol),ZACK GH,77,60,350,450,420,271.4
22,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,68,410,31,450,420,275.8
23,Feel,Mrolaide ,400,410,350,1,420,316.2
24,Dimension ft. Skepta & Rema,Jae5,400,410,350,4,420,316.8
25,Koleyewon,Naira Marley,400,410,350,5,420,317.0
26,Many Nites,Erigga,400,410,350,6,420,317.2
27,Dick Appointment,Erigga,400,410,350,8,420,317.6
28,Wahala Dey,Erigga,400,410,350,9,420,317.8
29,LV N ATTN feat. Wizkid ft. Sarz & Wizkid,Lojay,400,410,350,11,420,318.2
30,Late At Night,Roddy Ricch,400,410,350,12,420,318.4
31,For the Money ft. Peruzzi,Phyno,400,410,350,14,420,318.8
32,Ego ft. Jeriq,Dremo,400,410,350,15,420,319.0
33,I No Wear Pant,Erigga,400,410,350,16,420,319.2
34,Voice of the Heroes ft. Lil Durk,LiL Baby,400,410,350,17,420,319.4
35,The End,Erigga,400,410,350,18,420,319.6
36,East To West ft. Jeriq,Dremo,400,410,350,19,420,319.8
37,Dior,Pop Smoke,400,410,350,20,420,320.0
38,Stay High,Juice WRLD,400,410,350,21,420,320.2
39,Dont Die Alive,Erigga,400,410,350,22,420,320.4
40,Mood Swings ft. Lil Tjay,Pop Smoke,400,410,350,23,420,320.6
41,LET IT GO ft. Justin Bieber & 21 Savage,DJ Khaled,400,410,350,25,420,321.0
42,Problem,Kaptain,400,410,350,26,420,321.2
43,Having Our Way ft. Drake,Migos,400,410,350,27,420,321.4
44,Rich Off Pain ft. Lil Durk & Rod Wave,LiL Baby,400,410,350,28,420,321.6
45,Wishing Well,Juice WRLD,400,410,350,29,420,321.8
46,Ball If I Want To,DaBaby,400,410,350,30,420,322.0
47,With My Hands,"Sinach, Micah Stampley",400,410,350,450,1,322.2
48,RAPSTAR,POLO G,400,410,350,31,420,322.2
49,Secure The Bag ft. Jeriq,Dremo,400,410,350,32,420,322.4
50,Ndenzel' Uncedo Hymn 377 - Live,Joyous Celebration,400,410,350,450,2,322.4
51,Bulie,Preye Odede,400,410,350,450,3,322.6
52,Hats Off ft. Lil Durk & Travis Scott,LiL Baby,400,410,350,33,420,322.6
53,Imakwa ft. Jeriq,Dremo,400,410,350,34,420,322.8
54,Jesus Never Fails,MaryJane Nweke,400,410,350,450,4,322.8
55,Jollof Rice ft. Duncan Mighty,Erigga,400,410,350,35,420,323.0
56,The Great Shepherd,Dr Tumi,400,410,350,450,5,323.0
57,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone",Tion Wayne,400,410,350,36,420,323.2
58,Make a Way - Live,Spirit Of Praise,400,410,350,450,6,323.2
59,The Lord Is My Sheperd,Kgotso,400,410,350,450,7,323.4
60,Up,Cardi B,400,410,350,37,420,323.4
61,The Woo ft. 50 Cent & Roddy Ricch,Pop Smoke,400,410,350,38,420,323.6
62,Days of Elijah - Live,Joyous Celebration,400,410,350,450,8,323.6
63,Robbery,Juice WRLD,400,410,350,39,420,323.8
64,Way Maker,Sinach,400,410,350,450,9,323.8
65,Tonongo ft. Sarz,Lojay,400,410,350,40,420,324.0
66,We Raise a Sound,Nosa,400,410,350,450,10,324.0
67,Jesus Is Enough,Xolly Mncwango,400,410,350,450,11,324.2
68,For The Night ft. Lil Baby & DaBaby,Pop Smoke,400,410,350,41,420,324.2
69,Jehovah Is Your Name (Live),Ntokozo Mbambo,400,410,350,450,12,324.4
70,No Fugazy,Sarkodie,400,2,350,450,420,324.4
71,How to Love,Folabi Nuel,400,410,350,450,13,324.6
72,Oliver Twist,ArrDee,400,410,350,43,420,324.6
73,Love My Home,Sinach,400,410,350,450,14,324.8
74,Fans,2jaja,400,410,350,44,420,324.8
75,OMG (feat. JJ Hairston),Tim Godfrey,400,410,350,450,15,325.0
76,734,Juice WRLD,400,410,350,46,420,325.2
77,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,400,6,350,450,420,325.2
78,No Void,Onos,400,410,350,450,16,325.2
79,Faithful,Kingdmusic,400,410,350,450,17,325.4
80,Toosie Slide,Drake,400,410,350,47,420,325.4
81,Every Weekend,DJ Tunez & J. Anthoni,400,7,350,450,420,325.4
82,Guala (feat. Maison 2500 & New World Ray),Teezee,400,8,350,450,420,325.6
83,Adom Grace,Diana Hamilton,400,410,350,450,18,325.6
84,Thot Shit,Megan Thee Stallion,400,410,350,48,420,325.6
85,I Need To Worship,Kgotso,400,410,350,450,19,325.8
86,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,400,9,350,450,420,325.8
87,Fame & Riches ft. Roddy Ricch,POLO G,400,410,350,49,420,325.8
88,In Love ft. Satyango,Kaptain,400,410,350,50,420,326.0
89,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,400,10,350,450,420,326.0
90,Ti Oluwa ni ile,Ade Jones,400,410,350,450,20,326.0
91,All Girls Are The Same,Juice WRLD,400,410,350,51,420,326.2
92,Itshokwadi - Live,Joyous Celebration,400,410,350,450,21,326.2
93,Monster,Vnero feat. Tonez,400,12,350,450,420,326.4
94,Big God,Joyous Celebration,400,410,350,450,22,326.4
95,SIR BAUDELAIRE ft. DJ Drama,"Tyler, The Creator",400,410,350,52,420,326.4
96,Easy to Love,Folu,400,410,350,450,23,326.6
97,Laugh Now Cry Later ft. Lil Durk,Drake,400,410,350,53,420,326.6
98,Survive (feat. Olamide),Jaido P,4,410,350,450,420,326.8
99,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,400,14,350,450,420,326.8
100,The Box,Roddy Ricch,400,410,350,54,420,326.8
101,Atmosphere,Khaya Mthethwa,400,410,350,450,24,326.8
102,Shedi Bala Bala,Dj Basplit,400,410,350,55,420,327.0
103,Odeshi,Kwvdwo Pvnch,400,15,350,450,420,327.0
104,Question For the Gods (feat. M.anifest),M3NSA,5,410,350,450,420,327.0
105,Amen,Ladysmith Black Mambazo,400,410,350,450,25,327.0
106,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,400,16,350,450,420,327.2
107,Gbese Gbese,Kaptain,400,410,350,56,420,327.2
108,Loyal,Acebergtm,6,410,350,450,420,327.2
109,Olori Oko,Infinity,400,410,350,450,26,327.2
110,Open Up,Dunsin Oyekan,400,410,350,450,27,327.4
111,Somebody (feat. Phyno),Olamide,7,410,350,450,420,327.4
112,Squander (feat. Niniola),Falz,400,17,350,450,420,327.4
113,Fvck boy (selah) ft. Jay rhymes & killertunes,Yunderscoreblack,400,410,350,57,420,327.4
114,Feeling,"LADIPOE, Buju",8,410,350,450,420,327.6
115,Praise Medley,Ronke Adesokan,400,410,350,450,28,327.6
116,Many Men (Wish Death),50 Cent,400,410,350,58,420,327.6
117,Toxic (feat. Adekunle Gold),Reminisce,400,18,350,450,420,327.6
118,Mockingbird,Eminem,400,410,350,59,420,327.8
119,Ye X 4,"Blxckie, Nasty C",9,410,350,450,420,327.8
120,Attention (feat. Oxlade & Merr,ynn) - PsychoYP,400,19,350,450,420,327.8
121,Blessed,Akesse Brempong,400,410,350,450,29,327.8
122,Westside Story ft. 50 Cent,The Game,400,410,350,60,420,328.0
123,African Knockout,AFRICAN KNOCKOUT x M.I Abaga,400,20,350,450,420,328.0
124,Makola Dreams (feat. M.anifest),Omar Sterling,10,410,350,450,420,328.0
125,Bow Down and Worship,Benjamin Dube,400,410,350,450,30,328.0
126,Most High - African Worship Medley/Live,Uche Agu,400,410,350,450,31,328.2
127,Dear Mama,2Pac,400,410,350,61,420,328.2
128,Oulalalah,Samba Peuzzi,400,21,350,450,420,328.2
129,Decisions (feat. Sean Lifer),Jay Bahd,11,410,350,450,420,328.2
130,Action Figure,Gemini Major and AKA,400,22,350,450,420,328.4
131,"Akata Gang Gang (feat. O\'Kenneth, Pappy Kojo, Skyface SDW, Kawabanga & Jay Bahd)",Reggie,12,410,350,450,420,328.4
132,Strong Tower,Mercy Chinwo,400,410,350,450,32,328.4
133,Song Cry,JAY-Z,400,410,350,63,420,328.6
134,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd,400,23,350,450,420,328.6
135,Missing You,Dead Peepol,13,410,350,450,420,328.6
136,Uzugcin'impilo Yam',Bucy Radebe,400,410,350,450,33,328.6
