rank,song,artist,Previous week,weeks on chart
1,Tycoon,Show Dem Camp,5,4
2,Jack,Nasty C,1,5
3,Coachella (feat. Kwesi Arthur),"Sarkodie, Kwesi Arthur",2,5
4,Vibration,"Sarkodie, VIC MENSA",13,5
5,Heartbreaker (feat. Nasty C),Blaqbonez,3,2
6,Omo X 100 ft. Olamide,Reminisce,4,5
7,Euphoria,PsychoYP,6,5
8,Crown Of Clay (feat. Pheelz),Vector,7,5
9,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",8,5
10,First Sermon,Black Sherif,9,5
11,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,12,5
12,Align ft. LadiPoe,Show Dem Camp,15,5
13,Feeling,"LADIPOE, Buju",14,2
14,All My Life (feat. Oxlade),M.I Abaga,17,2
15,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp featuring Tomi Thomas,11,2
16,Best I Ever Had,Nasty C,18,3
17,Sinner,"Smallgod, Headie One, O'Kenneth",21,5
18,My Crew (feat. Lil5ive),Kiiwii,20,2
19,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,22,4
20,Breathe (feat. Chike),A-Q,10,5
21,Check Yourself,Kaptain,23,2
22,Vipers ft. Jesse Jagz & Tomi Thomas,Show Dem Camp,37,4
23,Early Momo (feat. Good Girl La),Vector,16,3
24,Second Sermon,Black Sherif,0,1
25,Question For The Gods,M3NSA,24,2
26,TBDK (feat. Sinzu & Erigga),M.I Abaga,26,2
27,Midf (Money I Dey Find),Ycee,25,2
28,KOLO (feat. Oxlade),Ice Prince,19,3
29,Rappers (feat. Dremo),Dreylo feat. Dremo,28,3
30,Black And White,Nasty C,27,3
31,No Fear (feat. Moliy),M.anifest,30,2
32,East To West ft. Jeriq,Dremo,29,2
33,Forever,Frank Casino,0,1
34,Hmm,G4 Boyz,31,2
35,Decisions,Jay Bahd,33,2
36,Ye x4,Blxckie,34,2
37,THE 5 YEAR PLAN,A-Reece,32,2
38,Wavy (feat. Sarkodie),Khaligraph Jones,36,2
39,"Kubo (feat. Bassie, Focalistic & K.O.)","Kwesta featuring K.O, Focalistic and Bassie",39,3
40,Deep In Da Streets,TNT Kenya,35,2
41,"Loose Guard (I See, I Saw) (Remix)",Legendary Styles & Falz,38,2
42,Hustlers Prayer (feat. A-Reece),25K,0,1
43,DKM (Ma Pa Mi),Loti,40,3
44,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,43,2
45,I Want,Chris Kaiga,42,2
46,RBG,Elzo Jamdong,44,2
47,Ama,Medikal,45,2
48,Nikwa Ni Shoke,Khaligraph Jones,46,2
49,Long Way,Emtee,47,2
50,W.A.G (feat. Sarkodie & Youssoupha),Rouge,48,3
