rank,song,artist,apple,audiomark,youtube,boom,spotify,deezer,RT
1,Tycoon,Show Dem Camp,40,9,350,48,64,26,89.5
2,Crown Of Clay (Remix),"Vector,  Khaligraph Jones and  Dip Doundou Guiss",80,6,7,450,66,24,105.5
3,Second Sermon,Black Sherif,20,410,350,18,8,4,135.0
4,Jack,Nasty C,400,410,3,21,5,6,140.83333333333334
5,Wonder,Dremo,46,86,350,53,420,19,162.33333333333334
6,Vibration,Sarkodie and  VIC MENSA,68,410,1,450,29,25,163.83333333333334
7,Sore,"Yaw Tog, Stormzy & Kwesi Arthur",400,14,5,450,23,330,203.66666666666666
8,Coachella,Sarkodie,400,410,350,45,39,18,210.33333333333334
9,Heartbreaker (feat. Nasty C),Blaqbonez,400,50,22,450,31,330,213.83333333333334
10,Euphoria,PsychoYP,400,2,350,450,40,50,215.33333333333334
11,Purple rain,Laime,28,410,6,450,420,20,222.33333333333334
12,Best I Ever Had,Nasty C,400,410,16,450,27,32,222.5
13,First Sermon,Black Sherif,400,75,350,450,24,44,223.83333333333334
14,If Its On,Silverstone Barz,63,85,350,450,420,23,231.83333333333334
15,Lazarus (feat. Boj),Dave,400,410,350,28,18,330,256.0
16,Align ft. LadiPoe,Show Dem Camp featuring LadiPoe,400,5,350,32,420,330,256.1666666666667
17,Check Yourself,Kaptain,400,68,350,11,420,330,263.1666666666667
18,Early Momo ft. Good Girl LA,Vector,400,410,31,14,420,330,267.5
19,Non Living Thing feat. Oxlade,Sarkodie,82,410,350,15,420,330,267.8333333333333
20,Feeling,LADIPOE,400,410,350,450,2,1,268.8333333333333
21,All My Life (feat. Oxlade),M.I Abaga,400,410,350,20,420,22,270.3333333333333
22,Midf (Money I Dey Find),Ycee,400,410,19,450,17,330,271.0
23,No Fear (feat. Moliy),M.anifest,400,4,24,450,420,330,271.3333333333333
24,KOLO (feat. Oxlade),Ice Prince ,400,7,350,450,420,3,271.6666666666667
25,Rappers (feat. Dremo),Dreylo feat. Dremo,400,16,15,450,420,330,271.8333333333333
26,Black And White,Nasty C,400,410,34,450,12,330,272.6666666666667
27,HEATHROW   ,Droxx and  Mo'gunz,30,61,350,450,420,330,273.5
28,Up,Finedope,98,410,350,34,420,330,273.6666666666667
