rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Crown Of Clay (Remix) (feat. Ashs The Best),Dip Doundou Guiss,2,2,2,2,2,2,2,2.0
2,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp,3,3,3,3,3,3,3,3.0
3,Jack (Visualizer),Nasty C,4,4,4,4,4,4,4,4.0
4,From Dusk Till Dawn (Official Audio),25K,5,5,5,5,5,5,5,5.0
5,Sore (Remix),Yaw Tog,6,6,6,6,6,6,6,6.0
6,Purple rain (feat. PsychoYP),Laime,7,7,7,7,7,7,7,7.0
7,Crown Of Clay (feat. Pheelz),M.I Abaga,8,8,8,8,8,8,8,8.0
8,,ThisisAQ,9,9,9,9,9,9,9,9.0
9,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major,10,10,10,10,10,10,10,10.0
10,Steve Biko,Nasty C,11,11,11,11,11,11,11,11.0
11,City of Kings,PsychoYP,12,12,12,12,12,12,12,12.0
12,TBDK (feat. Erigga & Sinzu),M.I Abaga,13,13,13,13,13,13,13,13.0
13,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz,14,14,14,14,14,14,14,14.0
14,Class Clown,TNT Kenya,15,15,15,15,15,15,15,15.0
15,Rappers (feat. Dremo),Dreylo,16,16,16,16,16,16,16,16.0
16,Best I Ever Had,Nasty C,17,17,17,17,17,17,17,17.0
17,Rap Messiah,LADIPOE,18,18,18,18,18,18,18,18.0
18,Die There (Hustle),Illbliss,19,19,19,19,19,19,19,19.0
19,Midf (Money I Dey Find),Ycee,20,20,20,20,20,20,20,20.0
20,Casino,Sho Madjozi,21,21,21,21,21,21,21,21.0
21,A,Jesse Jagz,22,22,22,22,22,22,22,22.0
22,Heartbreaker (feat. Nasty C),Blaqbonez,23,23,23,23,23,23,23,23.0
23,"Kubo (Feat. K.O, Focalistic & Bassie) (Official Music Video)",Kwesta,24,24,24,24,24,24,24,24.0
24,No Fear (feat. Moliy),M.anifest and VIC MENSA,25,25,25,25,25,25,25,25.0
25,Truth (feat. Lil Zara),Emtee,26,26,26,26,26,26,26,26.0
26,Champagne Already?,LADIPOE,27,27,27,27,27,27,27,27.0
27,KHALIGRAPH JONES x SARKODIE,khaligraph jones ria,28,28,28,28,28,28,28,28.0
28,BLACK,Shane Eagle,29,29,29,29,29,29,29,29.0
29,The Live Report,AQ,30,30,30,30,30,30,30,30.0
30,1 of 1,Cassper Nyovest,31,31,31,31,31,31,31,31.0
31,40 Bars (feat. Emtee & DJ Capital),Emtee,32,32,32,32,32,32,32,32.0
32,Early Momo (feat. Good Girl La),Vector,33,33,33,33,33,33,33,33.0
33,Call Me Baby,Cheque,34,34,34,34,34,34,34,34.0
34,Shut Up,Blaqbonez,35,35,35,35,35,35,35,35.0
35,Black And White,Nasty C,36,36,36,36,36,36,36,36.0
36,La Hustle remix ft. Criss Wadde & Joey B (Official Video),Medikal,37,37,37,37,37,37,37,37.0
37,Emtee,Nasty C,38,38,38,38,38,38,38,38.0
38,That Year (feat. Sir Dauda),Show Dem Camp,39,39,39,39,39,39,39,39.0
39,STFU,Dremo,40,40,40,40,40,40,40,40.0
40,Blessing,VIC MENSA,41,41,41,41,41,41,41,41.0
41,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite,42,42,42,42,42,42,42,42.0
42,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz,43,43,43,43,43,43,43,43.0
43,What You Telling Me,Zilla Oaks,44,44,44,44,44,44,44,44.0
44,Big Brother,Blaqbonez,45,45,45,45,45,45,45,45.0
45,AcebergTM,Acebergtm,46,46,46,46,46,46,46,46.0
46,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,47,47,47,47,47,47,47,47.0
47,The Target,Medikal,48,48,48,48,48,48,48,48.0
48,Jiggy Bop,Alpha P,49,49,49,49,49,49,49,49.0
49,Sarkodie,Sarkodie,1,1,1,1,201,201,1,58.142857142857146
50,Vibration (feat. VIC MENSA),Sarkodie,201,201,201,201,1,1,201,143.85714285714286
