rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp,2,2,2,2,2,2,2,2.0
2,Jack (Visualizer),Nasty C,3,3,3,3,3,3,3,3.0
3,Crown Of Clay (feat. Pheelz),M.I Abaga,4,4,4,4,4,4,4,4.0
4,Sore (Remix),Yaw Tog,5,5,5,5,5,5,5,5.0
5,Coachella (feat. Kwesi Arthur),Sarkodie,6,6,6,6,6,6,6,6.0
6,Breathe (feat. Chike),A-Q,7,7,7,7,7,7,7,7.0
7,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major,8,8,8,8,8,8,8,8.0
8,TBDK (feat. Erigga & Sinzu),M.I Abaga,9,9,9,9,9,9,9,9.0
9,Steve Biko,Nasty C,10,10,10,10,10,10,10,10.0
10,Best I Ever Had,Nasty C,11,11,11,11,11,11,11,11.0
11,City of Kings,PsychoYP,12,12,12,12,12,12,12,12.0
12,Class Clown,TNT Kenya,13,13,13,13,13,13,13,13.0
13,Rappers (feat. Dremo),Dreylo,14,14,14,14,14,14,14,14.0
14,The Target,Medikal,15,15,15,15,15,15,15,15.0
15,Rap Messiah,Ladipoe,16,16,16,16,16,16,16,16.0
16,Truth (feat. Lil Zara),Emtee,17,17,17,17,17,17,17,17.0
17,Champagne Already?,LADIPOE,18,18,18,18,18,18,18,18.0
18,BLACK,Shane Eagle,19,19,19,19,19,19,19,19.0
19,1 of 1,Cassper Nyovest,20,20,20,20,20,20,20,20.0
20,Die There (Hustle),Illbliss,21,21,21,21,21,21,21,21.0
21,Midf (Money I Dey Find),Ycee,22,22,22,22,22,22,22,22.0
22,KHALIGRAPH JONES x SARKODIE,khaligraph jones ria,23,23,23,23,23,23,23,23.0
23,STFU,Dremo,24,24,24,24,24,24,24,24.0
24,Casino,Sho Madjozi,25,25,25,25,25,25,25,25.0
25,"Kubo (feat. Bassie, Focalistic & K.O.)",Kwesta,26,26,26,26,26,26,26,26.0
26,What You Telling Me,Zilla Oaks,28,28,28,28,28,28,28,28.0
27,The Live Report,AQ,29,29,29,29,29,29,29,29.0
28,Heartbreaker (feat. Nasty C),Blaqbonez,30,30,30,30,30,30,30,30.0
29,AcebergTM,Acebergtm,31,31,31,31,31,31,31,31.0
30,Early Momo (feat. Good Girl La),Vector,32,32,32,32,32,32,32,32.0
31,Own Your Throne,Boity,33,33,33,33,33,33,33,33.0
32,40 Bars (feat. Emtee),Emtee,34,34,34,34,34,34,34,34.0
33,Glory,Nyashinski,35,35,35,35,35,35,35,35.0
34,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,36,36,36,36,36,36,36,36.0
35,Shut Up,Blaqbonez,37,37,37,37,37,37,37,37.0
36,Big Brother,Blaqbonez,38,38,38,38,38,38,38,38.0
37,Black And White,Nasty C,39,39,39,39,39,39,39,39.0
38,A,Jesse Jagz,40,40,40,40,40,40,40,40.0
39,Emtee,Nasty C,41,41,41,41,41,41,41,41.0
40,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz,42,42,42,42,42,42,42,42.0
41,Jiggy Bop,Alpha P,43,43,43,43,43,43,43,43.0
42,La Hustle remix ft. Criss Wadde & Joey B (Official Video),Medikal,44,44,44,44,44,44,44,44.0
43,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz,45,45,45,45,45,45,45,45.0
44,ON MY JOB (feat. PsychoYP),Sipho the Gift,46,46,46,46,46,46,46,46.0
45,That Year (feat. Sir Dauda),Show Dem Camp,47,47,47,47,47,47,47,47.0
46,No Fear (feat. Moliy),M.anifest and VIC MENSA,48,48,48,48,48,48,48,48.0
47,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite,49,49,49,49,49,49,49,49.0
48,Mainland to Island,Oladips,50,50,50,50,50,50,50,50.0
49,Stonebwoy,Stonebwoy,27,27,27,27,27,201,201,76.71428571428571
50,Vibration (feat. VIC MENSA),Sarkodie,201,201,201,1,1,1,1,86.71428571428571
51,Sarkodie,Sarkodie,1,1,1,201,201,201,201,115.28571428571429
52,Blessing,VIC MENSA,201,201,201,201,201,27,27,151.28571428571428
