rank,song,artist,R1,R2,R3,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1
2,Rock,Olamide,3,2,2,2.333333333
3,Bounce,Ruger,2,3,3,2.666666667
4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",4,4,5,4.333333333
5,Bling (feat. Amaarae & Buju),Blaqbonez,5,5,6,5.333333333
6,Dimension (feat. Skepta & Rema),JAE5,6,7,7,6.666666667
7,Coming,"Naira Marley, Busiswa",8,8,8,8
8,Kilometre,Burna Boy,9,9,9,9
9,m y . l i f e,"J. Cole, 21 Savage, Morray",7,10,13,10
10,Show Me,Joeboy,11,11,10,10.66666667
11,History,"Cheque, Fireboy DML",12,13,12,12.33333333
12,Essence (feat. Tems),Wizkid,13,14,11,12.66666667
13,a m a r i,J. Cole,10,12,16,12.66666667
14,Forever (Remix),"Gyakie, Omah Lay",16,15,14,15
15,Pronto,"Ajebo Hustlers, Omah Lay",17,16,15,16
16,Felony,CKay,18,17,17,17.33333333
17,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",15,18,21,18
18,Focus,Joeboy,19,20,18,19
19,9 5 . s o u t h,J. Cole,14,19,26,19.66666667
20,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",20,21,19,20
21,Somebody Baby,"Davido, Peruzzi",21,22,20,21
22,It Is What It Is,Adekunle Gold,22,23,22,22.33333333
23,La La (feat. CKay),Davido,25,24,23,24
24,Loved By You (feat. Burna Boy),Justin Bieber,24,25,27,25.33333333
25,Ginger (feat. Burna Boy),Wizkid,28,26,25,26.33333333
26,Bounse,Rema,26,27,28,27
27,Southy Love (feat. Fireboy DML),Peruzzi,29,28,24,27
28,Running (To You),"Chike, Simi",30,29,29,29.33333333
29,a p p l y i n g . p r e s s u r e,J. Cole,23,30,37,30
30,World,"Dangbana Republik, Bella Shmurda",33,31,30,31.33333333
31,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,37,32,31,33.33333333
32,Peaches (feat. Daniel Caesar & GIVON),Justin Bieber,35,33,33,33.66666667
33,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",27,34,43,34.66666667
34,Outside,Buju,97,6,4,35.66666667
35,FOR YOU (feat. Davido),Teni,39,35,35,36.33333333
36,KOLO (feat. Oxlade),Ice Prince,40,37,32,36.33333333
37,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",34,38,39,37
38,Early Momo (feat. GoodGirl LA),Vector,42,36,34,37.33333333
39,Rush,"Dangbana Republik, Bella Shmurda",41,39,36,38.66666667
40,Commitment Issues,Central Cee,38,42,40,40
41,1 0 0 . m i l ,"J. Cole, Bas",31,40,50,40.33333333
42,i n t e r l u d e,J. Cole,32,41,49,40.66666667
43,23,Burna Boy,43,43,41,42.33333333
44,The Best (feat. Mayorkun),Davido,47,46,38,43.66666667
45,High Way,"DJ Kaywise, Phyno",46,45,42,44.33333333
46,p u n c h i n  . t h e . c l o c k,J. Cole,36,44,54,44.66666667
47,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,48,48,45,47
48,Fendi (feat. Joeboy),Blaqbonez,45,47,52,48
49,Kilofeshe,Zinoleesky,52,49,44,48.33333333
50,Godly,Omah Lay,49,50,47,48.66666667
51,INJURE ME,Teni,51,51,46,49.33333333
52,KPK (Ko Por Ke),"Rexxie, MohBad",53,52,48,51
53,Too Correct,"Crayon, Rema",50,53,51,51.33333333
54,t h e . c l i m b . b a c k,J. Cole,44,55,65,54.66666667
55,Okwaraji,Blaqbonez,55,56,53,54.66666667
56,Cash App,"Bella Shmurda, Zlatan, Lincoln",57,54,56,55.66666667
57,Way Too Big,Burna Boy,60,57,55,57.33333333
58,Verified (feat. Mayorkun),Laycon,59,58,60,59
59,Reckless,Wizkid,63,59,58,60
60,Bank on It,Burna Boy,62,60,59,60.33333333
61,Runaway,AURORA,61,62,62,61.66666667
62,Jowo,Davido,66,63,57,62
63,Loco (feat. Mayorkun),KDDO,64,61,66,63.66666667
64,h u n g e r . o n . h i l l s i d e,"J. Cole, Bas",54,66,74,64.66666667
65,Abu Dhabi,Ruger,69,64,61,64.66666667
66,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",65,68,64,65.66666667
67,Infinity (feat. Omah Lay),Olamide,70,67,63,66.66666667
68,Straightenin,Migos,58,65,79,67.33333333
69,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,68,70,68,68.66666667
70,c l o s e,J. Cole,56,69,82,69
71,Real Life (feat. Stormzy),Burna Boy,73,71,69,71
72,Door,"Joeboy, Kwesi Arthur",74,75,67,72
73,Body,"Russ Millions, Tion Wayne",71,74,72,72.33333333
74,No Stress,Wizkid,75,72,70,72.33333333
75,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,72,73,75,73.33333333
76,Longtime (feat. Skepta),Wizkid,77,76,71,74.66666667
77,Cho Cho (feat. Davido & Mayorkun),Zlatan,78,77,78,77.66666667
78,RAPSTAR,Polo G,81,84,73,79.33333333
79,Away,Ayra Starr,79,81,80,80
80,Beamer Body,"KDDO, Davido",80,83,77,80
81,Sweet One,Wizkid,82,78,83,81
82,Holy Ground (feat. Nicki Minaj),Davido,84,86,76,82
83,Koleyewon,Naira Marley,83,85,81,83
84,His & Hers (feat. Gunna),"Internet Money, Don Toliver, Lil Uzi Vert",76,79,97,84
85,Loading (feat. Bad Boy Timz),Olamide,87,80,86,84.33333333
86,Mighty Wine,Wizkid,89,82,84,85
87,True Love (feat. Tay Iwar & Projexx),Wizkid,85,87,87,86.33333333
88,Calling My Phone,"Lil Tjay, 6LACK",86,89,89,88
89,Ruger,Ruger,93,88,85,88.66666667
90,Focus Beat Dance,Hagman,67,101,101,89.66666667
91,Damages,Tems,91,91,88,90
92,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,92,90,94,92
93,Mood Swings (feat. Lil Tjay),Pop Smoke,94,92,92,92.66666667
94,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,90,95,93,92.66666667
95,Piece of Me (feat. Ella Mai),Wizkid,96,93,90,93
96,Sere (Remix),"Spinall, Fireboy DML, 6LACK",88,94,98,93.33333333
97,Bad Influence,Omah Lay,100,97,91,96
98,Your Body,Mayorkun,98,98,96,97.33333333
99,World (Alternate Cut),"Dangbana Republik, Bella Shmurda",95,96,101,97.33333333
100,Onyeka (Baby),Burna Boy,95,101,101,99
