rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1,1,1,1,1
2,Rock,Olamide,2,2,2,2,2,2,3,2.142857143
3,Bounce,Ruger,3,3,3,3,3,3,4,3.142857143
4,LV N ATTN feat. Wizkid,"Lojay, Sarz",4,4,4,4,5,5,6,4.571428571
5,Outside,Buju,5,5,5,5,4,4,5,4.714285714
6,Bling (feat. Amaarae & Buju),Blaqbonez,6,6,6,6,6,6,7,6.142857143
7,Dimension (feat. Skepta & Rema),JAE5,7,7,7,7,7,7,10,7.428571429
8,Essence (feat. Tems),Wizkid,10,8,8,8,8,8,11,8.714285714
9,Coming,"Naira Marley, Busiswa",9,9,9,9,9,9,12,9.428571429
10,Show Me,Joeboy,13,13,12,10,10,10,13,11.57142857
11,Kilometre,Burna Boy,11,11,13,11,11,11,14,11.71428571
12,Tonongo,"Lojay, Sarz",12,12,11,12,12,12,15,12.28571429
13,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",14,15,14,13,13,13,17,14.14285714
14,It Is What It Is,Adekunle Gold,18,18,16,15,15,15,18,16.42857143
15,History,"Cheque, Fireboy DML",17,17,17,16,14,14,20,16.42857143
16,Voice of the Heroes,"Lil Baby, Lil Durk",8,10,10,14,17,18,38,16.42857143
17,Forever (Remix),"Gyakie, Omah Lay",16,16,19,20,20,19,27,19.57142857
18,Felony,CKay,20,20,21,19,18,17,23,19.71428571
19,Pronto,"Ajebo Hustlers, Omah Lay",19,19,20,22,21,20,25,20.85714286
20,Late At Night,Roddy Ricch,27,24,24,18,16,16,24,21.28571429
21,Hats Off,"Lil Baby, Lil Durk, Travis Scott",15,14,15,17,19,22,47,21.28571429
22,La La (feat. CKay),Davido,22,22,22,23,22,21,26,22.57142857
23,Monalisa,"Lojay, Sarz",23,23,18,21,23,24,30,23.14285714
24,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",21,21,23,24,25,23,28,23.57142857
25,Focus,Joeboy,26,25,25,26,26,26,35,27
26,Ginger (feat. Burna Boy),Wizkid,28,28,27,25,24,25,34,27.28571429
27,Somebody Baby,"Davido, Peruzzi",24,26,26,27,27,27,44,28.71428571
28,Southy Love (feat. Fireboy DML),Peruzzi,29,29,30,30,30,30,41,31.28571429
29,Loved By You (feat. Burna Boy),Justin Bieber,32,32,29,28,28,29,51,32.71428571
30,Bounse,Rema,31,30,31,33,31,31,50,33.85714286
31,KOLO (feat. Oxlade),Ice Prince,35,35,32,34,32,32,45,35
32,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,41,39,34,29,29,28,48,35.42857143
33,Running (To You),"Chike, Simi",33,33,35,35,33,33,53,36.42857143
34,2040,"Lil Baby, Lil Durk",25,27,28,31,34,40,90,39.28571429
35,World,"Dangbana Republik, Bella Shmurda",42,40,40,37,35,34,60,41.14285714
36,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave",39,36,36,36,37,36,72,41.71428571
37,23,Burna Boy,47,47,41,38,36,35,61,43.57142857
38,The Best (feat. Mayorkun),Davido,48,46,44,45,39,39,62,46.14285714
39,Rush,"Dangbana Republik, Bella Shmurda",49,43,46,43,40,41,64,46.57142857
40,Who I Want,"Lil Baby, Lil Durk",30,31,37,40,42,47,100,46.71428571
