,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,Cheque,History ft. Fireboy DML
4,Joeboy,Show Me
5,Buju,Outside
6,AV,Big Thug Boys
7,Joeboy,Focus
8,Olamide,Infinity ft. Omah Lay
9,Olamide,Need For Speed
10,Naira Marley,Coming ft. Busiswa
11,Phyno,Bia
12,Burna Boy,Kilometre
13,Adekunle Gold,Sinner ft. Lucky Daye
14,Chike,Running (To You) ft. Simi
15,Jaywillz,Medicine
16,Victor AD,OLOFOFO
17,Zinoleesky,Naira Marley
18,Omah Lay,Godly
19,Olamide,Triumphant ft. Bella Shmurda
20,Patoranking,Celebrate Me
21,Olamide,Julie
22,Olamide,Somebody ft. Phyno
23,GUCHI,Jennifer (Remix) ft. Rayvanny
24,Wizkid,Essence ft. Tems
25,Teni,HUSTLE
26,Dangbana Republik,Lako ft. Bella Shmurda
27,Dj Xclusive,Ameno (Dorime)
28,Olamide,Jailer ft. Jaywillz
29,Lil Kesh,Korope ft. Naira Marley
30,Crayon,Too Correct ft. Rema
31,Joeboy,Door ft. Kwesi Arthur
32,L.A.X,PEPE ft. Davido
33,Teni,INJURE ME
34,Judikay,Capable God
35,Mrolaide ,Feel
36,Dangbana Republik,Far Away ft. Bella Shmurda
37,Dangbana Republik,Out There ft. Bella Shmurda
38,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
39,Judikay,Omemma ((Live))
40,Kaptain,Check Yourself
41,Omah Lay,Can't Relate
42,Dangbana Republik,Party Next Door ft. Bella Shmurda
43,Skales,This Your Body ft. Davido
44,Teni,FOR YOU ft. Davido
45,Jae5,Dimension ft. Skepta & Rema
46,Fireboy DML,Champion ft. D Smoke
47,Burna Boy,Way Too Big
48,Gyakie,Forever (Remix) ft. Omah Lay
49,Olamide,PonPon ft. Fave
50,Dangbana Republik,World ft. Bella Shmurda
51,Dangbana Republik,Soldier Go ft. Bella Shmurda
52,Moses Bliss,Too Faithful
53,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
54,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
55,Patoranking,Abule
56,Olamide,Loading ft. BadboyTimz
57,Omah Lay,My Bebe
58,Naira Marley,Koleyewon
59,Bella Shmurda,Cash App ft. Zlatan & Lincoln
60,Chike,If You No Love
61,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
62,Lil Kesh,Love Like This ft. Fireboy DML
63,Burna Boy,23
64,Kendickson,Lole
65,Chike,Roju
66,Joeboy,Lonely
67,DJ Aroma,Breakup Riddim ft. Nhlanhla Nciza
68,Dangbana Republik,Rush ft. Bella Shmurda
69,Omah Lay,Bad Influence 
70,Omah Lay,Confession
71,Bella Shmurda,Adura ft. Mohbad
72,Reminisce,Hello E ft. Westsyde
73,Slimcase,Focus Vibe
74,Nathaniel Bassey,Hallelujah Challenge Praise Medley
75,The Cavemen,Selense
76,Mercy Chinwo,Yahweh
77,DJ Neptune,Music Messiah ft. Wande Coal
78,Omah Lay,You
79,Zlatan,Lagos Anthem
80,Dangbana Republik,Champion ft. Bella Shmurda
81,2jaja,Freestyle
82,Naira Marley,Aye
83,Jaido P,Survive ft. Olamide
84,Mr Eazi,Rotate (Freestyle)
85,Judikay,Omemma
86,BOJ,Money & Laughter ft. Zamir & Amaarae
87,Olamide,Want ft. Fave
88,Davido,The Best ft. Mayorkun
89,Ajimovoix Drums,FOCUS DANCE BEAT ft. Hagman & Abati
90,Omah Lay,Bad Influence
91,Omah Lay,Lo Lo
92,Olamide,Cup Of Tea
93,Joeboy,Door
94,Dj Kaywise,High Way ft. Phyno
95,Runtown,If E Happen For Lagos
96,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
97,Ajebo Hustlers,Pronto ft. Omah Lay
98,Peruzzi,Somebody Baby ft. Davido
99,Omah Lay,Damn ft. 6Lack
