,artist,song
0,Kizz Daniel,Lie
1,Omah Lay,Understand
2,Burna Boy,Question ft. Don Jazzy
3,Fireboy DML,Peru
4,WizKid,Anoti
5,LADIPOE,Feeling ft. Buju
6,WizKid,Mood ft. Buju
7,Olamide,Rock
8,WizKid,Essence ft. Justin Bieber & Tems
9,WizKid,Steady
10,Mohbad,Feel Good
11,Jaywillz,Medicine
12,Ruger,Bounce
13,Buju,Outside
14,Cheque,History ft. Fireboy DML
15,Joeboy,Show Me
16,Adekunle Gold,Sinner ft. Lucky Daye
17,Buju,Testimony
18,Joeboy,Focus
19,Tiwa Savage,Somebodyxe2x80x99s Son ft. Brandy
20,Ayra Starr,Bloody Samaritan
21,Burna Boy,Kilometre
22,Olamide,Infinity ft. Omah Lay
23,Omah Lay,Godly
24,Naira Marley,Drug Test
25,Mayorkun,Let Me Know
26,AV,Big Thug Boys
27,Olamide,Triumphant ft. Bella Shmurda
28,Chike,Running (To You) ft. Simi
29,Naira Marley,Coming ft. Busiswa
30,Zinoleesky,Naira Marley
31,Guchi,Benzema
32,Teni,Dorime 
33,DJ Tarico,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane"
34,Teni,HUSTLE
35,Patoranking,Celebrate Me
36,Lojay,Monalisa ft. Sarz
37,Ayra Starr,Beggie Beggie ft. CKay
38,Bella Shmurda,So Cold ft. Popcaan
39,Fireboy DML,Champion ft. D Smoke
40,Cheque,Call Me Baby
41,WizKid,Ginger ft. Burna Boy
42,2Baba,Rise Up ft. Falz
43,Kanye West,Off The Grid
44,Omah Lay,Can't Relate
45,Dremo,Wonder ft. Patoranking
46,Reeze,Wahala
47,Kanye West,Praise God
48,WizKid,Reckless
49,Moses Bliss,Too Faithful
50,Burna Boy,Way Too Big
51,Falz,Mercy
52,Crayon,Too Correct ft. Rema
53,Joeboy,Door ft. Kwesi Arthur
54,WizKid,Essence ft. Tems
55,Timaya,Eff All Day ft. Phyno
56,Duncan Mighty,Nibolowa ft. Burna Boy
57,Seyi Vibez,Professor Peller ft. Zlatan
58,Patoranking,Abule
59,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
60,Nathaniel Bassey,Hallelujah Challenge Praise Medley
61,Phyno,Bia
62,GUCHI,Jennifer
63,Teni,FOR YOU ft. Davido
64,WizKid,Blessed ft. Damian Marley
65,Joeboy,Lonely
66,Omah Lay,My Bebe
67,Ayanfe,Migrate ft. Davido
68,Burna Boy,23
69,Judikay,Capable God
70,Ayra Starr,Fashion Killer
71,Olamide,Loading ft. BadboyTimz
72,Lil Kesh,Love Like This ft. Fireboy DML
73,Olamide,Julie
74,Omah Lay,Bad Influence 
75,Bella Shmurda,Adura ft. Mohbad
76,Kanye West,Jail
77,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
78,Dj Xclusive,Ameno (Dorime)
79,Omah Lay,Confession
80,Omah Lay,Lo Lo
81,CDQ,Kogbede ft. Wande Coal
82,Chike,If You No Love
83,Umu Obiligbo,Zambololo
84,Joeboy,Door
85,K1 De Ultimate,Adxc3xa9 Orxc3xad xc3x92kin
86,Blaq Jerzee,Summer Bounce ft. Joeboy
87,Naira Marley,Aye
88,Ada Ehi,"Congratulations ft, Buchi"
89,Olamide,Green Light
90,LIYA,Lakiriboto ft. Davido
91,CKay,Felony
92,Olamide,Need For Speed
93,Zlatan,Alubarika ft. Buju
94,Niniola,Too Sweet (O Dun)
95,Mayorkun,Betty Butter ft. Davido
96,Kolaboy,Omalicha ft. Ejyk Nwamba
97,WizKid,Longtime ft. Skepta
98,Omah Lay,You
99,Steve Crown,Hosanna
