rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Naira Marley,Zinoleesky,8,9,8,12,10,14,20,11.57142857
2,Testimony,Buju,18,21,19,23,26,12,26,20.71428571
3,Felony,CKay,19,17,20,18,19,19,35,21
4,Feel Good,MohBad,43,30,15,17,15,22,17,22.71428571
5,It Is What It Is,Adekunle Gold,21,25,24,22,21,20,33,23.71428571
6,Understand,Omah lay,1,1,1,1,1,1,301,43.85714286
7,Bounce,Ruger,2,2,2,2,2,2,301,44.71428571
8,Feeling,"LADIPOE, Buju",3,3,3,3,3,3,301,45.57142857
9,Soundgasm,Rema,4,4,4,4,4,7,301,46.85714286
10,Outside,Buju,5,6,5,5,5,5,301,47.42857143
11,Rock,Olamide,6,5,6,6,6,9,301,48.42857143
12,Big Thug Boys,AV,7,7,7,7,7,6,301,48.85714286
13,Sinner,"Adekunle Gold, Lucky Daye",12,8,11,8,8,8,301,50.85714286
14,Confident,"Savage, Buju",10,10,10,11,13,10,301,52.14285714
15,Essence (feat. Tems),"Wizkid, Tems",9,11,14,9,12,11,301,52.42857143
16,Yaba Buluku (Remix),"DJ TÃ¡rico, Burna Boy, Preck, Nelson Tivane",17,12,9,10,11,15,301,53.57142857
17,Monalisa,"Lojay, Sarz",20,13,12,13,9,13,301,54.42857143
18,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",11,14,17,14,14,17,301,55.42857143
19,Party Next Door,"Dangbana Republik, Bella Shmurda",13,15,13,16,17,18,301,56.14285714
20,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",16,18,16,15,16,16,301,56.85714286
21,Coming,"Naira Marley, Busiswa",15,16,21,19,18,23,301,59
22,Forever (Remix),"Gyakie, Omah lay",14,20,23,20,20,24,301,60.28571429
23,Oliver Twist,ArrDee,25,19,18,21,22,26,301,61.71428571
24,Far Away,"Dangbana Republik, Bella Shmurda",23,22,22,28,25,21,301,63.14285714
25,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",22,24,26,24,24,27,301,64
26,Kilometre,Burna Boy,27,27,28,25,28,30,301,66.57142857
27,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",26,26,27,27,29,31,301,66.71428571
28,Clash,"Dave, Stormzy",29,38,25,29,27,25,301,67.71428571
29,Bounse,Rema,28,28,29,26,30,33,301,67.85714286
