rank,song,artist,R1,R2,R3,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1
2,Bounse,Rema,2,2,3,2.333333333
3,Rock,Olamide,3,3,2,2.666666667
4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",4,4,4,4
5,Bling (feat. Amaarae & Buju),Blaqbonez,5,5,5,5
6,Dimension (feat. Skepta & Rema),JAE5,6,6,7,6.333333333
7,m y . l i f e (with 21 Savage & Morray),J. Cole,7,7,10,8
8,Coming,Naira Marley,8,8,8,8
9,Kilometre,Burna Boy,9,9,9,9
10,a m a r i,J. Cole,10,10,12,10.66666667
11,Show Me,Joeboy,11,11,11,11
12,History,Cheque,12,12,13,12.33333333
13,Essence (feat. Tems),WizKid,13,13,14,13.33333333
14,Forever (Remix),Gyakie,16,16,15,15.66666667
15,9 5 . s o u t h,J. Cole,14,14,19,15.66666667
16,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,15,15,18,16
17,Pronto,Ajebo Hustlers,17,17,16,16.66666667
18,Felony,CKay,18,18,17,17.66666667
19,Focus,Joeboy,19,19,20,19.33333333
20,Ke Star,Remix - Focalistic,20,20,21,20.33333333
21,Somebody Baby,DaVido,21,21,22,21.33333333
22,It Is What It Is,Adekunle Gold,22,22,23,22.33333333
23,Loved By You (feat. Burna Boy),Justin Bieber,24,24,25,24.33333333
24,La La (feat. Ckay),DaVido,25,25,24,24.66666667
25,a p p l y i n g . p r e s s u r e,J. Cole,23,23,29,25
26,Ginger (feat. Burna Boy),WizKid,27,27,26,26.66666667
27,Southy Love,Peruzzi,28,28,27,27.66666667
28,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,26,26,33,28.33333333
29,Running (To You),chike,29,29,28,28.66666667
30,World,Dangbana Republik,32,32,30,31.33333333
31,1 0 0 . m i l ,J. Cole,30,30,39,33
32,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,34,34,32,33.33333333
33,i n t e r l u d e,J. Cole,31,31,40,34
34,Blessed (feat. Damian Marley),WizKid,36,36,31,34.33333333
35,Seeing Green (with Drake & Lil Wayne),Nicki Minaj,33,33,37,34.33333333
36,FOR YOU,Teni,38,38,34,36.66666667
37,p u n c h i n ‘ . t h e . c l o c k,J. Cole,35,35,43,37.66666667
38,KOLO (feat. Oxlade),Ice Prince,39,39,36,38
39,Commitment Issues,Central Cee,37,37,41,38.33333333
40,Early Momo,Vector,41,41,35,39
41,Rush,Dangbana Republik,40,40,38,39.33333333
42,23,Burna Boy,42,42,42,42
43,High Way,DJ Kaywise,45,45,44,44.66666667
44,Fendi (feat. Joeboy),Blaqbonez,44,44,46,44.66666667
45,The Best (feat. Mayorkun),DaVido,46,46,45,45.66666667
46,t h e . c l i m b . b a c k,J. Cole,43,43,54,46.66666667
47,Hallelu,Masterkraft,47,47,47,47
48,Godly,Omah Lay,48,48,49,48.33333333
49,Too Correct,Crayon,49,49,52,50
50,INJURE ME,Teni,50,50,50,50
51,Kilofeshe,Zinoleesky,51,51,48,50
52,KPK (Ko Por Ke),Rexxie,52,52,51,51.66666667
53,Okwaraji,Blaqbonez,54,54,55,54.33333333
54,Cash App,Bella Shmurda,56,56,53,55
55,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,53,53,65,57
56,Verified,LAYCON,58,58,57,57.66666667
57,Way Too Big,Burna Boy,59,59,56,58
58,c l o s e,J. Cole,55,55,68,59.33333333
59,Straightenin,Migos,57,57,64,59.33333333
60,Runaway,AURORA,60,60,61,60.33333333
61,Bank On It,Burna Boy,61,61,59,60.33333333
62,Reckless,WizKid,62,62,58,60.66666667
63,Loco (feat. Mayorkun),KDDO,63,63,60,62
64,Jowo,DaVido,65,65,62,64
65,Leave The Door Open,Bruno Mars,64,64,67,65
66,Outside,Buju,96,96,6,66
67,Abu Dhabi,Ruger,68,68,63,66.33333333
68,Heartbreak Anniversary,Giveon,67,67,69,67.66666667
69,Infinity (feat. Omah Lay),Olamide,69,69,66,68
70,Body,Russ Millions,70,70,73,71
71,Real Life (feat. Stormzy),Burna Boy,72,72,70,71.33333333
72,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,71,71,72,71.33333333
73,No Stress,WizKid,74,74,71,73
74,Door,Joeboy,73,73,74,73.33333333
75,Longtime (feat. Skepta),WizKid,76,76,75,75.66666667
76,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,75,75,78,76
77,Cho Cho,Zlatan,77,77,76,76.66666667
78,Away,Ayra Starr,78,78,80,78.66666667
79,Sweet One,WizKid,81,81,77,79.66666667
80,Beamer Body,KDDO,79,79,82,80
81,RAPSTAR,Polo G,80,80,83,81
82,Koleyewon,Naira Marley,82,82,84,82.66666667
83,Holy Ground (feat. Nicki Minaj),DaVido,83,83,85,83.66666667
84,Loading (feat. Bad Boy Timz),Olamide,86,86,79,83.66666667
85,True Love (feat. Tay Iwar & Projexx),WizKid,84,84,86,84.66666667
86,Mighty Wine,WizKid,88,88,81,85.66666667
87,Calling My Phone,Lil Tjay,85,85,88,86
88,Sere,Remix - Spinall,87,87,93,89
89,Damages,Tems,90,90,90,90
90,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,91,91,89,90.33333333
91,Ruger,Ruger,92,92,87,90.33333333
92,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,89,89,94,90.66666667
93,Mood Swings (feat. Lil Tjay),Pop Smoke,93,93,91,92.33333333
94,Piece of Me (feat. Ella Mai),WizKid,95,95,92,94
95,World,Alternate Cut - Dangbana Republik,94,94,95,94.33333333
96,Your Body,Mayorkun,97,97,97,97
97,Bad Influence,Omah Lay,99,99,96,98
98,Okay,Adekunle Gold,98,98,98,98
99,Focus Beat Dance,Hagman,66,66,301,144.3333333
100,Onyeka (Baby),Burna Boy,301,301,99,233.6666667
