,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1,1,1,1,1
2,Rock,Olamide,2,2,2,2,2,2,2,2
3,Bounce,Rema,3,3,3,3,3,3,3,3
4,Outside,Buju,4,4,4,4,4,4,5,4.142857143
5,Dimension (feat. Skepta & Rema),JAE5,6,6,6,6,6,6,7,6.142857143
6,Coming,Naira Marley,7,7,7,7,7,7,9,7.285714286
7,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",8,9,9,8,8,8,13,9
8,Kilometre,Burna Boy,9,8,8,9,11,11,12,9.714285714
9,Essence (feat. Tems),WizKid,10,10,10,10,10,9,10,9.857142857
10,Show Me,Joeboy,11,11,11,11,9,10,14,11
11,Forever (Remix),Gyakie,12,12,12,12,12,12,15,12.42857143
12,Pronto,Ajebo Hustlers,13,13,13,15,15,15,18,14.57142857
13,It Is What It Is,Adekunle Gold,16,15,14,13,14,14,17,14.71428571
14,History,Cheque,21,17,16,14,13,13,16,15.71428571
15,Felony,CKay,14,14,15,16,16,16,21,16
16,Ke Star,Remix - Focalistic,15,16,17,17,17,17,20,17
17,Focus,Joeboy,20,19,18,18,18,19,24,19.42857143
18,Somebody Baby,DaVido,19,18,19,19,19,20,23,19.57142857
19,Ginger (feat. Burna Boy),WizKid,22,22,21,22,21,21,28,22.42857143
20,Southy Love,Peruzzi,23,21,22,23,24,23,31,23.85714286
21,Money,Terri,18,20,20,21,23,24,42,24
22,Loved By You (feat. Burna Boy),Justin Bieber,24,23,25,24,22,22,32,24.57142857
23,KOLO (feat. Oxlade),Ice Prince,26,25,26,25,25,26,36,27
24,Running (To You),chike,25,24,27,26,26,27,37,27.42857143
25,Early Momo,Vector,28,27,30,28,27,25,35,28.57142857
26,World,Dangbana Republik,27,26,28,27,28,29,41,29.42857143
27,Blessed (feat. Damian Marley),WizKid,29,28,29,29,29,28,40,30.28571429
28,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,32,29,31,30,30,32,48,33.14285714
29,The Best (feat. Mayorkun),DaVido,34,31,32,33,35,36,49,35.71428571
30,Rush,Dangbana Republik,35,33,34,31,32,34,51,35.71428571
31,FOR YOU,Teni,33,30,33,36,36,37,50,36.42857143
32,23,Burna Boy,36,36,36,35,34,33,47,36.71428571
33,a m a r i,J. Cole,30,32,35,34,33,38,66,38.28571429
34,Godly,Omah Lay,39,38,39,39,39,43,53,41.42857143
35,m y . l i f e (with 21 Savage & Morray),J. Cole,31,35,37,37,37,42,73,41.71428571
36,Music Messiah,DJ Neptune,47,41,42,40,38,35,52,42.14285714
37,Hallelu,Masterkraft,42,40,40,38,40,41,57,42.57142857
38,High Way,DJ Kaywise,38,34,38,41,44,47,61,43.28571429
39,INJURE ME,Teni,40,39,41,42,45,45,60,44.57142857
40,KPK (Ko Por Ke),Rexxie,41,37,43,45,48,50,62,46.57142857
41,Too Correct,Crayon,45,43,44,47,42,44,65,47.14285714
42,Bling (feat. Amaarae & Buju),"Blaqbonez, Buju",5,5,5,5,5,5,301,47.28571429
43,Abu Dhabi,Ruger,49,49,49,48,41,39,58,47.57142857
44,Commitment Issues,Central Cee,44,45,46,43,47,46,70,48.71428571
45,Kilofeshe,Zinoleesky,43,42,45,49,50,52,63,49.14285714
46,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,37,44,47,46,46,48,79,49.57142857
47,Ayewada,Barry Jhay,63,53,48,44,43,40,71,51.71428571
48,Jowo,DaVido,48,46,51,52,51,51,68,52.42857143
49,Way Too Big,Burna Boy,52,48,52,50,53,49,74,54
50,Okwaraji,Blaqbonez,46,47,50,51,52,56,82,54.85714286
51,Reckless,WizKid,54,55,53,53,54,53,75,56.71428571
52,Bank On It,Burna Boy,53,54,58,54,55,55,78,58.14285714
53,Door,Joeboy,55,51,56,57,58,57,80,59.14285714
54,Cash App,Bella Shmurda,56,50,57,59,57,58,81,59.71428571
55,La La (feat. Ckay),DaVido,17,301,24,20,20,18,22,60.28571429
56,Fendi (feat. Joeboy),Blaqbonez,50,52,54,58,62,64,88,61.14285714
57,Infinity (feat. Omah Lay),Olamide,57,58,61,61,61,54,77,61.28571429
58,Heartbreak Anniversary,Giveon,59,60,60,56,60,63,87,63.57142857
59,Leave The Door Open,Bruno Mars,60,61,65,62,63,61,85,65.28571429
60,No Stress,WizKid,65,65,62,64,66,62,86,67.14285714
61,Kilofese,Remix - Zinoleesky,58,56,64,67,69,78,90,68.85714286
62,Real Life (feat. Stormzy),Burna Boy,62,64,70,66,64,67,92,69.28571429
63,Sweet One,WizKid,67,70,67,68,70,59,84,69.28571429
64,Verified,LAYCON,64,59,55,65,68,77,99,69.57142857
65,Longtime (feat. Skepta),WizKid,66,68,68,69,67,66,91,70.71428571
66,True Love (feat. Tay Iwar & Projexx),WizKid,70,71,69,71,74,68,95,74
67,Mighty Wine,WizKid,71,72,71,73,72,73,94,75.14285714
68,Away,Ayra Starr,69,66,74,74,73,76,97,75.57142857
69,Ruger,Ruger,77,77,73,70,75,71,96,77
70,Calling My Phone,Lil Tjay,81,79,80,72,71,70,93,78
71,Holy Ground (feat. Nicki Minaj),DaVido,75,73,75,78,77,74,98,78.57142857
