rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Bounse,Rema,1,1,1,1,1,1,1,1
2,Feeling,"LADIPOE, Buju",2,2,2,2,2,2,2,2
3,Yaba Buluku (feat. Preck & Nelson Tivane),"Remix - DJ Tarico, Preck, Nelson Tivane",6,6,3,3,3,3,3,3.857142857
4,Rock,Olamide,3,3,4,4,4,5,5,4
5,Outside,Buju,5,5,6,5,5,4,4,4.857142857
6,Soundgasm,Rema,4,4,5,6,6,6,6,5.285714286
7,Big Thug Boys,AV,8,8,7,7,7,7,7,7.285714286
8,Confident,Savage,7,7,8,8,8,8,8,7.714285714
9,Monalisa,Lojay,10,9,9,9,9,9,9,9.142857143
10,Essence (feat. Tems),WizKid,9,10,10,10,11,11,12,10.42857143
11,Naira Marley,Zinoleesky,12,12,11,11,10,10,11,11
12,Bling (feat. Amaarae & Buju),Blaqbonez,11,11,12,12,12,12,14,12
13,Dimension (feat. Skepta & Rema),JAE5,13,13,13,14,14,14,15,13.71428571
14,Party Next Door,Dangbana Republik,21,16,14,13,13,13,13,14.71428571
15,Show Me,Joeboy,14,14,15,15,15,15,16,14.85714286
16,Coming,Naira Marley,15,15,16,16,16,16,17,15.85714286
17,LV N ATTN (feat. Wizkid),Lojay,18,17,17,17,17,17,19,17.42857143
18,Jailer (feat. Jaywillz),Olamide,17,18,18,18,19,20,22,18.85714286
19,Tonongo,Lojay,22,21,19,19,18,18,18,19.28571429
20,Ginger (feat. Burna Boy),WizKid,25,23,21,21,20,19,20,21.28571429
21,Frenemies,Rexxie,28,25,22,20,21,21,21,22.57142857
22,All,Rexxie,16,19,20,22,27,26,30,22.85714286
23,Kilometre,Burna Boy,20,20,23,23,26,25,26,23.28571429
24,Julie,Olamide,19,22,24,24,24,27,29,24.14285714
25,It Is What It Is,Adekunle Gold,26,27,25,26,25,24,25,25.42857143
26,Blessed (feat. Damian Marley),WizKid,34,34,26,25,23,23,24,27
27,Need For Speed,Olamide,23,24,27,28,28,32,34,28
28,Ke Star,Remix - Focalistic,30,28,28,29,29,28,32,29.14285714
29,Somebody (feat. Phyno),Olamide,24,26,29,30,30,34,36,29.85714286
30,Felony,CKay,29,29,30,31,31,30,31,30.14285714
31,Pronto,Ajebo Hustlers,31,31,31,32,32,29,28,30.57142857
32,History,Cheque,33,33,33,33,33,33,35,33.28571429
33,HUSTLE,Teni,62,42,38,27,22,22,23,33.71428571
34,PonPon (feat. Fave),Olamide,27,30,32,35,38,39,40,34.42857143
35,La La (feat. Ckay),DaVido,32,32,34,36,37,37,38,35.14285714
36,Forever (Remix),Gyakie,36,35,36,37,36,36,33,35.57142857
37,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",35,36,37,38,40,40,43,38.42857143
38,Abu Dhabi,Ruger,39,39,39,39,39,38,39,38.85714286
39,Medicine,Jaywillz,57,52,43,40,35,31,27,40.71428571
40,Early Momo,Vector,38,40,40,42,42,43,42,41
41,Late At Night,Roddy Ricch,37,41,42,41,43,41,44,41.28571429
42,Focus,Joeboy,40,38,41,43,41,42,45,41.42857143
43,Southy Love,Peruzzi,42,43,44,44,45,46,48,44.57142857
44,23,Burna Boy,45,47,45,45,44,44,46,45.14285714
45,KOLO (feat. Oxlade),Ice Prince,47,44,46,49,48,47,49,47.14285714
46,Loved By You (feat. Burna Boy),Justin Bieber,44,45,48,48,47,48,51,47.28571429
47,Bank On It,Burna Boy,46,46,47,47,49,49,50,47.71428571
48,Somebody Baby,DaVido,50,49,50,50,50,51,53,50.42857143
49,The Best (feat. Mayorkun),DaVido,48,48,51,51,52,52,54,50.85714286
50,Reckless,WizKid,63,62,49,46,46,45,47,51.14285714
51,Running (To You),chike,54,51,52,52,51,50,52,51.71428571
52,RAPSTAR,Polo G,52,54,55,53,53,54,56,53.85714286
53,Cup of Tea,Olamide,43,50,53,55,54,61,65,54.42857143
54,Way Too Big,Burna Boy,55,56,57,56,55,56,55,55.71428571
55,FOR YOU,Teni,59,55,54,58,59,55,58,56.85714286
