rank,song,artist,apple,boom,spotify,youtube,RT
1,Rock,Olamide,2,1,3,1,1.75
2,Feeling,"LADIPOE, Buju",1,5,1,7,3.5
3,Kilometre,Burna Boy,8,4,9,15,9
4,History,"Cheque, Fireboy DML",11,3,12,13,9.75
5,Coming,"Naira Marley, Busiswa",7,7,8,17,9.75
6,Forever (Remix),"Gyakie, Omah Lay",14,17,14,5,12.5
7,Running (To You),"Chike, Simi",28,10,29,2,17.25
8,La La (feat. CKay),Davido,23,20,24,3,17.5
9,Focus,Joeboy,18,6,19,35,19.5
10,Show Me,Joeboy,10,9,11,51,20.25
11,It Is What It Is,Adekunle Gold,22,15,22,24,20.75
12,Bling (feat. Amaarae & Buju),Blaqbonez,5,54,5,31,23.75
13,FOR YOU (feat. Davido),Teni,35,14,36,10,23.75
14,m y . l i f e (feat. 21 Savage & Morray),"J. Cole, 21 Savage, Morray",9,50,7,34,25
15,Somebody Baby,"Davido, Peruzzi",21,27,21,45,28.5
16,Godly,Omah Lay,50,8,48,9,28.75
17,a m a r i,J. Cole,13,80,10,12,28.75
18,9 5 . s o u t h,J. Cole,19,41,15,43,29.5
19,Essence (feat. Tems),Wizkid,12,90,13,11,31.5
20,Felony,CKay,16,60,18,32,31.5
21,Dimension (feat. Skepta & Rema),JAE5,6,99,6,26,34.25
22,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",37,47,35,19,34.5
23,Pronto,"Ajebo Hustlers, Omah Lay",15,71,17,42,36.25
24,World,"Dangbana Republik, Bella Shmurda",30,37,30,54,37.75
25,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",17,77,16,52,40.5
26,Loved By You (feat. Burna Boy),Justin Bieber,24,68,23,57,43
27,Too Correct (feat. Rema),"Crayon, Rema",53,11,49,59,43
28,High Way (feat. Phyno),"DJ Kaywise, Phyno",45,70,43,22,45
29,The Best (feat. Mayorkun),Davido,44,62,45,41,48
30,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,32,87,32,56,51.75
31,Cash App,"Bella Shmurda, Zlatan, Lincoln",56,85,54,25,55
32,Door,"Joeboy, Kwesi Arthur",72,12,74,66,56
33,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,47,97,47,38,57.25
34,Koleyewon,Naira Marley,83,32,82,33,57.5
35,Jowo,Davido,62,84,64,46,64
36,Bad Influence,Omah Lay,97,52,97,37,70.75
37,Cho Cho (feat. Davido & Mayorkun),Zlatan,77,46,77,99,74.75
38,Bounce,Ruger,3,48,325,6,95.5
39,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)","Tion Wayne, Russ Millions",4,400,4,8,104
40,INJURE ME,Teni,51,22,50,300,105.75
41,23,Burna Boy,43,49,42,300,108.5
42,Way Too Big,Burna Boy,57,21,57,300,108.75
43,Bounce,Rema,26,400,2,14,110.5
44,Infinity (feat. Omah Lay),Olamide,67,13,69,300,112.25
45,i n t e r l u d e,J. Cole,42,76,33,300,112.75
46,Loco (feat. Mayorkun),KDDO,63,36,63,300,115.5
47,Ke Star (Remix),"Focalistic, Davido",20,400,20,23,115.75
48,Rush,"Dangbana Republik, Bella Shmurda",39,89,41,300,117.25
49,Fendi (feat. Joeboy),Blaqbonez,48,94,44,300,121.5
50,Verified,Laycon,58,73,56,300,121.75
51,Southy Love (feat. Fireboy DML),Peruzzi,27,400,27,39,123.25
52,Ginger (feat. Burna Boy),Wizkid,25,400,26,49,125
53,Sere,"Spinall, Fireboy DML, 6LACK",96,28,88,300,128
54,Bank On It,Burna Boy,60,95,61,300,129
55,a p p l y i n g . p r e s s u r e,J. Cole,29,400,25,64,129.5
56,Loading (feat. Bad Boy Timz),Olamide,85,51,84,300,130
57,KPK (Ko Por Ke),"Rexxie, MohBad",52,400,52,18,130.5
58,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,92,44,90,300,131.5
59,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",33,400,28,72,133.25
60,Real Life (feat. Stormzy),Burna Boy,71,98,71,300,135
61,Straightenin,Migos,68,400,59,16,135.75
62,KOLO (feat. Oxlade),Ice Prince,36,400,38,74,137
63,Kilofeshe,Zinoleesky,49,400,51,55,138.75
64,Early Momo,Vector,38,400,40,79,139.25
65,1 0 0 . m i l ,"J. Cole, Bas",41,400,31,89,140.25
66,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,75,400,72,29,144
67,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",66,400,65,67,149.5
68,Away,Ayra Starr,79,400,78,84,160.25
69,Ruger,Ruger,89,400,91,78,164.5
70,Onyeka (Baby),Burna Boy,100,400,100,83,170.75
71,Jehovah Overdo,Chidinma,350,29,325,4,177
72,Enjoy,Tekno,350,24,325,27,181.5
73,Abule,Patoranking,350,43,325,44,190.5
74,Blessed (feat. Damian Marley),Wizkid,31,400,34,300,191.25
75,If You No Love (feat. Mayorkun),Chike,350,55,325,36,191.5
76,Commitment Issues,Central Cee,40,400,39,300,194.75
77,t h e . c l i m b . b a c k,J. Cole,54,400,46,300,200
78,Outside,Buju,34,400,66,300,200
79,Squander (feat. Niniola),Falz,350,31,325,97,200.75
80,Don Dada,Timaya,350,38,325,91,201
81,Okwaraji,Blaqbonez,55,400,53,300,202
82,The End,Erigga,350,67,325,73,203.75
83,h u n g e r . o n . h i l l s i d e (with Bas),"J. Cole, Bas",64,400,55,300,204.75
84,Love Like This (feat. Fireboy DML),Lil Kesh,350,75,325,70,205
85,Reckless,Wizkid,59,400,62,300,205.25
86,Runaway,AURORA,61,400,60,300,205.25
87,c l o s e,J. Cole,70,400,58,300,207
88,Abu Dhabi,Ruger,65,400,67,300,208
89,Heartbreak Anniversary,GIV\xc4\x92ON,69,400,68,300,209.25
90,No Stress,Wizkid,74,400,73,300,211.75
91,Longtime (feat. Skepta),Wizkid,76,400,75,300,212.75
92,Ball Till We Fall,Kida Kudz & Bella Shmurda,350,92,325,85,213
93,RAPSTAR,Polo G,78,400,81,300,214.75
94,Beamer Body,"KDDO, Davido",80,400,80,300,215
95,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Don Toliver, Lil Uzi Vert",84,400,76,300,215
96,Sweet One,Wizkid,81,400,79,300,215
97,Holy Ground (feat. Nicki Minaj),Davido,82,400,83,300,216.25
98,True Love (feat. Tay Iwar & Projexx),Wizkid,87,400,85,300,218
99,Mighty Wine,Wizkid,86,400,86,300,218
100,Calling My Phone,"Lil Tjay, 6LACK",88,400,87,300,218.75
101,Damages,Tems,91,400,89,300,220
102,p u n c h i n ‘ . t h e . c l o c k,J. Cole,350,400,37,94,220.25
103,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,94,400,92,300,221.5
104,Mood Swings (feat. Lil Tjay),Pop Smoke,93,400,93,300,221.5
105,Piece of Me (feat. Ella Mai),Wizkid,95,400,94,300,222.25
106,Focus Beat Dance,Hagman,90,400,99,300,222.25
107,Your Body,Mayorkun,98,400,96,300,223.5
108,OLOFOFO,Victor AD,350,2,325,300,244.25
109,Focus Vibe,Slimcase,350,16,325,300,247.75
110,Can't Relate,Omah Lay,350,18,325,300,248.25
111,Triumphant ft. Bella Shmurda,Olamide,350,19,325,300,248.5
112,Your Love ft. Tope Alabi,Steve Crown,350,23,325,300,249.5
113,Dick Appointment,Erigga,350,25,325,300,250
114,Many Nites,Erigga,350,26,325,300,250.25
115,My Bebe,Omah Lay,350,30,325,300,251.25
116,Faithful God (Live),Onos,350,33,325,300,252
117,You,Omah Lay,350,34,325,300,252.25
118,Champion ft. D Smoke,Fireboy DML,350,39,325,300,253.5
119,Sugar Daddy ft. Olamide,Dj Enimoney,350,40,325,300,253.75
120,Iwaju,9ice,350,42,325,300,254.25
121,Hallelujah Challenge Praise Medley,Nathaniel Bassey,350,45,325,300,255
122,Pempe ft. Yemi Alade,Seyi Shay,350,53,325,300,257
123,Lonely,Joeboy,350,56,325,300,257.75
124,Aye,Naira Marley,350,57,325,300,258
125,Lagos Anthem,Zlatan,350,58,325,300,258.25
126,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,350,59,325,300,258.5
127,Confession,Omah Lay,350,63,325,300,259.5
128,Forgive,Mrolaide ,350,64,325,300,259.75
129,Capable God,Judikay,350,65,325,300,260
130,"I Love You ft. Teni, Simi & Tamar Braxton",Mr. P,350,69,325,300,261
131,Damn ft. 6Lack,Omah Lay,350,72,325,300,261.75
132,GAT ME SINGING,Luddy Dave,350,74,325,300,262.25
133,Adura ft. Mohbad,Bella Shmurda,350,78,325,300,263.25
134,Lo Lo,Omah Lay,350,79,325,300,263.5
135,I No Wear Pant,Erigga,350,81,325,300,264
136,Wahala Dey,Erigga,350,82,325,300,264.25
137,Egbon ft. Phyno,Masterkraft,350,83,325,300,264.5
138,What A Mighty God ft. Nathaniel Bassey,Steve Crown,350,86,325,300,265.25
139,Call,Joeboy,350,88,325,300,265.75
140,Jackpot ft. Bella Shumurda,Crayon,350,91,325,300,266.5
141,Roju,Chike,350,96,325,300,267.75
142,p u n c h i n  . t h e . c l o c k,J. Cole,46,400,325,300,267.75
143,If E Happen For Lagos,Runtown,350,100,325,300,268.75
144,Omo Ologo,Lil Frosh & Zinoleesky,350,400,325,20,273.75
145,Onyedikagi (feat. Glowrie),Mercy Chinwo,350,400,325,21,274
146,Build a Bitch,,350,400,325,28,275.75
147,In My Maserati,Olakira,350,400,325,30,276.25
148,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,350,400,325,40,278.75
149,Sai dake,Hamisu Breaker,350,400,325,47,280.5
150,MONTERO (Call Me By Your Name),Lil Nas X,350,400,325,48,280.75
151,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,350,400,325,50,281.25
152,Born Sinner (feat. Davido & Peruzzi),Mr Peak,350,400,325,53,282
153,Jennifer,Guchi,350,400,325,58,283.25
154,Dama,Namenj & Hamisu Breaker,350,400,325,60,283.75
155,Dancina,Yemi Alade,350,400,325,61,284
156,good 4 u,Olivia Rodrigo,350,400,325,62,284.25
157,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",350,400,325,63,284.5
158,Good Woman,Flavour,350,400,325,65,285
159,Million Little Miracles,Elevation Worship & Maverick City Music,350,400,325,68,285.75
160,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy)","DJ Khaled, Nas, JAY-Z & James Fauntleroy",350,400,325,69,286
161,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",DJ Khaled,350,400,325,71,286.5
162,Okay,Adekunle Gold,350,400,98,300,287
163,Come Through (feat. Chris Brown),H.E.R.,350,400,325,75,287.5
164,Save Your Tears,The Weeknd,350,400,325,76,287.75
165,Congratulations (feat. Buchi Atuonwu),Ada Ehi,350,400,325,77,288
166,Ameno,ERA,350,400,325,80,288.75
167,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music,350,400,325,81,289
168,Up,Cardi B,350,400,325,82,289.25
169,Cultural Praise,Kcee & Okwesili Eze Group,350,400,325,86,290.25
170,Deceive (feat. RudeBoy),Yemi Alade,350,400,325,87,290.5
171,Just Like That,Tarrus Riley,350,400,325,88,290.75
172,At My Worst,Pink Sweat$,350,400,325,90,291.25
173,Hungry For You,Nathaniel Bassey,350,400,325,92,291.75
174,Fractions,Nicki Minaj,350,400,325,93,292
175,Everything (Amen),Timi Dakolo,350,400,325,95,292.5
176,THANKFUL (feat. Lil Wayne & Jeremih),DJ Khaled,350,400,325,96,292.75
177,Gani Aso,Zainab Ambato,350,400,325,98,293.25
178,Nesesari (feat. Philkeyz),Kizz Daniel,350,400,325,100,293.75
