rank,song,artist,apple,boom,spotify,youtube,deezer,RT
1,Feeling,"LADIPOE, Buju",1,2,1,2,1,1.4
2,Rock,Olamide,2,1,2,4,3,2.4
3,Bounce,Ruger,3,12,3,5,2,5
4,Coming,"Naira Marley, Busiswa",7,7,6,25,7,10.4
5,Show Me,Joeboy,11,6,10,6,23,11.2
6,Kilometre,Burna Boy,10,4,8,22,14,11.6
7,Forever (Remix),"Gyakie, Omah Lay",12,25,11,7,9,12.8
8,History,"Cheque, Fireboy DML",15,3,14,18,17,13.4
9,Running (To You),"Chike, Simi",26,10,24,3,22,17
10,Essence (feat. Tems),Wizkid,9,47,9,13,11,17.8
11,It Is What It Is,Adekunle Gold,14,21,13,29,16,18.6
12,Dimension (feat. Skepta & Rema),JAE5,6,50,5,27,6,18.8
13,Outside,Buju,4,16,4,66,5,19
14,Focus,Joeboy,18,5,17,33,27,20
15,Felony,CKay,16,38,15,35,8,22.4
16,FOR YOU (feat. Davido),Teni,33,20,31,14,21,23.8
17,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",17,54,16,21,12,24
18,Godly,Omah Lay,37,8,34,11,34,24.8
19,Pronto,"Ajebo Hustlers, Omah Lay",13,36,12,49,15,25
20,Somebody Baby,"Davido, Peruzzi",19,53,18,38,18,29.2
21,Bling (feat. Amaarae & Buju),Blaqbonez,5,78,42,31,4,32
22,Loved By You (feat. Burna Boy),Justin Bieber,23,46,22,64,20,35
23,The Best (feat. Mayorkun),Davido,31,44,29,37,36,35.4
24,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,30,55,28,57,24,38.8
25,La La (feat. CKay),Davido,56,22,55,8,63,40.8
26,Ginger (feat. Burna Boy),Wizkid,20,91,19,45,38,42.6
27,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,38,84,37,40,19,43.6
28,KPK (Ko Por Ke),"Rexxie, MohBad",44,96,40,20,30,46
29,Money,"Terri, Bella Shmurda, MohBad",22,39,21,93,57,46.4
30,World,"Dangbana Republik, Bella Shmurda",28,81,26,55,45,47
31,Too Correct,"Crayon, Rema",43,15,41,59,86,48.8
32,Music Messiah,"DJ Neptune, Wande Coal",36,24,36,70,78,48.8
33,Cash App,"Bella Shmurda, Zlatan, Lincoln",55,72,54,23,42,49.2
34,Cho Cho (feat. Davido & Mayorkun),Zlatan,78,56,77,1,44,51.2
35,INJURE ME,Teni,41,26,39,88,76,54
36,Koleyewon,Naira Marley,82,34,81,43,51,58.2
37,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",8,400,7,15,10,88
