rank,song,artist,Previous week,weeks on chart
1,Rock,Olamide,2,5
2,Feeling,"LADIPOE, Buju",1,5
3,Outside,Buju,8,5
4,COMING,"Naira Marley, Busiswa",3,5
5,History,"Cheque, Fireboy DML",4,5
6,Essence (feat. Tems),Wizkid,6,5
7,Kilometre,Burna Boy,5,5
8,It Is What It Is,Adekunle Gold,7,5
9,Running (To You),"Chike, Simi",10,5
10,FOR YOU,Teni,12,5
11,Felony,CKay,14,5
12,dimension,JAE5,17,5
13,Godly,Omah Lay,15,5
14,Focus,Joeboy,9,5
15,Pronto,"Ajebo Hustlers, Omah Lay",13,5
16,Somebody Baby,"Davido, Peruzzi",16,5
17,KPK (Ko Por Ke),"Rexxie, MohBad",41,5
18,Ginger,Wizkid,33,5
19,Late At Night,Roddy Ricch,11,2
20,The Best,Davido,18,5
21,World,"Dangbana Republik, Bella Shmurda",19,5
22,Cash App,"Bella Shmurda, Zlatan, Lincoln",23,5
23,PEPE,"L.A.X, Davido",0,1
24,Soundgasm,Rema,0,1
25,Show Me,Joeboy,27,5
26,Body (Remix),"Tion Wayne, Russ Millions",28,5
27,Too Correct,"Crayon, Rema",22,4
28,INJURE ME,Teni,21,5
29,23,Burna Boy,31,5
30,Forever (Remix),"Gyakie, Omah Lay",29,5
31,Infinity,Olamide,30,5
32,Bling,Blaqbonez,26,5
33,La La (feat. CKay),Davido,34,4
34,Ke Star (Remix),"Focalistic, Davido",54,5
35,Hallelu,Masterkraft,35,5
36,KOLO,Ice Prince,39,5
37,Bounse,Rema,70,5
38,Loved By You (feat. Burna Boy),Justin Bieber,38,5
39,Southy Love,Peruzzi,40,5
40,Early Momo,Vector,43,5
41,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,42,5
42,Way Too Big,Burna Boy,37,5
43,Bad Influence,Omah Lay,44,5
44,Bounce,Ruger,25,5
45,Ayewada,Barry Jhay,45,3
46,High Way,"DJ Kaywise, Phyno",49,4
47,Rush,"Dangbana Republik, Bella Shmurda",50,5
48,Cho Cho,Zlatan,46,5
49,Kilofeshe,Zinoleesky,51,3
50,Tonongo,"Lojay, Sarz",52,3
51,Avalanche,Migos,0,1
52,Having Our Way (feat. Drake),Migos,0,1
53,Don Dada,Timaya,56,5
54,Straightenin,Migos,0,1
55,RAPSTAR,Polo G,84,5
56,Commitment Issues,Central Cee,57,5
57,Oliver Twist,ArrDee,58,2
58,Voice of the Heroes,"Lil Baby, Lil Durk",36,3
59,All My Life,M.I Abaga,20,2
60,Abu Dhabi,Ruger,82,5
61,No Return (feat. The Kid Laroi & Lil Durk),Polo G,0,1
62,Modern Day,Migos,0,1
63,Painting Pictures,Polo G,0,1
64,Olofofo,Victor AD,59,2
65,Door,Joeboy,32,5
66,Koleyewon,Naira Marley,48,5
67,If You No Love,Chike,64,2
68,Bank On It,Burna Boy,71,5
69,This Your Body,Skales and Davido,63,3
70,Airplane Mode,Fireboy DML,0,1
71,Music Messiah,DJ Neptune,24,3
72,Champion,Fireboy DML & D Smoke,66,2
73,If E Happen For Lagos,Runtown,0,1
74,No Stress,Wizkid,69,5
75,Lonely,Joeboy,67,2
76,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",61,5
77,Ruger,Ruger,65,5
78,LV N ATTN feat. Wizkid,"Lojay, Sarz",47,3
79,Confident,"Savage, Buju",0,1
80,Real Life,Burna Boy,55,5
81,Blessed (feat. Damian Marley),Wizkid,75,5
82,Epidemic,Polo G,0,1
83,Monalisa,"Lojay, Sarz",72,3
84,CELEBRATE ME,Patoranking,0,1
85,Holy Ground,Davido,73,2
86,Malibu (feat. Polo G),Migos,0,1
87,Smile,Wizkid,0,1
88,Antisocial (feat. Juice WRLD),Migos,0,1
89,Type Shit (feat. Cardi B),"Migos, Cardi B",0,1
90,GANG GANG (with Lil Wayne),"Polo G, Lil Wayne",0,1
91,Squander,Falz,0,1
92,Picasso (feat. Future),"Migos, Future",0,1
93,Ginger Me (Intro),Bella Shmurda,0,1
94,For the Love of New York (with Nicki Minaj),"Polo G, Nicki Minaj",0,1
95,Fame & Riches (with Roddy Ricch),Polo G,0,1
96,Triumphant,Olamide,88,4
97,Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk, Travis Scott",74,3
98,Light It Up (feat. Pop Smoke),"Migos, Pop Smoke",0,1
99,Why Not,Migos,0,1
100,Heartbreak Anniversary,GIVON,92,5
