rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Rock,Olamide,3,1,2,2,3,7,3.0
2,Feeling,"LADIPOE, Buju",1,2,37,1,1,2,7.333333333333333
3,Outside,Buju,5,13,4,11,5,18,9.333333333333334
4,COMING,"Naira Marley, Busiswa",11,8,8,4,8,29,11.333333333333334
5,History,"Cheque, Fireboy DML",16,3,13,3,20,20,12.5
6,Essence,Wizkid,9,24,6,20,9,11,13.166666666666666
7,Kilometre,Burna Boy,12,7,9,14,18,36,16.0
8,It Is What It Is,Adekunle Gold,14,20,12,9,12,31,16.333333333333332
9,Running (To You),"Chike, Simi",37,11,34,16,29,5,22.0
10,FOR YOU,Teni,47,19,48,15,25,13,27.833333333333332
11,Felony,CKay,18,67,15,25,10,39,29.0
12,dimension,JAE5,8,27,5,122,7,21,31.666666666666668
13,Godly,Omah Lay,51,10,50,38,39,14,33.666666666666664
14,Focus,Joeboy,64,5,63,7,30,38,34.5
15,Pronto,"Ajebo Hustlers, Omah Lay",19,77,18,26,23,52,35.833333333333336
16,Somebody Baby,"Davido, Peruzzi",32,84,29,21,19,40,37.5
17,KPK (Remix),"Rexxie, MohBad",69,26,66,28,32,23,40.666666666666664
18,Ginger,Wizkid,25,94,24,35,42,41,43.5
19,Late At Night,Roddy Ricch,23,74,22,34,35,80,44.666666666666664
20,The Best,Davido,46,43,46,51,43,42,45.166666666666664
21,World,"Dangbana Republik, Bella Shmurda",43,100,41,8,54,59,50.833333333333336
22,Cash App,"Bella Shmurda, Zlatan, Lincoln",72,82,68,43,51,25,56.833333333333336
23,PEPE,"L.A.X, Davido",68,16,65,29,108,72,59.666666666666664
24,Soundgasm,Rema,2,420,1,6,2,1,72.0
25,Show Me,Joeboy,10,4,7,450,22,9,83.66666666666667
26,Body (Remix),"Tion Wayne, Russ Millions",13,420,11,32,17,15,84.66666666666667
27,Too Correct,"Crayon, Rema",63,17,62,23,300,51,86.0
28,INJURE ME,Teni,58,22,57,12,300,84,88.83333333333333
29,23,Burna Boy,42,46,40,48,37,325,89.66666666666667
30,Forever (Remix),"Gyakie, Omah Lay",26,21,23,450,11,8,89.83333333333333
31,Infinity,Olamide,73,12,69,37,24,325,90.0
32,Bling,Blaqbonez,6,420,75,10,6,28,90.83333333333333
33,La La (feat. CKay),Davido,22,31,20,450,53,12,98.0
34,Ke Star (Remix),"Focalistic, Davido",20,90,19,450,15,16,101.66666666666667
35,Hallelu,Masterkraft,54,420,53,30,21,43,103.5
36,KOLO,Ice Prince,30,420,27,53,40,65,105.83333333333333
37,Bounse,Rema,34,420,3,155,16,17,107.5
38,Loved By You (feat. Burna Boy),Justin Bieber,33,29,31,450,26,76,107.5
39,Southy Love,Peruzzi,29,420,26,65,75,50,110.83333333333333
40,Early Momo,Vector,35,420,35,62,70,57,113.16666666666667
41,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,50,39,49,450,31,69,114.66666666666667
42,Way Too Big,Burna Boy,78,37,80,55,122,325,116.16666666666667
43,Bad Influence,Omah Lay,100,50,102,66,98,325,123.5
44,Bounce,Ruger,4,6,350,450,4,6,136.66666666666666
45,Ayewada,Barry Jhay,82,25,84,5,300,325,136.83333333333334
46,High Way,"DJ Kaywise, Phyno",56,420,54,44,300,35,151.5
47,Rush,"Dangbana Republik, Bella Shmurda",48,420,45,27,49,325,152.33333333333334
48,Cho Cho,Zlatan,375,69,350,31,60,32,152.83333333333334
49,Kilofeshe,Zinoleesky,61,420,60,36,28,325,155.0
50,Tonongo,"Lojay, Sarz",17,420,14,140,48,325,160.66666666666666
51,Avalanche,Migos,24,420,17,450,38,19,161.33333333333334
52,Having Our Way (feat. Drake),Migos,15,420,10,450,34,63,165.33333333333334
53,Don Dada,Timaya,375,68,350,46,84,77,166.66666666666666
54,Straightenin,Migos,27,420,21,450,33,64,169.16666666666666
55,RAPSTAR,Polo G,21,420,16,450,13,100,170.0
56,Commitment Issues,Central Cee,71,420,67,111,36,325,171.66666666666666
57,Oliver Twist,ArrDee,57,420,55,450,27,68,179.5
58,Voice of the Heroes,"Lil Baby, Lil Durk",41,420,38,450,56,74,179.83333333333334
59,All My Life,M.I Abaga,375,92,350,148,58,66,181.5
60,Abu Dhabi,Ruger,45,420,47,190,67,325,182.33333333333334
61,No Return (feat. The Kid Laroi & Lil Durk),Polo G,66,420,56,450,59,56,184.5
62,Modern Day,Migos,75,420,71,450,91,34,190.16666666666666
63,Painting Pictures,Polo G,60,420,51,450,65,97,190.5
64,Olofofo,Victor AD,375,14,350,18,300,96,192.16666666666666
65,Door,Joeboy,375,18,350,47,300,73,193.83333333333334
