,Previous Rank,song,artist,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Rock,Olamide,1,225246,,https://www.youtube.com/watch?v=6WkxiF7nnjY
2,3,Running (To You),Chike & Simi,14,179250,7.20%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
3,1,La La (feat. CKay),Davido,7,156047,-43.40%,https://www.youtube.com/watch?v=NM8cY2VzqkI
4,2,Jehovah Overdo,Chidinma,2,135552,-40.10%,https://www.youtube.com/watch?v=jgcXR4U4kEc
5,4,Forever (Remix),Gyakie & Omah Lay,19,128954,-3.10%,https://www.youtube.com/watch?v=q5URc13jOv0
6,20,Bounce,Ruger,2,128294,90.20%,https://www.youtube.com/watch?v=I9tqmugh2X8
7,12,Feeling,LADIPOE & Buju,2,100769,23%,https://www.youtube.com/watch?v=U2LuTUP_OsQ
8,6,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ,5,100111,3.60%,https://www.youtube.com/watch?v=BS3HgiHPYcs
9,11,Godly,Omah Lay,26,91235,4.60%,https://www.youtube.com/watch?v=DqUd72pK15Y
10,8,FOR YOU (feat. Davido),Teni,14,86724,-6.10%,https://www.youtube.com/watch?v=Y5QUVma7_g4
11,9,Essence (feat. Tems),Wizkid,27,82285,-9.20%,https://www.youtube.com/watch?v=m77FDcKg96Q
12,,a m a r i,J. Cole,1,81639,,https://www.youtube.com/watch?v=w3333Fo6ufY
13,10,History,Cheque & Fireboy DML,6,80158,-9.60%,https://www.youtube.com/watch?v=n1FIQVk1JEE
14,7,Bounse,Rema,12,74468,-19.80%,https://www.youtube.com/watch?v=xxMTgqNjZGo
15,5,Kilometre,Burna Boy,4,73450,-44.50%,https://www.youtube.com/watch?v=eKv5CBr-kKo
16,,Straightenin,Migos,1,69057,,https://www.youtube.com/watch?v=E553AnMAvlU
17,16,Coming,Naira Marley & Busiswa,9,66820,-7.60%,https://www.youtube.com/watch?v=dAhmUNl62mc
18,17,KPK (Ko Por Ke),Rexxie & Mohbad,24,65982,-6.70%,https://www.youtube.com/watch?v=rs7PiGxBShs
