Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Running (To You),Chike & Simi,15,160362,-10.5%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
2,,Butter,BTS,1,151560,,https://www.youtube.com/watch?v=WMweEpGlu_U
3,1,Rock,Olamide,2,144271,-35.9%,https://www.youtube.com/watch?v=6WkxiF7nnjY
4,7,Feeling,LADIPOE & Buju,3,128361,27.4%,https://www.youtube.com/watch?v=DfLS0A5IAhk
5,6,Bounce,Ruger,3,122303,-4.7%,https://www.youtube.com/watch?v=I9tqmugh2X8
6,5,Forever (Remix),Gyakie & Omah Lay,20,117485,-8.9%,https://www.youtube.com/watch?v=q5URc13jOv0
7,4,Jehovah Overdo,Chidinma,3,116449,-14.1%,https://www.youtube.com/watch?v=jgcXR4U4kEc
8,3,La La (feat. CKay),Davido,8,113097,-27.5%,https://www.youtube.com/watch?v=NM8cY2VzqkI
9,8,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ,6,86037,-14.1%,https://www.youtube.com/watch?v=BS3HgiHPYcs
10,9,Godly,Omah Lay,27,83590,-8.4%,https://www.youtube.com/watch?v=DqUd72pK15Y
11,11,Essence (feat. Tems),Wizkid,28,82457,0.2%,https://www.youtube.com/watch?v=m77FDcKg96Q
12,10,FOR YOU (feat. Davido),Teni,15,81085,-6.5%,https://www.youtube.com/watch?v=Y5QUVma7_g4
13,47,Sai dake,Hamisu Breaker,3,76637,77.6%,https://www.youtube.com/watch?v=1eWinSRXuo0
14,,SUN GOES DOWN,Lil Nas X,1,69555,,https://www.youtube.com/watch?v=U3BVFY9wnTw
15,14,Bounce,Rema,13,68037,-8.6%,https://www.youtube.com/watch?v=xxMTgqNjZGo
16,13,History,Cheque & Fireboy DML,7,66702,-16.8%,https://www.youtube.com/watch?v=n1FIQVk1JEE
17,58,Jennifer,Guchi,2,65217,108.8%,https://www.youtube.com/watch?v=y3bQfOAsnY0
18,48,MONTERO (Call Me By Your Name),Lil Nas X,9,62735,48.2%,https://www.youtube.com/watch?v=6swmTBVI83k
19,23,Ke Star (Remix),Focalistic & Davido,14,61144,0.3%,https://www.youtube.com/watch?v=oQKKCXXRcKE
20,18,KPK (Ko Por Ke),Rexxie & Mohbad,25,60588,-8.2%,https://www.youtube.com/watch?v=rs7PiGxBShs
21,17,Coming,Naira Marley & Busiswa,10,59786,-10.5%,https://www.youtube.com/watch?v=dAhmUNl62mc
22,15,Kilometre,Burna Boy,5,59125,-19.5%,https://www.youtube.com/watch?v=eKv5CBr-kKo
23,25,Cash App,"Bella Shmurda, Zlatan & Lincoln",33,57297,-3%,https://www.youtube.com/watch?v=n1S66UhdIwA
24,22,High Way (feat. Phyno),Dj Kaywise,23,57036,-7.6%,https://www.youtube.com/watch?v=eVq3ijdk0E8
25,21,Onyedikagi (feat. Glowrie),Mercy Chinwo,5,57008,-8.9%,https://www.youtube.com/watch?v=o4pm6f5zv4I
26,26,Dimension (feat. Skepta & Rema),JAE5,10,52739,-3.1%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
27,24,It Is What It Is,Adekunle Gold,4,52174,-14.4%,https://www.youtube.com/watch?v=fgNKzf92gNo
28,30,In My Maserati,Olakira,43,48265,-5%,https://www.youtube.com/watch?v=QEPmDnVkLzg
29,27,Enjoy,Tekno,24,46505,-12.4%,https://www.youtube.com/watch?v=vnaykXFFXgg
30,40,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,30,46392,2.7%,https://www.youtube.com/watch?v=psieSr_bu8o
31,35,Focus,Joeboy,16,46066,-4.7%,https://www.youtube.com/watch?v=X8NGfvelGy4
32,32,Felony,--,17,46001,-7.1%,https://www.youtube.com/watch?v=URISA3m0OfA
33,,STUNNAMAN (feat. Lil Wayne),Birdman & Roddy Ricch,1,45691,,https://www.youtube.com/watch?v=a78G2OPKuD8
34,31,Bling (feat. Amaarae & Buju),Blaqbonez,5,45432,-10.3%,https://www.youtube.com/watch?v=JJsCz_1ib30
35,33,Koleyewon,Naira Marley,24,44275,-10%,https://www.youtube.com/watch?v=ehKNrE1ZSbg
36,36,If You No Love (feat. Mayorkun),Chike,33,43722,-8.3%,https://www.youtube.com/watch?v=71-aBRC565w
37,38,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,20,42842,-8.2%,https://www.youtube.com/watch?v=jPZsU17Z5T8
38,45,Somebody Baby,Peruzzi & Davido,10,42121,-4.4%,https://www.youtube.com/watch?v=anYV459bfmM
39,42,Pronto,Ajebo Hustlers & Omah Lay,15,41813,-5.5%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
40,39,Southy Love (feat. Fireboy DML),Peruzzi,19,41517,-8.2%,https://www.youtube.com/watch?v=92St1TBJL2E
41,41,The Best (feat. Mayorkun),Davido,28,41397,-6.7%,https://www.youtube.com/watch?v=91D1H29rToQ
42,51,Show Me,Joeboy,6,40531,-0.2%,https://www.youtube.com/watch?v=S98VrOiNyUI
43,49,Ginger (feat. Burna Boy),Wizkid,30,39896,-4%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
44,44,Abule,Patoranking,43,39221,-11.2%,https://www.youtube.com/watch?v=sRbHy6sRDps
45,20,Omo Ologo,Lil Frosh & Zinoleesky,5,39036,-39.3%,https://www.youtube.com/watch?v=YXSgtJWC9DM
46,46,Jowo,Davido,28,38832,-11.5%,https://www.youtube.com/watch?v=l6QMJniQWxQ
47,,Bigger Everyday (Live),"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple",27,38301,,https://www.youtube.com/watch?v=SuQWzw2qcmo
48,,GANG GANG,Polo G & Lil Wayne,1,37388,,https://www.youtube.com/watch?v=HQE456q4n5U
49,50,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,9,37348,-9.5%,https://www.youtube.com/watch?v=mC-zw0zCCtg
50,,23,Burna Boy,30,35959,,https://www.youtube.com/watch?v=PFPfxcvRshk
51,12,a m a r i,J. Cole,2,33980,-58.4%,https://www.youtube.com/watch?v=w3333Fo6ufY
52,55,Kilofeshe,Zinoleesky,19,33971,-4.8%,https://www.youtube.com/watch?v=_FtuXxKikNk
53,54,World,Dangbana Republik & Bella Shmurda,8,33894,-5.1%,https://www.youtube.com/watch?v=SbPAsVsJq7w
54,56,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,10,32519,-8.4%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
55,76,Save Your Tears,The Weeknd,14,32393,32.4%,https://www.youtube.com/watch?v=XXYlFuWEuKI
56,29,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,4,31333,-40.2%,https://www.youtube.com/watch?v=QRZJNqoJQFY
57,60,Dama,Namenj & Hamisu Breaker,12,31029,3.3%,https://www.youtube.com/watch?v=-37FwMOcA3E
58,59,Too Correct (feat. Rema),Crayon,8,30496,-2.2%,https://www.youtube.com/watch?v=FRQsG8WKETg
59,57,Loved By You (feat. Burna Boy),Justin Bieber,10,30285,-5.8%,https://www.youtube.com/watch?v=MHi4w6DO3DE
60,,Gifted,Neeqah,24,29566,,https://www.youtube.com/watch?v=3kXrJUrWtX0
61,16,Straightenin,Migos,2,29302,-57.6%,https://www.youtube.com/watch?v=E553AnMAvlU
62,,Outside,Buju,1,29180,,https://www.youtube.com/watch?v=F-4Bn4-Keqc
63,28,Build a Bitch,Bella Poarch,2,27671,-47.6%,https://www.youtube.com/watch?v=FLGCGc7sAUw
64,64,a p p l y i n g . p r e s s u r e,J. Cole,2,27641,3%,https://www.youtube.com/watch?v=BnK9oeBI9G4
65,65,Good Woman,Flavour,10,27316,1.8%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
66,79,Early Momo,Vector & Good Girl La,9,26065,8.5%,https://www.youtube.com/watch?v=PU2dnlpQNOg
67,77,Congratulations (feat. Buchi Atuonwu),Ada Ehi,19,25600,4.9%,https://www.youtube.com/watch?v=LjpGilXJOuY
68,63,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",11,25487,-7%,https://www.youtube.com/watch?v=wbJAtq1SLgE
69,74,KOLO (feat. Oxlade),Ice Prince,11,25276,2%,https://www.youtube.com/watch?v=Ts19iSWEvds
70,66,Door,Joeboy,7,25038,-4.8%,https://www.youtube.com/watch?v=gjzzE1v1RDk
71,70,Love Like This (feat. Fireboy DML),Lil Kesh,10,22538,-11.6%,https://www.youtube.com/watch?v=PMGrn5pA-DM
72,,Danca,Acebergtm,3,22419,,https://www.youtube.com/watch?v=W1rrkL2ioOQ
73,78,Ruger,Ruger,3,22257,-8.2%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
74,67,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",12,22251,-13.1%,https://www.youtube.com/watch?v=adLGHcj_fmA
75,80,Ameno,ERA,2,22055,-7.6%,https://www.youtube.com/watch?v=onjPLuZp6hY
76,82,Up,Cardi B,16,21787,-5.7%,https://www.youtube.com/watch?v=rCiBgLOcuKU
77,68,Million Little Miracles,Elevation Worship & Maverick City Music,3,21681,-15.3%,https://www.youtube.com/watch?v=Viiw6tGimHo
78,84,Away,Ayra Starr,18,21618,-5.3%,https://www.youtube.com/watch?v=SmbzdwnpZZs
79,91,Don Dada,Timaya,9,20799,-3.3%,https://www.youtube.com/watch?v=AKJGyiNEjpc
80,81,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music,5,20225,-13.2%,https://www.youtube.com/watch?v=K3TYG7Q_fj4
81,90,At My Worst,Pink Sweat$,11,20191,-6.3%,https://www.youtube.com/watch?v=8CEJoCr_9UI
82,43,9 5 . s o u t h,J. Cole,2,19977,-54.8%,https://www.youtube.com/watch?v=g3mVwt0B6G4
83,,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,9,19503,,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
84,97,Squander (feat. Niniola),Falz,15,19124,-0.5%,https://www.youtube.com/watch?v=d5h4yOmKi6w
85,,Yadda Kunne Yaji,Hamisu Breaker,15,18962,,https://www.youtube.com/watch?v=l-tHbaRdzJc
86,,Dynamite,BTS,24,18771,,https://www.youtube.com/watch?v=gdZLi9oWNZg
87,,Olorun Mi,Tim Godfrey,1,18656,,https://www.youtube.com/watch?v=lpnmExSC3BY
88,98,GANI A SO,Zainab Ambato,12,18445,-2.1%,https://www.youtube.com/watch?v=AgocpB3JxOA
89,,Kiss Me More (feat. SZA),Doja Cat,4,18070,,https://www.youtube.com/watch?v=0EVVKs6DQLo
90,95,Everything (Amen),Timi Dakolo,14,18006,-10.1%,https://www.youtube.com/watch?v=XRm15tiTGWE
91,69,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy)","DJ Khaled, Nas, JAY-Z & James Fauntleroy",4,17910,-29.8%,https://www.youtube.com/watch?v=mON6_EQfQFI
92,,Maybach (feat. FUTURE),42 Dugg,1,17771,,https://www.youtube.com/watch?v=gVGRIBWy6ig
93,,Cialde,Zero Assoluto,1,17709,,https://www.youtube.com/watch?v=rfli8BObE20
94,,Exotic,Korexx,10,17660,,https://www.youtube.com/watch?v=gvJngha2NOU
95,19,Seeing Green,"Nicki Minaj, Drake & Lil Wayne",2,17437,-73.4%,https://www.youtube.com/watch?v=_Q7rcUm0Dro
96,,Z Look Jamaican,Kodak Black,1,17134,,https://www.youtube.com/watch?v=8o4aG-abMtc
97,,INJURE ME,Teni,2,17025,,https://www.youtube.com/watch?v=O7bOeffd48E
98,,Astronaut In The Ocean,Masked Wolf,1,16790,,https://www.youtube.com/watch?v=MEg-oqI9qmw
99,,You're Welcome,Dwayne Johnson,4,16724,,https://www.youtube.com/watch?v=79DijItQXMM
