Rank,Previous Rank,song,artist,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,29,Coming,Naira Marley & Busiswa,15,423824,821.20%,https://www.youtube.com/watch?v=dAhmUNl62mc
2,,Verified (feat. Mayorkun),Laycon,2,259406,,https://www.youtube.com/watch?v=L7f147mkO_c
3,4,Bounce,Ruger,8,161145,13.60%,https://www.youtube.com/watch?v=I9tqmugh2X8
4,3,Jennifer,Guchi,7,159283,9.70%,https://www.youtube.com/watch?v=y3bQfOAsnY0
5,1,Feeling,LADIPOE & Buju,8,152730,-17.10%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
6,5,Soundgasm,Rema,3,121093,-6.80%,https://www.youtube.com/watch?v=nrTkERuwdCc
7,2,Rock,Olamide,7,118601,-26.30%,https://www.youtube.com/watch?v=6WkxiF7nnjY
8,6,Running (To You),Chike & Simi,20,108921,-9.60%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
9,39,Celebrate Me,Patoranking,2,101352,175.20%,https://www.youtube.com/watch?v=7XfOyuBSb_k
10,72,Berna (feat. Fally Ipupa & Tekno),Flavour,3,84758,248.80%,https://www.youtube.com/watch?v=2LGiIBkg2uw
11,8,Forever (Remix),Gyakie & Omah Lay,25,78252,-7.40%,https://www.youtube.com/watch?v=q5URc13jOv0
12,7,Show Me,Joeboy,11,76705,-14.90%,https://www.youtube.com/watch?v=F0KN8cgHC8g
13,9,Jehovah Overdo,Chidinma,8,76283,-3.20%,https://www.youtube.com/watch?v=jgcXR4U4kEc
14,11,Essence (feat. Tems),Wizkid,33,75967,0.80%,https://www.youtube.com/watch?v=jipQpjUA_o8
15,10,Roju,Chike,24,70419,-8.20%,https://www.youtube.com/watch?v=19WTWVw15n0
16,13,Godly,Omah Lay,32,69455,0.90%,https://www.youtube.com/watch?v=DqUd72pK15Y
17,12,Ameno,ERA,7,67834,-3.90%,https://www.youtube.com/watch?v=onjPLuZp6hY
18,14,FOR YOU (feat. Davido),Teni,20,66079,-3.60%,https://www.youtube.com/watch?v=Y5QUVma7_g4
19,18,Ke Star (Remix),Focalistic & Davido,19,65461,11.20%,https://www.youtube.com/watch?v=oQKKCXXRcKE
20,16,La La (feat. CKay),Davido,13,64044,-2.30%,https://www.youtube.com/watch?v=NM8cY2VzqkI
21,15,Outside,Buju,6,62479,-8.10%,https://www.youtube.com/watch?v=3A3MiNlX6II
22,,Money,"Terri, Bella Shmurda & Mohbad",2,60892,,https://www.youtube.com/watch?v=A0G03824rMc
23,21,Bounse,Rema,18,51463,-0.90%,https://www.youtube.com/watch?v=xxMTgqNjZGo
24,25,Cash App,"Bella Shmurda, Zlatan & Lincoln",38,49650,1.20%,https://www.youtube.com/watch?v=n1S66UhdIwA
25,22,In My Maserati,Olakira,48,49502,-2.10%,https://www.youtube.com/watch?v=QEPmDnVkLzg
26,,Naira Marley,Zinoleesky,1,49230,,https://www.youtube.com/watch?v=wFrlXSC4D4A
27,23,Dimension (feat. Skepta & Rema),JAE5,15,47848,-5.30%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
28,26,KPK (Ko Por Ke),Rexxie & Mohbad,30,47550,-0.40%,https://www.youtube.com/watch?v=rs7PiGxBShs
29,28,Onyedikagi (feat. Glowrie),Mercy Chinwo,10,43434,-6.50%,https://www.youtube.com/watch?v=o4pm6f5zv4I
30,,Bad Habits,Ed Sheeran,1,42819,,https://www.youtube.com/watch?v=orJSJGHjBLI
31,31,History,Cheque & Fireboy DML,12,42685,-5.40%,https://www.youtube.com/watch?v=n1FIQVk1JEE
32,30,Bling (feat. Amaarae & Buju),Blaqbonez,10,42647,-6.20%,https://www.youtube.com/watch?v=JJsCz_1ib30
33,24,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ Millions,11,41935,-15.50%,https://www.youtube.com/watch?v=BS3HgiHPYcs
34,,You Right,Doja Cat & The Weeknd,1,41507,,https://www.youtube.com/watch?v=JXgV1rXUoME
35,32,It Is What It Is,Adekunle Gold,9,39923,-9%,https://www.youtube.com/watch?v=fgNKzf92gNo
36,,All (feat. Davido),Rexxie,1,39791,,https://www.youtube.com/watch?v=6Wpa3JYfLp0
37,37,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,35,39049,1.30%,https://www.youtube.com/watch?v=psieSr_bu8o
38,,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber,1,38037,,https://www.youtube.com/watch?v=yZ2mytHtlpk
39,36,High Way (feat. Phyno),Dj Kaywise,28,37945,-2.20%,https://www.youtube.com/watch?v=eVq3ijdk0E8
40,35,Felony,ckay,22,37425,-4.30%,https://www.youtube.com/watch?v=URISA3m0OfA
41,40,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,25,35492,-1.30%,https://www.youtube.com/watch?v=jPZsU17Z5T8
42,,Fix My Eyes on You (feat. Sinach),Ada Ehi,2,35479,,https://www.youtube.com/watch?v=sJQfsvMmxuI
43,48,Bigger Everyday (Live),"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple",30,35301,1.50%,https://www.youtube.com/watch?v=SuQWzw2qcmo
44,42,Ginger (feat. Burna Boy),Wizkid,35,34238,-3.30%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
45,44,Enjoy,Tekno,29,34208,-2.80%,https://www.youtube.com/watch?v=vnaykXFFXgg
46,,Koleyewon,Naira Marley,27,34036,,https://www.youtube.com/watch?v=ehKNrE1ZSbg
47,71,Rain (feat. Mzansi Youth Choir),Yemi Alade,2,33738,38.50%,https://www.youtube.com/watch?v=ERMoAHnf2Vw
48,41,Focus,Joeboy,21,33622,-5.20%,https://www.youtube.com/watch?v=X8NGfvelGy4
49,,Abule,Patoranking,45,33560,,https://www.youtube.com/watch?v=sRbHy6sRDps
50,46,The Best (feat. Mayorkun),Davido,33,33353,-4.40%,https://www.youtube.com/watch?v=91D1H29rToQ
51,34,Kilometre,Burna Boy,10,33092,-16.50%,https://www.youtube.com/watch?v=eKv5CBr-kKo
52,,Red Light Green Light,DaBaby,1,32730,,https://www.youtube.com/watch?v=p6IIWuwdNIc
53,55,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,14,31387,-1%,https://www.youtube.com/watch?v=mC-zw0zCCtg
54,61,MONTERO (Call Me By Your Name),Lil Nas X,14,28605,1.50%,https://www.youtube.com/watch?v=6swmTBVI83k
55,51,Somebody Baby,Peruzzi & Davido,15,28547,-14.30%,https://www.youtube.com/watch?v=anYV459bfmM
56,,Fall for Me,Laycon,8,28413,,https://www.youtube.com/watch?v=G2P_vjYXisI
57,,Chi Chi,Naira Marley,23,28109,,https://www.youtube.com/watch?v=-w0iSUtYlNg
58,,Big Thug Boys,AV,1,27155,,https://www.youtube.com/watch?v=4iJvmXekbnY
59,57,Pronto,Ajebo Hustlers & Omah Lay,20,26243,-12.40%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
60,68,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,14,26214,5.60%,https://www.youtube.com/watch?v=Qp7cb_v3_gQ
61,59,Cho Cho (feat. Davido & Mayorkun),Zlatan,9,25915,-12.70%,https://www.youtube.com/watch?v=XdclVBcpmdg
62,70,Good Woman,Flavour,15,25348,3.60%,https://www.youtube.com/watch?v=jN0hSjZ_7fQ
63,60,Early Momo,Vector & Good Girl La,14,25140,-12%,https://www.youtube.com/watch?v=PU2dnlpQNOg
64,77,Ruger,Ruger,8,25118,15.90%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
65,63,Too Correct (feat. Rema),Crayon,13,24717,-8.50%,https://www.youtube.com/watch?v=FRQsG8WKETg
66,64,World,Dangbana Republik & Bella Shmurda,13,24556,-7.60%,https://www.youtube.com/watch?v=SbPAsVsJq7w
67,94,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",17,24473,48.40%,https://www.youtube.com/watch?v=adLGHcj_fmA
68,,Survive (feat. Olamide),Jaido P,1,24288,,https://www.youtube.com/watch?v=xmj2yHkEQtg
69,,Jack,Nasty C,1,23402,,https://www.youtube.com/watch?v=JO_boqkM8Y0
70,62,KOLO (feat. Oxlade),Ice Prince,16,23156,-15.10%,https://www.youtube.com/watch?v=Ts19iSWEvds
71,52,Butter,BTS,6,23101,-30.60%,https://www.youtube.com/watch?v=WMweEpGlu_U
72,,Rollin' (feat. Burna Boy),MIST,1,23055,,https://www.youtube.com/watch?v=vLE52edPGrI
73,,Salute,Alikiba,1,22794,,https://www.youtube.com/watch?v=XOsaB1HbB6s
74,69,Dama,Namenj & Hamisu Breaker,17,22761,-8.30%,https://www.youtube.com/watch?v=-37FwMOcA3E
75,56,Pempe (Live),Seyi Shay & Yemi Alade,4,22574,-24.90%,https://www.youtube.com/watch?v=xCvOUDN7Gtc
76,73,Save Your Tears,The Weeknd,19,22524,-5.80%,https://www.youtube.com/watch?v=XXYlFuWEuKI
77,54,Legit,Angela Okorie,3,22197,-30.50%,https://www.youtube.com/watch?v=lc5u-DCtqOY
78,74,Sai dake,Hamisu Breaker,8,22022,-7.60%,https://www.youtube.com/watch?v=1eWinSRXuo0
79,78,Door,Joeboy,12,21806,2.30%,https://www.youtube.com/watch?v=gjzzE1v1RDk
80,83,Oliver Twist,ArrDee,4,21588,6.90%,https://www.youtube.com/watch?v=HC7p5PjrC1E
81,80,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,15,21500,3.20%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
82,81,Don Dada,Timaya,14,21055,1.20%,https://www.youtube.com/watch?v=AKJGyiNEjpc
83,,Poko,Kizz Daniel,23,19471,,https://www.youtube.com/watch?v=fNQ080Bfz-k
84,85,Loved By You (feat. Burna Boy),Justin Bieber,15,19436,-0.60%,https://www.youtube.com/watch?v=MHi4w6DO3DE
85,82,Love Like This (feat. Fireboy DML),Lil Kesh,15,19161,-6.90%,https://www.youtube.com/watch?v=PMGrn5pA-DM
86,45,Ball If I Want To,DaBaby,2,19145,-45.40%,https://www.youtube.com/watch?v=_Rzm7cPzVUo
87,84,INJURE ME,Teni,7,18976,-4.60%,https://www.youtube.com/watch?v=O7bOeffd48E
88,,Omo X 100 (feat. Olamide),Reminisce,1,18806,,https://www.youtube.com/watch?v=odQZRwj9yaI
89,87,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",16,18571,-3.50%,https://www.youtube.com/watch?v=wbJAtq1SLgE
90,100,You're Welcome,Dwayne Johnson,7,18444,18.40%,https://www.youtube.com/watch?v=79DijItQXMM
91,,You Remain the Same,Dunsin Oyekan,1,18193,,https://www.youtube.com/watch?v=jQFFPr7GoVk
92,,PuTTin,Tekno,24,17874,,https://www.youtube.com/watch?v=woaC-yLVTTo
93,19,Need For Speed,Olamide,2,17492,-69.30%,https://www.youtube.com/watch?v=9UMu53Raq2Y
94,65,If E Happen for Lagos,Runtown,5,17441,-32.90%,https://www.youtube.com/watch?v=6dE1mygXWOE
95,75,Airplane Mode,Fireboy DML,5,17279,-26.80%,https://www.youtube.com/watch?v=fROdHu_oI7g
96,88,GANI A SO,Zainab Ambato,17,16902,-11.50%,https://www.youtube.com/watch?v=AgocpB3JxOA
97,92,Million Little Miracles,Elevation Worship & Maverick City Music,8,16687,0.50%,https://www.youtube.com/watch?v=Viiw6tGimHo
98,,Kiss Me More (feat. SZA),Doja Cat,8,16537,,https://www.youtube.com/watch?v=0EVVKs6DQLo
99,91,Labarin Zuciya (Live),Rahab saleem,7,16179,-4.10%,https://www.youtube.com/watch?v=O1wnV5k00Fs
100,,"Idi Oremi (Opotoyi, Pt. 2)",Naira Marley,26,16171,,https://www.youtube.com/watch?v=EGFgpPuRMnU
