Position,song,artist
1,Running (To You),Chike
2,Butter,BTS
3,Rock,Olamide
4,Feeling,Ladipoe & Buju
5,Bounce,Ruger
6,Forever (Remix),Gyakie & Omah Lay
7,Jehovah Overdo,Chidinma
8,La La (feat. Ckay),Davido
9,"Body (Remix) (feat. ZT (3x3), Fivio Foreign, Buni & ArrDee)",Russ & Tion Wayne
10,Godly,Omah Lay
11,Essence (feat. Tems),WizKid
12,FOR YOU (feat. Davido),Teni
13,Sai dake,Hamisu Breaker
14,SUN GOES DOWN,Lil Nas X
15,Bounse,Rema
16,History (feat. Fireboy DML),Cheque
17,jennifer,Guchi
18,MONTERO (SATAN'S EXTENDED VERSION),Lil Nas X
19,Ke Star (Remix) (feat. Virgo Deep),Focalistic & Davido
20,KPK (Ko Por Ke),Rexxie & MohBad
21,Coming,Naira Marley & Busiswa
22,Kilometre,Burna Boy
23,Cash App,Zlatan & Lincoln
24,High Way,DJ Kaywise & Phyno
25,Onyedikagi (feat. Glowrie),Mercy Chinwo
26,Dimension (feat. Skepta & Rema),JAE5
27,It Is What It Is,Adekunle Gold
28,In My Maserati,Olakira
29,Enjoy,Tekno
30,Olorun Agbaye(feat. Chandler Moore & OBA),NATHANIEL BASSEY
31,Focus,Joeboy
32,Felony,CKay
33,STUNNAMAN (feat. Lil Wayne),Birdman & Roddy Ricch
34,Bling (feat. Amaarae & Buju),Blaqbonez
35,Koleyewon,Naira Marley
36,If You No Love (feat. Mayorkun),Chike
37,Hallelu (feat. Bella Shmurda & Zlatan),Mastercraft
38,Somebody Baby,Peruzzi & Davido
39,Pronto,Ajebo Hustlers & Omah Lay
40,Southy Love (feat. Fireboy DML),Peruzzi
41,The Best (feat. Mayorkun),Davido
42,Show Me,Joeboy
43,Ginger (feat. Burna Boy),WizKid
44,Abule,Patoranking
45,Omo Ologo,Lil frosh & Zinoleesky
46,Jowo,Davido
47,Bigger Everyday,"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens & Temple"
48,GANG GANG,Polo G & Lil Wayne
49,Jireh (feat. Chandler Moore & Naomi Raine),Maverick City Music & Elevation Worship
50,23,Burna Boy
51,a m a r i,iJ. Cole
52,Kilofese,Zinoleesky
53,World,Dangbana Republik & Bella Shmurda
54,Peaches (feat. Daniel Caesar & Giveon),Justin Beiber
55,Save Your Tears,The Weeknd
56,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaleed
57,Dama (feat. Hamisu Breaker),Namenj
58,Too Correct,Crayon & Rema
59,Loved By You (feat. Burna Boy),Justin Bieber
60,Gifted,NeeQah
61,Straightenin,Migos
62,Outside,Buju
63,Build a Bitch,Bella Poarch
64,a p p l y i n g . p r e s s u r e,J. Cole
65,Good Woman,Flavour
66,Early Momo (feat. Good Girl LA),Vector
67,Congratulations (feat. Buchi),Ada Ehi
68,"Are You Sure (feat. Emo Grae, Naira Marley & Zinoleesky)",Lyta
69,KOLO (feat. Oxlade),Ice Prince
70,Door,Joeboy
71,Love Like This,Lil Kesh ft Fireboy Dml
72,Danca,Acebergtm
73,Ruger,Ruger
74,Leave The Door Open,Anderson .Paak & Silk Sonic
75,Ameno,Era
76,Up,Cardi B
77,Million Little Miracles (feat. Joe L Barnes),Elevation Worship & Maverick City Music
78,Away,yAyra Starr
79,Don Dada,Timaya
80,Wait On You (feat. Dante Bowe & Chandler Moore),Elevation Worship & Maverick City Music
81,At My Worst,tPink Sweat$
82,9 5 . s o u t h,J. Cole
83,MERCY CHINWO AND CHIOMA JESUS PERFORMING ONEMMENMA LIVE ON STAGE AT AMANATOR 2021 PRAISE CRUSADE,Chioma Jesus
84,Squander,Falz & Niniola
85,Yadda Kunne Yaji,Hamisu Breaker
86,Dynamite,BTS
87,Olorun Mi,Tim Godfrey
88,GANI A SO,OZainab Ambato
89,Kiss Me More (feat. SZA),Doja Cat
90,Everything (Amen),Timi Dakolo
91,"SORRY NOT SORRY (Harmonies by The Hive) (feat. Nas, JAY-Z & James Fauntleroy)",DJ Khaleed
92,Maybach (feat. Future),42 Dugg
93,Cialde,Zero Assoluto
94,Exotic,Korexx
95,Seeing Green,Drake & Lil Wayne
96,Z Look Jamaican,Kodak Black
97,INJURE ME,Teni
98,Astronaut In The Ocean,Masked Wolf
99,You're Welcome,Dwayne Johnson
100,Nesesari (feat. Philkeyz),Kizz Daniel
