Position,song,artist,album
1,Party Next Door,"Dangbana Republik, Bella Shmurda",Party Next Door - Single
2,Naira Marley,Zinoleesky,Naira Marley - Single
3,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,Masta Groove
4,Korope,"Lil Kesh, Naira Marley",Korope - Single
5,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,A True Champion
6,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix] - Single
7,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,A True Champion
8,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
9,Problem (feat. Idowest),Stackz,N.E.W (Now Everyone\'s Watching) - EP
10,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
11,Jafafa,"Chinko Ekun, MohBad",Jafafa - Single
12,Troway (feat. Zlatan),Whalez,Troway (feat. Zlatan) - Single
13,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
14,Gbowo,Nikita,Gbowo - Single
15,Tekiller,CDQ,Tekiller - Single
16,About Money,SunkkeySnoop,About Money - Single
17,Coming,"Naira Marley, Busiswa",Coming - Single
18,Koleyewon,Naira Marley,Koleyewon - Single
19,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,Normal (feat. Nigga Tee) - Single
20,High Way,"DJ Kaywise, Phyno",High Way - Single
21,Available (feat. MohBad),C Blvck,Available (feat. MohBad) - Single
22,Egbon,"Masterkraft, Phyno",Egbon - Single
23,Mr Money,Asake,Mr Money - Single
24,Focus Vibe,Slimcase,Focus Vibe - Single
25,Asampepe,"Wale Turner, Idowest",Asampepe - Single
26,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",Meji - Single
27,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",Squander (feat. Niniola & Sayfar) [Remix] - Single
28,Aye Dun Gan,Oyibo Rebel,Aye Dun Gan - Single
29,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
30,Sugar Daddy,"DJ Enimoney, Olamide",Sugar Daddy - Single
31,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD) - Single"
32,World,"Dangbana Republik, Bella Shmurda",World - Single
33,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,Baba Fela Remix (feat. Zlatan & Laycon) - Single
34,Sugar Daddy (feat. Small Doctor & Mohbad),OG Hyper,Sugar Daddy (feat. Small Doctor & Mohbad) - Single
35,Hallelujah,"Oladips, Zlatan","Mainland To Island ""the Ep"" - EP"
36,Kabaa (feat. Mayorkun),Idowest,"Mafia Culture, Vol. 2.0"
37,Barawo (feat. Davido) [Remix],Ajebo Hustlers,Barawo (Remix) [feat. Davido] - Single
38,Tesina Pot,"Jaido P, Olamide",Tesina Pot - Single
39,Wagwan,Laycon,Wagwan - Single
40,Lagbaja,Sona,Lagbaja - Single
41,Mandeman (feat. Davido) [Remix],Small Doctor,Mandeman (Remix) [feat. Davido] - Single
42,Dey Here,BoyMX,Dey Here - Single
43,Shamaya (feat. Patoranking),Idowest,"Mafia Culture, Vol. 2.0"
44,Prayer (feat. Drekiss),Lexzydreamz,Prayer (feat. Drekiss) - Single
45,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
46,Aunty Fisayo,QD,Aunty Fisayo - Single
47,Another Banger,Realonyechi,Another Banger - Single
48,Doing Well Remix (feat. Skales),Ryme,Doing Well Remix - Single (feat. Skales) - Single
49,Formula 1,Damibliz,Formula 1 - Single
50,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,Journey
51,Kokanmi,Qdot,Kokanmi - Single
52,If No Be You (feat. Mayorkun),Jamopyper,If No Be You (feat. Mayorkun) - Single
53,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck] - Single
54,Mofo,Fikky,Mofo - Single
55,E Choke,Bils,E Choke - Single
56,Kafaya (feat. Bella Shmurda),Daniel Brown,Kafaya (feat. Bella Shmurda) - Single
57,My Life,"Dj Manuel, Zlatan",My Life - Single
58,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan) - Single"
59,Moyan,CDQ,See the Queue - EP
60,Oge (feat. Bad Boy Timz),Anonymous Music,Oge (feat. Bad Boy Timz) - Single
61,Want (feat. DanDizzy),Rage,Want (feat. DanDizzy) - Single
62,Billing Npayan,Obaflow,Billing Npayan - Single
63,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",Bad Boy - Single
64,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,NGNP (No Girlfriend No Problem) [feat. Zlatan] - Single
65,Dedede,"Boyodre, Dayo Chino",Dedede - Single
66,Hustle (feat. Zlatan),Reklyn,Hustle (feat. Zlatan) - Single
67,The Matter (feat. Papisnoop),Zlatan,RoadToCDK - EP
68,Isolova,Peruzzi,Isolova - Single
69,Olopa (feat. Zlatan),Qdot,Alagbe
70,One Leg Up (feat. Tekno),Blaq Jerzee,One Leg Up (feat. Tekno) - Single
