Position,song,artist
1,Rain,BIGBEN
2,Kogbede (feat. Wande Coal),CDQ
3,Professor Peller (feat. Zlatan),Seyi Vibez
4,Number One (feat. Preck & Nelson Tivane),Dj Consequence and  DJ Tarico
5,OMOKOMO,Baddy Oosha
6,Champion,Dangbana Republik and  Bella Shmurda
7,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak
8,Korope,Lil Kesh and  Naira Marley
9,Energy,SunkkeySnoop
10,Paper,C Blvck and  Peruzzi
11,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie
12,Hello xe1xbaxb8,Reminisce and  WestSyde
13,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft
14,Focus,Rudeboy
15,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma
16,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie
17,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
18,Party Next Door,Dangbana Republik and  Bella Shmurda
19,Problem (feat. Idowest),Stackz
20,Cut Soap,DJ Xclusive and  Rulerboy
21,Rush,Dangbana Republik and  Bella Shmurda
22,Jafafa,Chinko Ekun and  MohBad
23,No Retire,Jaivah
24,Troway (feat. Zlatan),Whalez
25,Cho Cho (feat. Davido & Mayorkun),Zlatan
26,Gbowo,Nikita
27,Tekiller,CDQ
28,About Money,SunkkeySnoop
29,Coming,Naira Marley and  Busiswa
30,Koleyewon,Naira Marley
31,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo
32,High Way,DJ Kaywise and  Phyno
33,Available (feat. MohBad),C Blvck
34,Egbon,Masterkraft and  Phyno
35,Mr Money,Asake
36,Focus Vibe,Slimcase
37,Asampepe,Wale Turner and  Idowest
38,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun"
39,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura"
40,Aye Dun Gan,Oyibo Rebel
41,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
42,Sugar Daddy,DJ Enimoney and  Olamide
43,World,Dangbana Republik and  Bella Shmurda
44,Sugar Daddy (feat. Small Doctor & Mohbad),OG Hyper
45,Kabaa (feat. Mayorkun),Idowest
46,Barawo (feat. Davido) [Remix],Ajebo Hustlers
47,Tesina Pot,Jaido P and  Olamide
48,Wagwan,Laycon
49,Sapa (feat. Idowest),Bravo AZ
50,Lagbaja,Sona
51,Mandeman (feat. Davido) [Remix],Small Doctor
52,Dey Here,BoyMX
53,Shamaya (feat. Patoranking),Idowest
54,Prayer (feat. Drekiss),Lexzydreamz
55,Check Am,Chief Obi
56,Cash App,"Bella Shmurda,  Zlatan and  Lincoln"
57,Aunty Fisayo,QD
58,Another Banger,Realonyechi
59,Doing Well Remix (feat. Skales),Ryme
60,Formula 1,Damibliz
61,Kokanmi,Qdot
62,If No Be You (feat. Mayorkun),Jamopyper
63,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul
64,Mofo,Fikky
65,E Choke,Bils
66,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise
67,Moyan,CDQ
68,Want (feat. DanDizzy),Rage
69,Billing Npayan,Obaflow
70,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ"
71,Dedede,Boyodre and  Dayo Chino
72,Hustle (feat. Zlatan),Reklyn
73,The Matter (feat. Papisnoop),Zlatan
74,Isolova,Peruzzi
75,Olopa (feat. Zlatan),Qdot
