rank,song,artist,Previous week,weeks on chart
1,Korope,"Lil Kesh, Naira Marley",17,2
2,Naira Marley,Zinoleesky,1,2
3,KPK (Ko Por Ke) (Official Music Video),Rexxie,2,4
4,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,3,4
5,Coming,"Naira Marley, Busiswa",4,4
6,Rush,"Dangbana Republik, Bella Shmurda",5,4
7,Koleyewon,Naira Marley,6,4
8,Hello,"Reminisce, WestSyde",-,1
9,Cho Cho (feat. Davido & Mayorkun),Zlatan,7,4
10,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,35,4
11,World,"Dangbana Republik, Bella Shmurda",8,4
12,Available (feat. Mohbad),C Blvck,9,4
13,"Baba Fela (Remix) (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,-,1
14,Mandeman (Remix) (feat. Davido),Small Doctor,10,4
15,Cash App,"Bella Shmurda, Zlatan, Lincoln",11,2
16,Prayer,Lexzydreamz,12,2
17,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,13,4
18,If No Be You (feat. Mayorkun),Jamopyper,14,2
19,Champion,"Dangbana Republik, Bella Shmurda",-,1
20,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,18,4
21,Check Am,Chief Obi,-,1
22,Sapa (feat. Idowest),Bravo AZ,-,1
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,16,4
24,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,-,1
25,Party Next Door,"Dangbana Republik, Bella Shmurda",15,4
26,Problem (feat. Idowest),Stackz,20,4
27,Shigege,"DJames, Komo",-,1
28,Jafafa,"Chinko Ekun, MohBad",21,4
29,Troway (feat. Zlatan),Whalez,22,4
30,Gbowo,Nikita,23,4
31,Tekiller,CDQ,24,4
32,About Money,SunkkeySnoop,25,4
33,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,26,4
34,High Way,"DJ Kaywise, Phyno",27,4
35,Egbon,"Masterkraft, Phyno",28,4
36,Mr Money,Asake,29,4
37,Focus Vibe,Slimcase,30,4
38,Asampepe,"Wale Turner, Idowest",31,4
39,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",32,4
40,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",33,4
41,Aye Dun Gan,Oyibo Rebel,34,4
42,Sugar Daddy,"DJ Enimoney, Olamide",36,4
43,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,37,4
44,Hallelujah,"Oladips, Zlatan",39,4
45,Kabaa (feat. Mayorkun),Idowest,40,4
46,Barawo (feat. Davido) [Remix],Ajebo Hustlers,41,4
47,Tesina Pot,"Jaido P, Olamide",42,4
48,Wagwan,Laycon,43,4
49,Lagbaja,Sona,44,4
50,Dey Here,BoyMX,45,4
