rank,song,artist
1,KPK (Remix) (feat. Mohbad & Sho Madjozi),Rexxie
2,Rush,"Dangbana Republik, Bella Shmurda"
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
4,Coming,"Naira Marley, Busiswa"
5,Cho Cho (feat. Davido & Mayorkun),Zlatan
6,Jafafa,"Chinko Ekun, MohBad"
7,Koleyewon,Naira Marley
8,Available (feat. Mohbad),C Blvck
9,World,"Dangbana Republik, Bella Shmurda"
10,Cash App,"Bella Shmurda, Zlatan, Lincoln"
11,Mandeman (Remix) (feat. Davido),Small Doctor
12,Tesina Pot,"Jaido P, Olamide"
13,Prayer,Lexzydreamz
14,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise
15,If No Be You (feat. Mayorkun),Jamopyper
16,Problem (feat. Idowest),Stackz
17,Dey Here,BoyMX
18,Zoom Zoom,Lawy B
19,Troway (feat. Zlatan),Whalez
20,Gbowo,Nikita
21,About Money,SunkkeySnoop
22,Dedede,"Boyodre, Dayo Chino"
23,Formula 1,Damibliz
24,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo
25,High Way,"DJ Kaywise, Phyno"
26,Egbon,"Masterkraft, Phyno"
27,Mr Money,Asake
28,Focus Vibe,Slimcase
29,Asampepe,"Wale Turner, Idowest"
30,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun"
31,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura"
32,Aye Dun Gan,Oyibo Rebel
33,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
34,Sugar Daddy,"DJ Enimoney, Olamide"
35,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan
36,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real
37,Hallelujah,"Oladips, Zlatan"
38,Kabaa (feat. Mayorkun),Idowest
39,Barawo (feat. Davido) [Remix],Ajebo Hustlers
40,Wagwan,Laycon
41,Lagbaja,Sona
42,Shamaya (feat. Patoranking),Idowest
43,Aunty Fisayo,QD
44,Another Banger,Realonyechi
45,Doing Well Remix (feat. Skales),Ryme
46,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ
47,Kokanmi,Qdot
48,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul
49,Mofo,Fikky
50,E Choke,Bils
