rank,song,artist,Previous week,weeks on chart
1,Professor Peller (feat. Zlatan),Seyi Vibez,1,7
2,Korope,Lil Kesh and  Naira Marley,3,7
3,Party Next Door,Dangbana Republik and  Bella Shmurda,4,9
4,Hello e,Reminisce and  WestSyde,-,1
5,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,5,9
6,Coming,Naira Marley and  Busiswa,7,9
7,Koleyewon,Naira Marley,8,9
8,KPK (Ko Por Ke) (Official Music Video),Rexxie,6,6
9,Available (feat. Mohbad),C Blvck,9,5
10,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,10,9
11,Mandeman (Remix) (feat. Davido),Small Doctor,12,9
12,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,11,9
13,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",13,4
14,Prayer,Lexzydreamz,14,5
15,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,15,7
16,Kilofeshe Remix,Zinoleesky and  Harmonize,-,1
17,Kogbede (feat. Wande Coal),CDQ,-,1
18,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence,16,7
19,OMOKOMO,Baddy Oosha,17,5
20,Champion,Dangbana Republik and  Bella Shmurda,18,4
21,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,19,4
22,Energy,SunkkeySnoop,20,2
23,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,21,9
24,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,23,3
25,Focus,Rudeboy,24,9
26,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,25,5
27,Problem (feat. Idowest),Stackz,26,6
28,Cut Soap,DJ Xclusive and  Rulerboy,27,9
29,Rush,Dangbana Republik and  Bella Shmurda,28,9
30,Jafafa,Chinko Ekun and  MohBad,29,9
31,No Retire,Jaivah,30,9
32,Troway (feat. Zlatan),Whalez,31,9
33,Cho Cho (feat. Davido & Mayorkun),Zlatan,32,9
34,Gbowo,Nikita,33,9
35,Tekiller,CDQ,34,9
36,About Money,SunkkeySnoop,35,9
37,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,36,9
38,High Way,DJ Kaywise and  Phyno,37,9
39,Egbon,Masterkraft and  Phyno,38,9
40,Mr Money,Asake,39,9
41,Focus Vibe,Slimcase,40,9
42,Asampepe,Wale Turner and  Idowest,41,9
43,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",42,9
44,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",43,9
45,Aye Dun Gan,Oyibo Rebel,44,9
46,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,45,9
47,Sugar Daddy,DJ Enimoney and  Olamide,46,9
48,World,Dangbana Republik and  Bella Shmurda,47,9
49,Hallelujah,Oladips and  Zlatan,48,9
50,Kabaa (feat. Mayorkun),Idowest,49,9
