rank,song,artist,apple,youtube,RT
1,Professor Peller (feat. Zlatan),Seyi Vibez,3,11,8.5
2,Korope,Lil Kesh and  Naira Marley,8,14,15.0
3,Party Next Door,Dangbana Republik and  Bella Shmurda,17,3,18.5
4,Hello e,Reminisce and  WestSyde,11,17,19.5
5,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,16,9,20.5
6,Coming,Naira Marley and  Busiswa,28,10,33.0
7,Koleyewon,Naira Marley,29,13,35.5
8,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,15,48,39.0
9,Available (feat. MohBad),C Blvck,32,33,48.5
10,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,42,27,55.5
11,Mandeman (feat. Davido) [Remix],Small Doctor,53,22,64.0
12,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,44,41,64.5
13,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",58,21,68.5
14,Prayer (feat. Drekiss),Lexzydreamz,56,45,78.5
15,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,71,25,83.5
16,Kilofeshe Remix,Zinoleesky and  Harmonize,1,200,101.0
17,Kogbede (feat. Wande Coal),CDQ,2,200,102.0
18,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence,4,200,104.0
19,OMOKOMO,Baddy Oosha,5,200,105.0
20,Champion,Dangbana Republik and  Bella Shmurda,6,200,106.0
21,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,7,200,107.0
22,Energy,SunkkeySnoop,9,200,109.0
23,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,10,200,110.0
24,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,12,200,112.0
25,Focus,Rudeboy,13,200,113.0
26,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,14,200,114.0
27,Problem (feat. Idowest),Stackz,18,200,118.0
28,Cut Soap,DJ Xclusive and  Rulerboy,19,200,119.0
29,Rush,Dangbana Republik and  Bella Shmurda,20,200,120.0
30,Jafafa,Chinko Ekun and  MohBad,21,200,121.0
31,No Retire,Jaivah,22,200,122.0
32,Troway (feat. Zlatan),Whalez,23,200,123.0
33,Cho Cho (feat. Davido & Mayorkun),Zlatan,24,200,124.0
34,Gbowo,Nikita,25,200,125.0
35,Tekiller,CDQ,26,200,126.0
36,About Money,SunkkeySnoop,27,200,127.0
37,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,30,200,130.0
38,High Way,DJ Kaywise and  Phyno,31,200,131.0
39,Egbon,Masterkraft and  Phyno,33,200,133.0
40,Mr Money,Asake,34,200,134.0
41,Focus Vibe,Slimcase,35,200,135.0
42,Asampepe,Wale Turner and  Idowest,36,200,136.0
43,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",37,200,137.0
44,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",38,200,138.0
45,Aye Dun Gan,Oyibo Rebel,39,200,139.0
46,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,40,200,140.0
47,Sugar Daddy,DJ Enimoney and  Olamide,41,200,141.0
48,World,Dangbana Republik and  Bella Shmurda,43,200,143.0
49,Hallelujah,Oladips and  Zlatan,46,200,146.0
50,Kabaa (feat. Mayorkun),Idowest,47,200,147.0
51,Barawo (feat. Davido) [Remix],Ajebo Hustlers,48,200,148.0
52,Tesina Pot,Jaido P and  Olamide,49,200,149.0
53,Wagwan,Laycon,50,200,150.0
54,Sapa (feat. Idowest),Bravo AZ,51,200,151.0
55,Lagbaja,Sona,52,200,152.0
