rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feel Good - Mohbad,Mohbad,2,2,2,2,2,1,1,1.7142857142857142
2,Drug Test - Naira Marley,Naira Marley,1,1,1,1,1,5,5,2.142857142857143
3,Party Next Door - Bella Shmurda,Bella Shmurda,3,3,3,3,3,4,4,3.2857142857142856
4,Zinoleesky - Naira Marley (Official Video) - Naira Marley,Naira Marley,4,4,4,4,4,2,2,3.4285714285714284
5,Coming - Naira Marley,Naira Marley,5,5,5,5,5,10,10,6.428571428571429
6,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,7,7,7,7,7,8,8,7.285714285714286
7,Denge Pose (feat. MohBad) - Lil Frosh,Lil Frosh,6,6,6,6,6,16,16,8.857142857142858
8,Hallelu (feat. Bella Shmurda & Zlatan) - Masterkraft,Masterkraft,9,9,9,9,9,9,9,9.0
9,Professor Peller [Feat. Zlatan] (Official Audio) - Seyi Vibez,Seyi Vibez,10,10,10,10,10,11,11,10.285714285714286
10,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,13,13,13,13,13,6,6,11.0
11,Far Away - Bella Shmurda,Bella Shmurda,11,11,11,11,11,12,12,11.285714285714286
12,Lil Kesh x Naira Marley - Korope (Audio slide) - Lil Kesh,Lil Kesh,12,12,12,12,12,14,14,12.571428571428571
13,KPK (Ko Por Ke) (Official Music Video) (feat. Mohbad & Sho Madjozi) - Rexxie,Rexxie,14,14,14,14,14,15,15,14.285714285714286
14,Hello Ẹ - Reminisce,Reminisce,15,15,15,15,15,17,17,15.571428571428571
15,Kilofeshe - Zinoleesky,Zinoleesky,17,17,17,17,17,18,18,17.285714285714285
16,Rihanna - The Kazez,The Kazez,8,8,8,8,8,41,41,17.428571428571427
17,God Sent - Seyi Vibez,Seyi Vibez,18,18,18,18,18,19,19,18.285714285714285
18,Happiness - Davolee,Davolee,20,20,20,20,20,20,20,20.0
19,Kilamiti - Fabian Blu,Fabian Blu,16,16,16,16,16,33,33,20.857142857142858
20,Koleyewon - Naira Marley,Naira Marley,24,24,24,24,24,13,13,20.857142857142858
21,Cash App - Bella Shmurda,Bella Shmurda,21,21,21,21,21,21,21,21.0
22,Mandeman (Remix) (feat. Davido) - Small Doctor,Small Doctor,22,22,22,22,22,22,22,22.0
23,KAMBA - Terry Apala,Terry Apala,19,19,19,19,19,30,30,22.142857142857142
24,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,23,23,23,23,23,23,23,23.0
25,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,25,25,25,25,25,24,24,24.714285714285715
26,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,26,26,26,26,26,25,25,25.714285714285715
27,Lagos Anthem - Zlatan,Zlatan,28,28,28,28,28,26,26,27.428571428571427
28,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun) - Dj Kaywise",Dj Kaywise,31,31,31,31,31,27,27,29.857142857142858
29,Your Body - Mayorkun,Mayorkun,32,32,32,32,32,28,28,30.857142857142858
30,Zinoleesky - MaPariwo (OFFICIAL VIDEO) - Naira Marley,Naira Marley,33,33,33,33,33,29,29,31.857142857142858
31,Chi Chi - Naira Marley,Naira Marley,34,34,34,34,34,32,32,33.42857142857143
32,Ayewada - Barry Jhay,Barry Jhay,29,29,29,29,29,45,45,33.57142857142857
33,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr Real,30,30,30,30,30,43,43,33.714285714285715
34,Triumphant (feat. Bella Shmurda) - Olamide,Olamide,35,35,35,35,35,34,34,34.714285714285715
35,All The Way - Lil Kesh,Lil Kesh,36,36,36,36,36,35,35,35.714285714285715
36,Lowo Lowo (Remix) (feat. Davido) - May D,May D,37,37,37,37,37,36,36,36.714285714285715
37,Available (feat. Mohbad) - C Blvck,C Blvck,39,39,39,39,39,37,37,38.42857142857143
38,90’S - Seyi Vibez,Seyi Vibez,41,41,41,41,41,38,38,40.142857142857146
39,Money - Bella Shmurda,Bella Shmurda,38,38,38,38,38,47,47,40.57142857142857
40,See Finish (feat. Mayorkun) - Dapo Tuburna,Dapo Tuburna,43,43,43,43,43,39,39,41.857142857142854
41,Ori - Barry Jhay,Barry Jhay,44,44,44,44,44,40,40,42.857142857142854
42,Lil Kesh & Naira Marley - O Por (Official Audio) - Lil Kesh,Lil Kesh,45,45,45,45,45,42,42,44.142857142857146
43,Better Better - Jamopyper,Jamopyper,50,50,50,50,50,31,31,44.57142857142857
44,Lyta - Hold Me Down (Official Video) - Naira Marley,Naira Marley,46,46,46,46,46,44,44,45.42857142857143
45,Love (Official Video) - Davolee,Davolee,47,47,47,47,47,46,46,46.714285714285715
46,Prayer - HotKid,HotKid,48,48,48,48,48,48,48,48.0
47,Epo - Davido,Davido,49,49,49,49,49,50,50,49.285714285714285
48,"Are You Sure (feat. Emo Grae, Naira Marley & Zinoleesky) - Lyta",Lyta,201,27,27,27,27,49,201,79.85714285714286
49,Baba Nla (feat. Teni) - Candy Bleakz,Candy Bleakz,40,40,40,40,40,201,201,86.0
50,Caro - Idowest Ft Davido,Idowest Ft Davido,42,42,42,42,42,201,201,87.42857142857143
51,Babylon - Picazo,Picazo,201,201,201,201,201,3,3,144.42857142857142
52,Paper - C Blvck,C Blvck,201,201,201,201,201,7,7,145.57142857142858
53,"Lyta - Are You Sure? (Official Video) ft. Zinoleesky, Emo Grae, Naira Marley - LytaVEVO",LytaVEVO,27,201,201,201,201,201,49,154.42857142857142
