rank,song,artist,Previous week,weeks on chart
1,Understand,Omah Lay,11,7
2,Feeling ft. Buju,LADIPOE and  Buju,1,7
3,Running (To You) ft. Simi,Chike and  Simi,15,7
4,Bounce,Ruger,3,7
5,Big Thug Boys,AV,10,6
6,Sinner,Adekunle Gold and  Lucky Daye,17,7
7,Rock,Olamide,4,7
8,Kilometre,Burna Boy,2,7
9,Kamata,Diamond Platnumz,5,7
10,Slow Down,King Promise,18,7
11,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico and  Burna Boy,19,7
12,Forever (Remix) ft. Omah Lay,Gyakie and  Omah Lay,6,7
13,Coming ft. Busiswa,Naira Marley and  Busiswa,7,7
14,Soundgasm,Rema,8,7
15,Second Sermon,Black Sherif,32,7
16,Essence (feat. Tems),Wizkid,9,7
17,Outside,Buju,13,7
18,For You,Teni,14,3
19,Infinity ft. Omah Lay,Olamide,20,7
20,Coachella ft. Kwesi Arthur,Sarkodie,12,7
21,Godly,Omah Lay,22,7
22,Banyana,"DJ Maphorisa, Kabza De Small",0,1
23,History ft. Fireboy DML,Cheque,16,3
24,Monalisa,Lojay and  Sarz,0,1
25,Mood,Mr Drew,94,3
26,Vibration,Sarkodie,23,7
27,Bad Influence,Omah Lay,24,6
28,Door ft. Kwesi Arthur,Joeboy,26,7
29,Peru,Fireboy DML,0,1
30,LV N ATTN feat. Wizkid,Lojay,25,6
31,Focus,Joeboy,30,5
32,Touch It,KiDi,31,2
33,Bling (feat. Amaarae & Buju),Blaqbonez,29,7
34,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,35,4
35,Show Me,Joeboy,36,3
36,Medicine,Jaywillz,42,6
37,Black ft. Mr Eazi,Victor AD,0,1
38,Felony,CKay,34,7
39,Nimekuzoea,Nandy,37,3
40,Celebrate Me,Patoranking,40,7
41,Shopping Spree (feat. Chris Brown & Young Thug),Davido,43,6
42,Somebody Baby,Davido and  Peruzzi,41,3
43,Dimension (feat. Skepta & Rema),JAE5,39,2
44,Non Living Thing (feat. Oxlade),Sarkodie,0,1
45,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,38,7
46,Emlanjeni,De Mthuda and  Sir Trill,0,1
47,Bobo,Aya Nakamura,0,1
48,Kilofese,Zinoleesky,46,7
49,Niko Sawa (feat. Bien),Nviiri The Storyteller,44,5
50,Nossas Coisas (feat. ARY),C4 pedro,49,7
51,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and  Mr JazziQ,48,7
52,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq",50,5
53,Maserati (Remix),Olakira,51,3
54,It Is What It Is,Adekunle Gold,52,3
55,Damages,Tems,53,5
56,Baby I'm Jealous,Mr Eazi,0,1
57,Such Kinda Love ft. Jovial,Otile Brown,56,3
58,Jennifer,GUCHI,58,3
59,Nyumba Ndogo,Zuchu,59,3
60,Baikoko ft. Diamond Platnumz,Mbosso,33,5
61,Activate,Stonebwoy,54,5
62,Ke Star (Remix),Focalistic,57,5
63,Salute (feat. Rudeboy),Alikiba,62,3
64,AG Baby,Adekunle Gold,55,3
65,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,71,5
66,Sukari,Zuchu,68,3
67,Summeryomuthi,Blaq Diamond,60,3
68,23,Burna Boy,61,3
69,Hallelu,Masterkraft,63,7
70,Woman,Rema,64,3
71,Jeraha ft. Jovial,Otile Brown,74,2
72,MAD,Sarz,69,3
73,Away,Ayra Starr,66,3
74,Joro,Wizkid,65,5
75,Jealous (feat. Mayorkun) ,Alikiba,0,1
76,The Best (feat. Mayorkun),DaVido,67,3
77,Baajo,Kwesi Arthur,72,7
78,Number One ft. Zuchu,Rayvanny,76,3
79,Kilofeshe,Zinoleesky,75,3
80,System (feat. WizKid),Dave,0,1
81,Again,Wande Coal,77,4
82,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,80,3
83,E Choke ft. Mr Drew,Sefa,79,3
84,Champion,Fireboy Dml,78,4
85,Testimony,Buju,85,2
86,Adom Grace,Diana Hamilton,83,3
87,Yalaah,Mbosso,82,3
88,MOSLADO,Teni,86,5
89,Sandakalawe,Harmonize,81,5
90,Mtaalam,Mbosso,88,5
91,KPK (Ko Por Ke),Rexxie,27,5
92,Abule,Patoranking,87,2
93,Tabia Za Wakenya (Kanairo),Mejja,84,2
94,Dinaledi,Major League Djz,93,3
95,Enfant de Dieu ( Lhymne national),Ks bloom,89,2
96,INDUSTRY BABY ft. Jack Harlow,Lil Nas X,0,1
97,Let Dem Kno,Smallgod,92,5
98,Destiny,Black Sherif,0,1
99,Music Messiah,DJ Neptune,100,5
100,Mwisho,Killy (TZ),90,2
