rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,7
2,Too Faithful,Moses Bliss,2,7
3,Congratulations (feat. Buchi),Ada Ehi,3,6
4,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,5,6
5,Worship Your Maker,Dunsin Oyekan,7,7
6,Omemma,Judikay,6,6
7,Now,Ada Ehi,8,7
8,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",9,6
9,Jehovah Overdo,Chidinma,11,6
10,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,4,4
11,Hosanna (Live),Steve Crown,13,7
12,Ye Obua Mi (My Help),Joe Mettle,12,7
13,My Father My God,Jimmy D Psalmist,0,1
14,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,14,6
15,You are Yahweh,Steve Crown,15,6
16,Obinasom,Mercy Chinwo,16,7
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,17,6
18,Way Maker,Sinach,19,7
19,Faithful God (Live),Onos,18,5
20,Beautiful (feat. Nathaniel Bassey),Sinach,20,6
21,Jesus (feat. Mercy Chinwo),Samsong,22,5
22,You are Great,Steve Crown,23,7
23,Covenant Keeping God,Jimmy D Psalmist,24,7
24,Fragrance to Fire,Dunsin Oyekan,25,7
25,More Than Gold,Judith Kanayo,26,7
26,Yes And Amen,Tope Alabi,27,7
27,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,28,7
28,NO OTHER NAME,Frank Edwards,29,7
29,Nara (feat. Travis Greene),Tim Godfrey,10,7
30,At All Cost,Dunsin Oyekan,31,5
31,You Are Worthy,Tope Alabi,30,6
32,Na You Dey Reign,Mercy Chinwo,36,5
33,Yahweh,Ifeoma Okoli,32,5
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,34,3
35,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,33,2
36,Hallelujah No Go Finish,Freke Umoh,37,7
37,In Your Hands,Moses Bliss,38,7
38,We Raise a Sound (feat. 121SELAH),Nosa,39,7
39,Mighty God (feat. Nathaniel Bassey),Steve Crown,41,4
40,Grateful ft. Moses Bliss,Sinach,40,2
41,Battles,Tim Godfrey,43,6
42,Chinedum,Mercy Chinwo,42,7
43,Imela,Steve Crown,44,7
44,All That Matters,Minister GUC,46,4
45,God of Vengeance,Minister GUC,45,3
46,Halleluyah,Tope Alabi,48,3
47,All Things Are Ready,Sinach,47,4
48,Under The Canopy,Frank Edwards,50,4
49,Eze Nara Ekele,Steve Crown,0,1
50,Bless Me (feat. Ada Ehi),Mercy Masika,0,1
