rank,song,artist,Previous week,weeks on chart
1,Naira Marley,Zinoleesky,1,5
2,Professor Peller (feat. Zlatan),Seyi Vibez,16,5
3,Korope,Lil Kesh and  Naira Marley,2,7
4,Hello Ẹ,Reminisce and  WestSyde,-,1
5,Party Next Door,Dangbana Republik and  Bella Shmurda,3,7
6,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,4,7
7,KPK (Ko Por Ke) (Official Music Video),Rexxie,5,7
8,Coming,Naira Marley and  Busiswa,6,4
9,Koleyewon,Naira Marley,7,3
10,Available (feat. Mohbad),C Blvck,9,7
11,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,44,7
12,"Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr. Real,10,7
13,Mandeman (Remix) (feat. Davido),Small Doctor,11,2
14,Cash App,"Bella Shmurda,  Zlatan and  Lincoln",12,3
15,Prayer,Lexzydreamz,13,5
16,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",DJ Kaywise,14,2
17,Cut Soap,DJ Xclusive and  Rulerboy,17,7
18,Jafafa,Chinko Ekun and  MohBad,18,5
19,Champion,Dangbana Republik and  Bella Shmurda,19,3
20,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak,20,2
21,Energy,SunkkeySnoop,21,2
22,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,22,4
23,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,24,7
24,Focus,Rudeboy,-,1
25,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,25,7
26,Problem (feat. Idowest),Stackz,26,3
27,Rush,Dangbana Republik and  Bella Shmurda,27,4
28,No Retire,Jaivah,28,7
29,Troway (feat. Zlatan),Whalez,29,7
30,Cho Cho (feat. Davido & Mayorkun),Zlatan,8,7
31,Gbowo,Nikita,30,7
32,Tekiller,CDQ,31,7
33,About Money,SunkkeySnoop,32,7
34,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,33,7
35,High Way,DJ Kaywise and  Phyno,34,7
36,Egbon,Masterkraft and  Phyno,35,7
37,Mr Money,Asake,36,7
38,Focus Vibe,Slimcase,37,7
39,Asampepe,Wale Turner and  Idowest,38,7
40,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun",39,7
41,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura",40,7
42,Aye Dun Gan,Oyibo Rebel,41,7
43,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,42,7
44,Sugar Daddy,DJ Enimoney and  Olamide,43,7
45,World,Dangbana Republik and  Bella Shmurda,45,7
46,Hallelujah,Oladips and  Zlatan,46,7
47,Kabaa (feat. Mayorkun),Idowest,47,7
48,Barawo (feat. Davido) [Remix],Ajebo Hustlers,48,7
49,Tesina Pot,Jaido P and  Olamide,49,7
50,Wagwan,Laycon,50,7
