Position,song,artist
1,Essence (feat. Tems),Wizkid
2,Sinner (Official Music Video) (feat. Lucky Daye),Adekunle Gold
3,Sweetness,Sarz
4,Hypnotise (feat. Nonso Amadi),Rowlene
5,Runaway,Joeboy
6,Ma Lo,Aramide
7,Somebody,Praiz'
8,Tattoo,Fireboy DML
9,Antidote (feat. Adekunle Gold),NAO
10,Oxlade - DKT (Official Video),Oxlade
11,Piece of Me (feat. Ella Mai),Wizkid
12,Promise,Niniola
13,Running,Chike
14,Wait For You (feat. Oxlade),Melvitto
15,Questions (Official Audio),Shekhinah
16,king,Fireboy DML
17,Someone Else,Olayinka Ehi
18,Right Now (Official Video),Elaine
19,Down for You (feat. Boybreed),Aramide
20,Felony,CKay
21,Forever,Gyakie
22,Ride Or Die,Basketmouth
23,In My Bed,Rotimi
24,Blessed,Limoblaze
25,Damn,Omah Lay
26,Supersonic (feat. Tay Iwar),Le Mav
27,From Time To Time (Official Video),Takura
28,Cyclone,KiDi
29,CAN'T COME OUTSIDE,Wurld
30,Yebo/Sema (Visualizer),Masego
31,Fixate (Official Lyric Video) (feat. Bey T),Shekhinah
32,Dangerous Love,Tiwa Savage
33,Kiss Me Like You Miss Me,CKay
34,Free Mind,Tems
35,Roju,Chike
36,Rotimi - What To Do (Official Video),Rotimi
37,In Those Eyes,Ogranya
38,Thunder Fire You (Guitar Acoustic),Ric Hassani
39,Slow Down,King Promise
40,Early Momo (feat. Good Girl La),Vector
41,Here With Me,Karun
42,Fine Fine,Korede Bello
43,The One,Efya
44,Focused,Azanti
45,Ayra Starr - Away (Official Music Video),MavinRecords
46,Nobody (feat. Jeff Akoh & Kuami Eugene),JaySynths
47,Beautiful,Tomi Owó
48,With you (feat. Nonso Amadi),Shiz
49,Mystery Girl,Johnny Drille
50,Swayy (feat. Tay Iwar),Suté Iwar
