Position,song,artist
1,Essence (feat. Tems),Wizkid
2,Running,Chike
3,Felony,CKay
4,Forever (Remix),Gyakie
5,DKT,Oxlade
6,Cyclone,KiDi
7,Antidote (feat. Adekunle Gold),NAO
8,Runaway,Joeboy
9,Someone Else,Olayinka Ehi
10,Supersonic (feat. Tay Iwar),Le Mav
11,Rotimi - What To Do (Visualizer),Rotimi
12,king,Fireboy DML
13,From Time To Time (Official Video),Takura
14,Somebody,Praiz'
15,Blessed,Limoblaze
16,Roju,Chike
17,In Those Eyes,Ogranya
18,Hypnotise (feat. Nonso Amadi),Rowlene
19,Piece of Me (feat. Ella Mai),Wizkid
20,CKay - Kiss Me Like You Miss Me (Official Animated Video) (feat. Dremo),CKay
21,Right Now (Official Video),Elaine
22,In My Bed,Rotimi
23,Wait For You (feat. Oxlade),Melvitto
24,Fine Fine,Korede Bello
25,Free Mind,Tems
26,Fixate (Official Lyric Video) (feat. Bey T),Shekhinah
27,Early Momo (feat. Good Girl La),Vector
28,Slow Down,King Promise
29,Ride Or Die,Basketmouth
30,Ayra Starr - Away (Official Music Video),MavinRecords
31,Dangerous Love,Tiwa Savage
32,Thunder Fire You (Guitar Acoustic),Ric Hassani
33,D & G (feat. Summer Walker),Summer Walker
34,Questions (Official Audio),Shekhinah
35,SIDELINES,Tay Iwar
36,Tattoo,Fireboy DML
37,Yebo/Sema (Visualizer),Masego
38,Mystery Girl,Johnny Drille
39,Real Man,Korede Bello
40,Here With Me,Karun
41,Beautiful,Tomi Owó
42,Promise,Niniola
43,The One,Efya
44,Focused,Azanti
45,Nobody,JaySynths
46,Damn (feat. 6LACK),Omah Lay
47,CAN'T COME OUTSIDE,Wurld
48,BITES THE DUST,Simi
49,With you (feat. Nonso Amadi),Shiz
50,Swayy (feat. Tay Iwar),Suté Iwar
