Position,song,artist
1,Johnny Drille - loving is harder (Official Music Video),Johnny Drille
2,Sinner (Official Music Video) (feat. Lucky Daye),Adekunle Gold
3,Oxlade - Ojuju (Official Video),Oxlade
4,Somebody’s Son (Audio),Tiwa Savage
5,Essence (feat. Tems),Wizkid
6,Sweetness,Sarz
7,Falling (feat. Kidi),Nviiri The Storyteller
8,Hypnotise (feat. Nonso Amadi),Rowlene
9,Slow Down,King Promise
10,Runaway,Joeboy
11,Rotimi - Weapon (Audio) (feat. Fireboy DML),Rotimi
12,Wait For You (feat. Oxlade),Melvitto
13,Somebody,Praiz'
14,DKT,Oxlade
15,WURLD - SPUNK (Official Video),Wurld
16,Piece of Me (feat. Ella Mai),Wizkid
17,Ma Lo,Aramide
18,NEED ME (Official Music Video),Gyakie
19,Running (To You),Chike
20,Someone Else,Olayinka Ehi
21,Fine Fine,Korede Bello
22,Beautiful,Tomi Owó
23,Snitch (feat. Fousheé),Ayra Starr
24,Thunder Fire You (Guitar Acoustic),Ric Hassani
25,Antidote (feat. Adekunle Gold),NAO
26,Tattoo,Fireboy DML
27,Supersonic (feat. Tay Iwar),Le Mav
28,Special Kinda (Audio) (feat. Tay Iwar),Tiwa Savage
29,Right Now (Official Video),Elaine
30,Down for You (feat. Boybreed),Aramide
31,Forever (Remix),Gyakie
32,Early Momo (feat. Good Girl La),Vector
33,Ride Or Die,Basketmouth
34,Damn,Omah Lay
35,Kiss Me Like You Miss Me,CKay
36,Felony,CKay
37,Roju (Lord Sky Remix),Chike
38,Sweet As Temptation,Ogranya
39,In My Bed,Rotimi
40,Questions (Official Audio),Shekhinah
41,With you (feat. Nonso Amadi),Shiz
42,king,Fireboy DML
43,CAN'T COME OUTSIDE,WurlD
44,Promise,Niniola
45,From Time To Time (Official Video),Takura
46,Here With Me,Karun
47,The One,Efya
48,Free Mind,Tems
49,Cina Soul x KiDi -  Feelings (Official Video),Cina Soul
