Position,song,artist
1,Essence (feat. Tems),Wizkid
2,Running,Chike
3,Felony,CKay
4,Forever (Remix),Gyakie
5,Cyclone,KiDi
6,Antidote (feat. Adekunle Gold),NAO
7,Runaway,Joeboy
8,Supersonic (feat. Tay Iwar),Le Mav
9,Rotimi - What To Do (Visualizer),Rotimi
10,king,Fireboy DML
11,DKT,Oxlade
12,From Time To Time (Official Video),Takura
13,Somebody,Praiz'
14,Blessed,Limoblaze
15,Roju,Chike
16,In Those Eyes,Ogranya
17,Hypnotise (feat. Nonso Amadi),Rowlene
18,Piece of Me (feat. Ella Mai),Wizkid
19,CKay - Kiss Me Like You Miss Me (Official Animated Video) (feat. Dremo),CKay
20,Right Now (Official Video),Elaine
21,In My Bed,Rotimi
22,Wait For You (feat. Oxlade),Melvitto
23,Fine Fine,Korede Bello
24,Free Mind,Tems
25,Fixate (Official Lyric Video) (feat. Bey T),Shekhinah
26,Early Momo (feat. Good Girl La),Vector
27,Slow Down,King Promise
28,Ride Or Die,Basketmouth
29,Ayra Starr - Away (Official Music Video),MavinRecords
30,Dangerous Love,Tiwa Savage
31,Thunder Fire You (Guitar Acoustic),Ric Hassani
32,D & G (feat. Summer Walker),Summer Walker
33,Questions (Official Audio),Shekhinah
34,SIDELINES,Tay Iwar
35,Tattoo,Fireboy DML
36,Yebo/Sema (Visualizer),Masego
37,Mystery Girl,Johnny Drille
38,Real Man,Korede Bello
39,Risky,Elaine
40,Here With Me,Karun
41,Beautiful,Tomi Owó
42,Promise,Niniola
43,The One,Efya
44,Focused,Azanti
45,Nobody,JaySynths
46,Damn (feat. 6LACK),Omah Lay
47,CAN'T COME OUTSIDE,Wurld
48,BITES THE DUST,Simi
49,With you (feat. Nonso Amadi),Shiz
50,Swayy (feat. Tay Iwar),Suté Iwar
