Position,song,artist
1,Essence (feat. Tems),Wizkid
2,Running,Chike
3,In Those Eyes,Ogranya
4,Felony,CKay
5,Forever,Gyakie
6,Antidote (feat. Adekunle Gold),NAO
7,Runaway,Joeboy
8,Supersonic (feat. Tay Iwar),Le Mav
9,king,Fireboy DML
10,Roju,Chike
11,In My Bed,Rotimi
12,Hypnotise (feat. Nonso Amadi),Rowlene
13,Piece of Me (feat. Ella Mai),Wizkid
14,Questions (Official Audio),Shekhinah
15,Dangerous Love,Tiwa Savage
16,Early Momo (feat. Good Girl La),Vector
17,Kiss Me Like You Miss Me,CKay
18,DKT,Oxlade
19,Slow Down,King Promise
20,Somebody,Praiz'
21,Ayra Starr - Away (Official Music Video),MavinRecords
22,Right Now (Official Video),Elaine
23,Fine Fine,Korede Bello
24,Blessed,Limoblaze
25,Ride Or Die,Basketmouth
26,Real Man,Korede Bello
27,Free Mind,Tems
28,Tattoo,Fireboy DML
29,Thunder Fire You (Guitar Acoustic),Ric Hassani
30,D & G (feat. Summer Walker),Summer Walker
31,Know Your Worth (feat. Davido & Tems),Khalid
32,SIDELINES,Tay Iwar
33,Risky,Elaine
34,Yebo/Sema (Visualizer),Masego
35,Promise,Niniola
36,Decisions,Rotimi
37,Mystery Girl,Johnny Drille
38,The One,Efya
39,Fixate (Official Lyric Video) (feat. Bey T),Shekhinah
40,Here With Me,Karun
41,Nobody,JaySynths
42,Focused,Azanti
43,BITES THE DUST,Simi
44,Beautiful,Tomi Owó
45,With you (feat. Nonso Amadi),Shiz
46,CAN'T COME OUTSIDE,Wurld
47,Ready (feat. Tay Iwar),Yung L
48,Damn (feat. 6LACK),Omah Lay
49,Swayy (feat. Tay Iwar),Suté Iwar
