Position,song,artist
1,Essence (Audio) (feat. Tems),Wizkid
2,Understand,Omah Lay
3,Soundgasm,Rema
4,Monalisa,Lojay
5,Ke Star (feat. Vigro Deep),Focalistic
6,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico
7,Lie (Audio),Kizz Daniel
8,Bounce (Official Video),Ruger
9,Ogogoro (Official Audio),Yemi Alade
10,Peru,Fireboy DML
11,Ojuju,Oxlade
12,Forever (Remix),Gyakie
13,Fendi (feat. Joeboy),Blaqbonez
14,Feeling,Ladipoe
15,Let Dem Kno,Kwesi Arthur
16,Bloody Samaritan,Ayra Starr
17,Show Me,Joeboy
18,Outside,Buju
19,Godly,Omah Lay
20,Dimension (Official Video),JAE5
21,Rock (Official Video),Olamide
22,Door,Joeboy
23,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
24,Slow Down,King Promise
25,Flavour - Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour
26,Infinity (feat. Omah Lay),Olamide
27,Testimony,Buju
28,Mercy (Lyrics Video),Falz
29,Enjoy (Remix),Tekno
30,FOR YOU (feat. Davido),Teni
31,Zinoleesky - Naira Marley (Official Video),Naira Marley
32,Southy Love (feat. Fireboy DML),Peruzzi
33,Alubarika (Official Video) (feat. Buju),Zlatan
34,It Is What It Is,Adekunle Gold
35,Bling ft. Amaarae & Buju (Official Video),Blaqbonez
36,Coming,Naira Marley
37,Ginger (feat. Burna Boy),Wizkid
38,La La (Official Video) (feat. CKay),Davido
39,Kilometre,Burna Boy
40,Celebrate Me (Official Video),Patoranking
41,Bounce,Rema
42,Felony,CKay
43,PEPE,Davido
44,Non Living Thing,Sarkodie
45,Pronto,Ajebo Hustlers
46,Somebody Baby,Davido
47,Squander,Niniola
48,Loco (Official Audio) (feat. Mayorkun),KDDO
49,23,Burna Boy
50,KOLO (feat. Oxlade),Ice Prince
