Position,song,artist
1,Essence (feat. Tems),Wizkid
2,Understand (Lyric Video),Omah Lay
3,Monalisa,Lojay
4,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico
5,Ke Star (feat. Vigro Deep),Focalistic
6,Bounce (Official Video),Ruger
7,Soundgasm,Rema
8,Outside,Buju
9,Fireboy DML - Peru,Fireboy DML
10,Feeling,Ladipoe
11,Rock (Official Video),Olamide
12,Show Me,Joeboy
13,Forever (Remix),Gyakie
14,Testimony,Buju
15,Door,Joeboy
16,Dimension (Official Video),JAE5
17,Berna Reloaded,Fally Ipupa
18,Infinity (feat. Omah Lay),Olamide
19,Let Dem Kno,Smallgod
20,Enjoy (Remix),Tekno
21,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
22,Bounce,Rema
23,Godly,Omah Lay
24,Slow Down,King Promise
25,Bling ft. Amaarae & Buju (Official Video),Blaqbonez
26,La La (Official Video) (feat. CKay),Davido
27,Coming,Naira Marley
28,FOR YOU (feat. Davido),Teni
29,Kilometre,Burna Boy
30,Celebrate Me (Official Video),Patoranking
31,CKay - Felony (Official Music Video),CKay
32,Ginger (feat. Burna Boy),Wizkid
33,Enjoyment (lyric Video),Yemi Alade
34,Southy Love (feat. Fireboy DML),Peruzzi
35,Ayra Starr - Sare (Official Music Video),MavinRecords
36,23,Burna Boy
37,History (feat. Fireboy DML),Cheque
38,It Is What It Is,Adekunle Gold
39,Naira Marley,Zinoleesky
40,KOLO (feat. Oxlade),Ice Prince
41,The Best (feat. Mayorkun),Davido
42,Pronto,Ajebo Hustlers
43,Somebody Baby,Davido
44,Squander,Niniola
45,Kilofeshe,Zinoleesky
46,Loco (Official Audio) (feat. Mayorkun),KDDO
47,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Sho Madjozi
48,PEPE,Davido
49,Fine Fine,Korede Bello
50,Off You (Audio),Young Jonn
