Position,song,artist
1,Mood (Audio) (feat. Buju),Wizkid
2,Question (feat. Don Jazzy),Burna Boy
3,Peru,Fireboy DML
4,High,Adekunle Gold
5,Understand,Omah Lay
6,Soundgasm,Rema
7,Monalisa,Lojay
8,Essence (feat. Tems),Wizkid
9,Ke Star (feat. Vigro Deep),Focalistic
10,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico
11,Bounce (Official Video),Ruger
12,Lie (Official Video),Kizz Daniel
13,Somebody’s Son (Audio),Tiwa Savage
14,Anoti (Audio),Wizkid
15,Bloody Samaritan,Ayra Starr
16,Let Dem Kno,Kwesi Arthur
17,Let Me Know (Official Music Video),Mayorkun
18,Godly,Omah Lay
19,Show Me,Joeboy
20,Outside,Buju
21,Oxlade - Ojuju (Official Video),Oxlade
22,Rock (Official Video),Olamide
23,Forever (Remix),Gyakie
24,Fendi (feat. Joeboy),Blaqbonez
25,Door,Kwesi Arthur
26,Enjoyment (lyric Video),Yemi Alade
27,Flavour - Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),Flavour
28,Feeling,Ladipoe
29,FOR YOU (feat. Davido),Teni
30,Infinity (feat. Omah Lay),Olamide
31,Slow Down,King Promise
32,Dimension (Official Video),JAE5
33,Bling (feat. Buju & Amaarae),Blaqbonez
34,Felony,CKay
35,Zinoleesky - Naira Marley (Official Video),Naira Marley
36,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
37,Loco (Official Audio) (feat. Mayorkun),KDDO
38,Southy Love (feat. Fireboy DML),Peruzzi
39,La La (Official Video) (feat. CKay),Davido
40,"Juls featuring Niniola - ""Love Me"" (Lyric Video)",Juls
41,Kilometre,Burna Boy
42,Bounce,Rema
43,Celebrate Me (Official Video),Patoranking
44,PEPE,Davido
45,Enjoy (Remix),Tekno
46,KOLO (feat. Oxlade),Ice Prince
47,It Is What It Is,Adekunle Gold
48,Testimony,Buju
49,Mercy (Official Music Video),Falz
50,Non Living Thing,Sarkodie
