Position,song,artist
1,Bounce (Official Video),Ruger
2,Soundgasm,Rema
3,Rock (Official Video),Olamide
4,Forever (Remix),Gyakie
5,Essence (feat. Tems),Wizkid
6,Feeling,Ladipoe
7,Infinity (feat. Omah Lay),Olamide
8,Monalisa,Lojay
9,Ke Star (feat. Vigro Deep),Focalistic
10,Godly,Omah Lay
11,Outside,Buju
12,All (Official Audio) (feat. Davido),Rexxie
13,Door,Joeboy
14,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico
15,Dimension (Official Video),JAE5
16,Enjoy (Remix),Tekno
17,Berna Reloaded,Flavour
18,La La (Official Video) (feat. CKay),Davido
19,Show Me,Joeboy
20,It Is What It Is,Adekunle Gold
21,Felony,CKay
22,Bling (feat. Buju & Amaarae),Blaqbonez
23,23,Burna Boy
24,Somebody Baby,Davido
25,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
26,Kilofeshe,Zinoleesky
27,The Best (feat. Mayorkun),Davido
28,Kilometre,Burna Boy
29,Celebrate Me (Official Video),Patoranking
30,Coming,Naira Marley
31,History (feat. Fireboy DML),Cheque
32,Ayra Starr - Away (Official Music Video),MavinRecords
33,Pronto,Ajebo Hustlers
34,Bounce,Rema
35,FOR YOU (feat. Davido),Teni
36,Squander,Niniola
37,Ginger (feat. Burna Boy),Wizkid
38,Southy Love (feat. Fireboy DML),Peruzzi
39,Slow Down,King Promise
40,KOLO (feat. Oxlade),Ice Prince
41,Send Me Nudes (feat. Joey B),KiDi
42,All My Life (feat. Oxlade),M.I Abaga
43,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Sho Madjozi
44,High Way,Dj Kaywise
45,Loco (Official Audio) (feat. Mayorkun),KDDO
46,PEPE,Davido
47,Fine Fine,Korede Bello
48,Off You (Audio),Kidi
49,Pempe,Yemi Alade
