rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Soundgasm,Rema,1,1,1,1,1,2,2,1.2857142857142858
2,Feeling,Ladipoe,2,2,2,2,2,6,6,3.142857142857143
3,Rock (Official Video),Olamide,5,5,5,5,5,3,3,4.428571428571429
4,Ke Star (feat. Vigro Deep),Focalistic,3,3,3,3,3,10,10,5.0
5,Essence (feat. Tems),Wizkid,6,6,6,6,6,5,5,5.714285714285714
6,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico,4,4,4,4,4,15,15,7.142857142857143
7,Godly,Omah Lay,7,7,7,7,7,11,11,8.142857142857142
8,Bounce (Official Video),Ruger,12,12,12,12,12,1,1,8.857142857142858
9,All (Official Audio) (feat. Davido),Rexxie,10,10,10,10,10,13,13,10.857142857142858
10,Dimension (Official Video),JAE5,9,9,9,9,9,16,16,11.0
11,Outside,Buju,11,11,11,11,11,12,12,11.285714285714286
12,Infinity (feat. Omah Lay),Olamide,16,16,16,16,16,8,8,13.714285714285714
13,Enjoy (Remix),Tekno,18,18,18,18,18,17,17,17.714285714285715
14,Berna Reloaded,Flavour,19,19,19,19,19,18,18,18.714285714285715
15,Show Me,Joeboy,20,20,20,20,20,20,20,20.0
16,Bling (feat. Buju & Amaarae),Blaqbonez,21,21,21,21,21,23,23,21.571428571428573
17,It Is What It Is,Adekunle Gold,22,22,22,22,22,21,21,21.714285714285715
18,La La (Official Video) (feat. CKay),Davido,24,24,24,24,24,19,19,22.571428571428573
19,Send Me Nudes (feat. Joey B),KiDi,15,15,15,15,15,42,42,22.714285714285715
20,23,Burna Boy,23,23,23,23,23,24,24,23.285714285714285
21,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,26,26,26,26,26,26,26,26.0
22,Kilofeshe,Zinoleesky,28,28,28,28,28,27,27,27.714285714285715
23,Ginger (feat. Burna Boy),Wizkid,25,25,25,25,25,38,38,28.714285714285715
24,The Best (feat. Mayorkun),Davido,29,29,29,29,29,28,28,28.714285714285715
25,Bounce,Rema,27,27,27,27,27,35,35,29.285714285714285
26,Kilometre,Burna Boy,30,30,30,30,30,29,29,29.714285714285715
27,Somebody Baby,Davido,32,32,32,32,32,25,25,30.0
28,Celebrate Me (Official Video),Patoranking,31,31,31,31,31,30,30,30.714285714285715
29,History (feat. Fireboy DML),Cheque,33,33,33,33,33,32,32,32.714285714285715
30,Ayra Starr,MavinRecords,34,34,34,34,34,33,33,33.714285714285715
31,Pronto,Ajebo Hustlers,36,36,36,36,36,34,34,35.42857142857143
32,Coming,Naira Marley,39,39,39,39,39,31,31,36.714285714285715
33,FOR YOU (feat. Davido),Teni,37,37,37,37,37,36,36,36.714285714285715
34,Southy Love (feat. Fireboy DML),Peruzzi,38,38,38,38,38,39,39,38.285714285714285
35,Forever (Remix),Gyakie,13,13,13,13,13,4,201,38.57142857142857
36,Squander,Niniola,41,41,41,41,41,37,37,39.857142857142854
37,Slow Down,King Promise,40,40,40,40,40,40,40,40.0
38,Door,Joeboy,14,14,14,201,14,14,14,40.714285714285715
39,All My Life (feat. Oxlade),M.I Abaga,42,42,42,42,42,43,43,42.285714285714285
40,KOLO (feat. Oxlade),Ice Prince,43,43,43,43,43,41,41,42.42857142857143
41,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Sho Madjozi,44,44,44,44,44,44,44,44.0
42,High Way,Dj Kaywise,45,45,45,45,45,45,45,45.0
43,Loco (Official Audio) (feat. Mayorkun),KDDO,47,47,47,47,47,46,46,46.714285714285715
44,Pempe,Yemi Alade,46,46,46,46,46,50,50,47.142857142857146
45,PEPE,Davido,49,49,49,49,49,47,47,48.42857142857143
46,Fine Fine,Korede Bello,50,50,50,50,50,48,48,49.42857142857143
47,LV N ATTN feat. Wizkid (feat. Wizkid),Sarz,17,17,17,17,17,201,201,69.57142857142857
48,Dancina (Official Video),Yemi Alade,35,35,35,35,35,201,201,82.42857142857143
49,CKay,CKay,201,201,201,8,8,22,22,94.71428571428571
50,Off You (Audio),Kidi,201,201,201,48,48,49,49,113.85714285714286
51,Felony,CKay,8,8,8,201,201,201,201,118.28571428571429
52,Off You (Audio),KiDi,48,48,48,201,201,201,201,135.42857142857142
53,For You (feat. Joeboy),Ko-Jo Cue,201,201,201,201,201,7,7,145.57142857142858
54,Monalisa,Lojay,201,201,201,201,201,9,9,146.14285714285714
55,Forever,Gyakie,201,201,201,201,201,201,4,172.85714285714286
56,Door,Kwesi Arthur,201,201,201,14,201,201,201,174.28571428571428
