rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Jack (Visualizer),Nasty C,1,1,1,1,1,3,3,1.5714285714285714
2,Coachella (feat. Kwesi Arthur),Sarkodie,4,4,4,4,4,6,6,4.571428571428571
3,TBDK (feat. Erigga & Sinzu),M.I Abaga,3,3,3,3,3,9,9,4.714285714285714
4,Sore (Remix),Yaw Tog,5,5,5,5,5,5,5,5.0
5,Breathe (feat. Chike),A-Q,6,6,6,6,6,7,7,6.285714285714286
6,Steve Biko,Nasty C,7,7,7,7,7,10,10,7.857142857142857
7,Crown Of Clay (feat. Pheelz),M.I Abaga,11,11,11,11,11,4,4,9.0
8,City of Kings,PsychoYP,9,9,9,9,9,12,12,9.857142857142858
9,Best I Ever Had,Nasty C,12,12,12,12,12,11,11,11.714285714285714
10,Class Clown,TNT Kenya,14,14,14,14,14,13,13,13.714285714285714
11,AcebergTM,Acebergtm,8,8,8,8,8,31,31,14.571428571428571
12,Rap Messiah,Ladipoe,17,17,17,17,17,16,16,16.714285714285715
13,STFU,Dremo,15,15,15,15,15,24,24,17.571428571428573
14,Truth (feat. Lil Zara),Emtee,18,18,18,18,18,17,17,17.714285714285715
15,Casino,Sho Madjozi,16,16,16,16,16,25,25,18.571428571428573
16,Champagne Already?,LADIPOE,19,19,19,19,19,18,18,18.714285714285715
17,The Target,Medikal,21,21,21,21,21,15,15,19.285714285714285
18,Glory,Nyashinski,13,13,13,13,13,35,35,19.285714285714285
19,Midf (Money I Dey Find),Ycee,22,22,22,22,22,22,22,22.0
20,1 of 1,Cassper Nyovest,25,25,25,25,25,20,20,23.571428571428573
21,KHALIGRAPH JONES x SARKODIE,khaligraph jones ria,24,24,24,24,24,23,23,23.714285714285715
22,Own Your Throne,Boity,23,23,23,23,23,33,33,25.857142857142858
23,Rappers (feat. Dremo),Dreylo,32,32,32,32,32,14,14,26.857142857142858
24,The Live Report,AQ,27,27,27,27,27,29,29,27.571428571428573
25,Heartbreaker (feat. Nasty C),Blaqbonez,28,28,28,28,28,30,30,28.571428571428573
26,Early Momo (feat. Good Girl La),Vector,29,29,29,29,29,32,32,29.857142857142858
27,40 Bars (feat. Emtee),Emtee,31,31,31,31,31,34,34,31.857142857142858
28,What You Telling Me,Zilla Oaks,35,35,35,35,35,28,28,33.0
29,BLACK,Shane Eagle,39,39,39,39,39,19,19,33.285714285714285
30,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur,33,33,33,33,33,36,36,33.857142857142854
31,"Kubo (feat. Bassie, Focalistic & K.O.)",Kwesta,37,37,37,37,37,26,26,33.857142857142854
32,La Hustle remix ft. Criss Wadde & Joey B (Official Video),Medikal,30,30,30,30,30,44,44,34.0
33,Shut Up,Blaqbonez,34,34,34,34,34,37,37,34.857142857142854
34,Big Brother,Blaqbonez,36,36,36,36,36,38,38,36.57142857142857
35,Black And White,Nasty C,38,38,38,38,38,39,39,38.285714285714285
36,A,Jesse Jagz,40,40,40,40,40,40,40,40.0
37,Die There (Hustle),Illbliss,49,49,49,49,49,21,21,41.0
38,Emtee,Nasty C,41,41,41,41,41,41,41,41.0
39,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz,42,42,42,42,42,42,42,42.0
40,Jiggy Bop,Alpha P,43,43,43,43,43,43,43,43.0
41,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz,44,44,44,44,44,45,45,44.285714285714285
42,ON MY JOB (feat. PsychoYP),Sipho the Gift,45,45,45,45,45,46,46,45.285714285714285
43,That Year (feat. Sir Dauda),Show Dem Camp,46,46,46,46,46,47,47,46.285714285714285
44,No Fear (feat. Moliy),M.anifest and VIC MENSA,47,47,47,47,47,48,48,47.285714285714285
45,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite,48,48,48,48,48,49,49,48.285714285714285
46,Mainland to Island,Oladips,50,50,50,50,50,50,50,50.0
47,Stonebwoy,Stonebwoy,201,26,26,26,26,27,27,51.285714285714285
48,Rise Of The Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,2,2,2,2,2,201,201,58.857142857142854
49,"Right Now Reloaded (feat. Emtee, Nasty C, Aka & Tellaman)",Gemini Major,10,10,10,10,10,201,201,64.57142857142857
50,Happy Day (feat. Kuami Eugene),Sarkodie,20,20,20,20,20,201,201,71.71428571428571
51,Sarkodie,Sarkodie,201,201,201,201,201,1,1,143.85714285714286
52,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp,201,201,201,201,201,2,2,144.14285714285714
53,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major,201,201,201,201,201,8,8,145.85714285714286
54,Blessing,VIC MENSA,26,201,201,201,201,201,201,176.0
