Position,song,artist
1,Bounce (Official Video),Ruger
2,Essence (feat. Tems),Wizkid
3,Understand,Omah Lay
4,Feeling,Ladipoe
5,Peru,Fireboy DML
6,Monalisa,Lojay
7,Lie (Audio),Kizz Daniel
8,Ojuju,Oxlade
9,Ke Star (feat. Vigro Deep),Focalistic
10,Bloody Samaritan,Ayra Starr
11,Godly,Omah Lay
12,Fendi (feat. Joeboy),Blaqbonez
13,Door,Kwesi Arthur
14,Kilometre,Burna Boy
15,Coming,Naira Marley
16,Southy Love (feat. Fireboy DML),Peruzzi
17,Too Correct,Crayon
18,KOLO (feat. Oxlade),Ice Prince
19,Somebody Baby,Davido
20,Dollar (feat. R2bees),DJ Spinall
21,Bounce,Rema
22,Loading (feat. Bad Boy Timz),Olamide
23,Love Like This (feat. Fireboy DML),Lil Kesh
24,Rock (Official Video),Olamide
25,Morenike (feat. Teni),Ejoya
26,Baajo,Kwesi Arthur
27,Let Dem Kno,Kwesi Arthur
28,If You No Love (feat. Mayorkun),Chike
29,My Bebe,Omah Lay
30,AG Baby,Nailah Blackman
31,High Way,Dj Kaywise
32,Shadé,Fireboy DML
33,Make Up Your Mind (feat. Tekno),Ice Prince
34,Abule,Patoranking
35,Kilofeshe,Zinoleesky
36,Ginger (feat. Burna Boy),Wizkid
37,Mercy (Lyrics Video),Falz
38,Far Away,Bella Shmurda
39,All My Life (feat. Oxlade),M.I Abaga
40,Onyeka (Baby),Burna Boy
41,Verified (feat. Mayorkun),Laycon
42,Koroba,Tiwa Savage
43,Zinoleesky - Naira Marley (Official Video),Naira Marley
44,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber
45,The Best (feat. Mayorkun),Davido
46,Ogogoro (Official Audio),Yemi Alade
47,World People,Basketmouth
48,French Kiss,Mr Eazi
49,Enjoy (Remix),Tekno
50,See Love,Peruzzi
51,African Sugar (feat. Tiwa Savage),Tayc
52,Coachella,Sarkodie
