Position,song,artist
1,Feeling,Ladipoe
2,Bounce (Official Video),Ruger
3,Southy Love (feat. Fireboy DML),Peruzzi
4,Understand (Lyric Video),Omah Lay
5,Rock (Official Video),Olamide
6,Ke Star (feat. Vigro Deep),Focalistic
7,KOLO (feat. Oxlade),Ice Prince
8,Kilometre,Burna Boy
9,High Way,Dj Kaywise
10,Enjoyment,Yemi Alade
11,Coming,Naira Marley
12,Far Away,Bella Shmurda
13,Ginger (feat. Burna Boy),Wizkid
14,Godly,Omah Lay
15,Too Correct,Crayon
16,Monalisa,Lojay
17,Bounce,Rema
18,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ
19,Somebody Baby,Davido
20,Loading (feat. Bad Boy Timz),Olamide
21,All My Life (feat. Oxlade),M.I Abaga
22,Koroba,Tiwa Savage
23,All (Official Audio) (feat. Davido),Rexxie
24,Coachella ft. Kwesi Arthur (Official Video),Sarkodie
25,Make Up Your Mind (feat. Tekno),Ice Prince
26,Verified (feat. Mayorkun),Laycon
27,Door,Joeboy
28,The Best (feat. Mayorkun),Davido
29,Shadé,Fireboy DML
30,Naira Marley,Zinoleesky
31,My Bebe,Omah Lay
32,Your Body,Mayorkun
33,Baajo,Joeboy
34,Onyeka (Baby),Burna Boy
35,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber
36,Abule,Patoranking
37,If You No Love (feat. Mayorkun),Chike
38,See Love,Peruzzi
39,Love Like This,Lil Kesh
40,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz
41,Spiritual (feat. Patoranking & Kuami Eugene),KiDi
42,Kilode (feat. WES7AR 22),Drvmroll
43,Roma (feat. Terri),Wizkid
44,AG Baby,Nailah Blackman
45,Enjoy (Remix),Tekno
46,Suzanna,Sauti Sol
47,French Kiss,Mr Eazi
48,Dollar (feat. R2bees),DJ Spinall
49,World People,Basketmouth
50,African Sugar (feat. Tiwa Savage),Tayc
