Position,song,artist
1,Understand,Omah Lay
2,Bloody Samaritan,Ayra Starr
3,Bounce (Official Video),Ruger
4,Anoti (Audio),Wizkid
5,Lie (Official Video),Kizz Daniel
6,High (Official Video),Adekunle Gold
7,Peru,Fireboy DML
8,Mood (Audio) (feat. Buju),Wizkid
9,Monalisa,Lojay
10,Door,Kwesi Arthur
11,Feeling,Ladipoe
12,Southy Love (feat. Fireboy DML),Peruzzi
13,Somebody’s Son (Audio),Tiwa Savage
14,Essence (Official Video) (feat. Tems),Wizkid
15,Love Like This (feat. Fireboy DML),Lil Kesh
16,Too Correct,Crayon
17,Coming,Naira Marley
18,Rock (Official Video),Olamide
19,KOLO (feat. Oxlade),Ice Prince
20,Godly,Omah Lay
21,Question (feat. Don Jazzy),Burna Boy
22,Ke Star (feat. Vigro Deep),Focalistic
23,If You No Love (feat. Mayorkun),Chike
24,Bounce,Rema
25,High Way,Dj Kaywise
26,Kilofeshe,Zinoleesky
27,Oxlade - Ojuju (Official Video),Oxlade
28,Baajo,Joeboy
29,Loading (feat. Bad Boy Timz),Olamide
30,Fendi (feat. Joeboy),Blaqbonez
31,Morenike (feat. Teni),Ejoya
32,My Bebe,Omah Lay
33,Make Up Your Mind (feat. Tekno),Ice Prince
34,Verified (feat. Mayorkun),Laycon
35,Mercy (Official Music Video),Falz
36,AG Baby,Nailah Blackman
37,Abule,Patoranking
38,Ginger (feat. Burna Boy),Wizkid
39,Onyeka (Baby),Burna Boy
40,Far Away,Bella Shmurda
41,Enjoy (Remix),Tekno
42,Dollar (feat. R2bees),DJ Spinall
43,Zinoleesky - Naira Marley (Official Video),Naira Marley
44,Shadé,Fireboy DML
45,The Best (feat. Mayorkun),Davido
46,World People,Basketmouth
47,French Kiss,Mr Eazi
48,Let Dem Kno,Kwesi Arthur
49,Ogogoro (Official Audio),Yemi Alade
50,All My Life (feat. Oxlade),M.I Abaga
