Position,song,artist
1,Feeling,Ladipoe
2,Southy Love (feat. Fireboy DML),Peruzzi
3,Monalisa,Lojay
4,Bounce (Official Video),Ruger
5,Ke Star (feat. Vigro Deep),Focalistic
6,Rock (Official Video),Olamide
7,For You (feat. Joeboy),Ko-Jo Cue
8,KOLO (feat. Oxlade),Ice Prince
9,Kilometre,Burna Boy
10,High Way,Dj Kaywise
11,Coming,Naira Marley
12,Your Body,Mayorkun
13,Naira Marley,Zinoleesky
14,Godly,Omah Lay
15,Loading (feat. Bad Boy Timz),Olamide
16,All (Official Audio) (feat. Davido),Rexxie
17,Ginger (feat. Burna Boy),Wizkid
18,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber
19,Too Correct,Crayon
20,INJURE ME,Teni
21,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ
22,Somebody Baby,Davido
23,Coachella (feat. Kwesi Arthur),Sarkodie
24,Bounce,Rema
25,All My Life (feat. Oxlade),M.I Abaga
26,Koroba,Tiwa Savage
27,Door,Joeboy
28,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz
29,The Best (feat. Mayorkun),Davido
30,Verified (feat. Mayorkun),Laycon
31,Kilode (feat. WES7AR 22),Drvmroll
32,Make Up Your Mind (feat. Tekno),Ice Prince
33,Shadé,Fireboy DML
34,Enjoy (Remix),Tekno
35,My Bebe,Omah Lay
36,Onyeka (Baby),Burna Boy
37,Woman,Rema
38,Baajo,Joeboy
39,Roma (feat. Terri),Wizkid
40,Suzanna,Sauti Sol
41,AG Baby,Nailah Blackman
42,If You No Love (feat. Mayorkun),Chike
43,Dollar (feat. R2bees),DJ Spinall
44,African Sugar (feat. Tiwa Savage),Tayc
45,French Kiss,Mr Eazi
46,Abule,Patoranking
47,See Love,Peruzzi
48,World People,Basketmouth
49,Spiritual (feat. Patoranking & Kuami Eugene),KiDi
50,TBDK (feat. Erigga & Sinzu),M.I Abaga
