rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Beautiful (feat. Nathaniel Bassey),Sinach,1,1,1,1,1,1,2,1.1428571428571428
2,Everything (Amen),Timi Dakolo,3,3,3,3,2,2,3,2.7142857142857144
3,Onyedikagi (feat. Glowrie),Mercy Chinwo,2,2,2,2,5,5,6,3.4285714285714284
4,Everything,Ada Ehi,4,4,4,4,3,3,4,3.7142857142857144
5,INDOMITABLE,Jimmy D Psalmist,5,5,5,5,4,4,5,4.714285714285714
6,Imole,Sola Allyson,6,6,6,6,6,6,7,6.142857142857143
7,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,7,7,7,7,7,7,8,7.142857142857143
8,Worship Your Maker,Dunsin Oyekan,8,8,8,8,8,8,9,8.142857142857142
9,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,9,9,9,9,9,9,10,9.142857142857142
10,Nothing Without You (feat. Kirk Whalum),Dr Tumi,10,10,10,10,10,10,11,10.142857142857142
11,Rejoice in the Lord Philippians 4:4,Victoria Orenze,11,11,11,11,11,11,12,11.142857142857142
12,One Moment,Freke Umoh,12,12,12,12,12,12,13,12.142857142857142
13,Magnify,Dare David,13,13,13,13,13,13,14,13.142857142857142
14,Obinasom,Mercy Chinwo,14,14,14,14,14,14,15,14.142857142857142
15,Jesus Jehovah,Lara George,15,15,15,15,15,15,16,15.142857142857142
16,Way Maker,Sinach,16,16,16,16,16,16,17,16.142857142857142
17,You are Yahweh,Steve Crown,17,17,17,17,17,17,18,17.142857142857142
18,We Raise a Sound (feat. 121selah),Nosa,18,18,18,18,18,18,19,18.142857142857142
19,My Father & My Friend,Elijah Oyelade,19,19,19,19,19,19,20,19.142857142857142
20,Too Faithful,Moses Bliss,20,20,20,20,20,20,21,20.142857142857142
21,Excess Love (Live) (feat. Mercy Chinwo),J.J. Hairston,21,21,21,21,21,21,22,21.142857142857142
22,Nara,Tim Godfrey,22,22,22,22,22,22,23,22.142857142857142
23,Jesus Never Fails,MaryJane Nweke,23,23,23,23,23,23,24,23.142857142857142
24,Olorun Agbaye: You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,24,24,24,24,24,24,25,24.142857142857142
25,Knowing You,Minister GUC,25,25,25,25,25,25,26,25.142857142857142
26,Love My Home,Sinach,26,26,26,26,26,26,27,26.142857142857142
27,Unchangeable,Joe Praize,27,27,27,27,27,27,28,27.142857142857142
28,Congratulations (feat. Buchi Atuonwu),Ada Ehi,28,28,28,28,28,28,29,28.142857142857142
29,Take Over,1spirit & Theopilus Sunday,29,29,29,29,29,29,30,29.142857142857142
30,You Are Worthy,Tope Alabi,30,30,30,30,30,30,31,30.142857142857142
31,Adonai [Live],Elijah Oyelade,31,31,31,31,31,31,32,31.142857142857142
32,God of Vengeance,Minister GUC,32,32,32,32,32,32,33,32.142857142857146
33,In Your Hands,Moses Bliss,33,33,33,33,33,33,34,33.142857142857146
34,Jesus (feat. Mercy Chinwo),Samsong,34,34,34,34,34,34,35,34.142857142857146
35,WE WORSHIP YOU,Frank Edwards,35,35,35,35,35,35,36,35.142857142857146
36,Chinedum,Mercy Chinwo,36,36,36,36,36,36,37,36.142857142857146
37,Your Word Is Truth (Live),CHRIS SHALOM,37,37,37,37,37,37,38,37.142857142857146
38,Show Up,Ema Onyx,38,38,38,38,38,38,39,38.142857142857146
39,Covenant Keeping God,Jimmy D Psalmist,39,39,39,39,39,39,40,39.142857142857146
40,Battles,Tim Godfrey,40,40,40,40,40,40,41,40.142857142857146
41,Peace In the Storm,Sinach,41,41,41,41,41,41,42,41.142857142857146
42,Now,Ada Ehi,42,42,42,42,42,42,43,42.142857142857146
43,At All Cost,Dunsin Oyekan,43,43,43,43,43,43,44,43.142857142857146
44,You No Dey Use Me Play,Ema Onyx,44,44,44,44,44,44,45,44.142857142857146
45,Yes And Amen,Tope Alabi,45,45,45,45,45,45,46,45.142857142857146
46,Na You Dey Reign,Mercy Chinwo,46,46,46,46,46,46,47,46.142857142857146
47,You are Great,Steve Crown,47,47,47,47,47,47,48,47.142857142857146
48,Rid Me of Those Things,Elijah Oyelade,48,48,48,48,48,48,49,48.142857142857146
49,My Praise (feat. Solomon Lange),Norine Mindeyes,49,49,49,49,49,49,50,49.142857142857146
50,Great I Am,Dare David,50,50,50,50,50,50,51,50.142857142857146
51,ÌRÌ,Sola Allyson,51,51,51,51,51,51,52,51.142857142857146
52,Healing Stream,Evans Ighodalo,52,52,52,52,52,52,53,52.142857142857146
53,Omemma,Sinach,53,53,53,53,53,53,54,53.142857142857146
54,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,54,54,54,54,54,54,55,54.142857142857146
55,Yahweh Be Praised ( Live ),Emmasings,55,55,55,55,55,55,56,55.142857142857146
56,NO OTHER NAME,Frank Edwards,57,57,57,57,56,56,57,56.714285714285715
57,All That Matters,GUC,58,58,58,58,57,57,58,57.714285714285715
58,Halleluyah,Tope Alabi,59,59,59,59,58,58,59,58.714285714285715
59,Fragrance to Fire,Dunsin Oyekan,60,60,60,60,59,59,60,59.714285714285715
60,More Than Gold (feat. Mercy Chinwo),Judikay,61,61,61,61,60,60,61,60.714285714285715
61,ADA EHI,Ada Ehi,62,62,62,62,61,61,62,61.714285714285715
62,Under The Canopy,Frank Edwards,63,63,63,63,62,62,63,62.714285714285715
63,Hallelujah No Go Finish,Freke Umoh,64,64,64,64,63,63,64,63.714285714285715
64,Yours (Live),Minister GUC,65,65,65,65,64,64,65,64.71428571428571
65,Imela,Steve Crown,66,66,66,66,65,65,66,65.71428571428571
66,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple",Moses Bliss,67,67,67,67,66,66,67,66.71428571428571
67,Mimo,Sola Allyson,68,68,68,68,67,67,68,67.71428571428571
68,All Things Are Ready,Sinach,69,69,69,69,68,68,69,68.71428571428571
69,Mighty God (feat. Nathaniel Bassey),Steve Crown,70,70,70,70,69,69,70,69.71428571428571
70,Imole De,Dunsin Oyekan,71,71,71,71,70,70,71,70.71428571428571
71,IZURUKEME (more than enough),Promise Benson,72,72,72,72,71,71,72,71.71428571428571
72,Gratitude,Tope Alabi,73,73,73,73,72,72,73,72.71428571428571
73,Man of Galilee,Judikay,74,74,74,74,73,73,74,73.71428571428571
74,Angels Bow (feat. Phil Thompson),Steve Crown,75,75,75,75,74,74,75,74.71428571428571
75,Ta Lo Dabii Re,Tope Alabi,76,76,76,76,75,75,76,75.71428571428571
76,Same God,Segun John,77,77,77,77,76,76,77,76.71428571428571
77,Idinma,Judikay,78,78,78,78,77,77,78,77.71428571428571
78,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,79,79,79,79,78,78,79,78.71428571428571
79,You Are Jehovah,Prospa Ochimana,80,80,80,80,79,79,80,79.71428571428571
80,Awesome God,SINACH,81,81,81,81,80,80,81,80.71428571428571
81,Yes Lord (Live),Judikay,82,82,82,82,81,81,82,81.71428571428571
82,Spirit Pray (Live),Elijah Oyelade,83,83,83,83,82,82,83,82.71428571428571
83,I Win,Samsong,84,84,84,84,83,83,84,83.71428571428571
84,Yahweh,David G,85,85,85,85,84,84,85,84.71428571428571
85,Eze Nara Ekele,Steve Crown,86,86,86,86,85,85,86,85.71428571428571
86,We Wait on You,Steve Crown,87,87,87,87,86,86,87,86.71428571428571
87,Ebe,Sola Allyson,88,88,88,88,87,87,88,87.71428571428571
88,Born to Worship,Prinz,89,89,89,89,88,88,89,88.71428571428571
89,Aye Ole,Infinity,90,90,90,90,89,89,90,89.71428571428571
90,Korede,Mike Abdul,91,91,91,91,90,90,91,90.71428571428571
91,Iyin,Sola Allyson,92,92,92,92,91,91,92,91.71428571428571
92,Iyin Ye O,Tope Alabi,93,93,93,93,92,92,93,92.71428571428571
93,E Dey Work,Samsong,94,94,94,94,93,93,94,93.71428571428571
94,Nobody Can,Sammie Okposo,95,95,95,95,94,94,95,94.71428571428571
95,Bless Me (feat. Ada Ehi),Mercy Masika,96,96,96,96,95,95,96,95.71428571428571
96,My Peace,Elijah Oyelade,97,97,97,97,96,96,97,96.71428571428571
97,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,98,98,98,98,97,97,98,97.71428571428571
98,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,99,99,99,99,98,98,99,98.71428571428571
99,God Alone,Joe Praize,100,100,100,100,99,99,100,99.71428571428571
100,Akamdinelu,Mercy Chinwo,56,56,56,56,301,301,301,161.0
