Position,song,artist
1,Sarkodie - Vibration ft. Vic Mensa (Official Video),Sarkodie
2,Crown Of Clay (Remix) (feat. Ashs The Best),Dip Doundou Guiss
3,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp
4,Jack (Visualizer),Nasty C
5,From Dusk Till Dawn (Official Audio),25K
6,Sore (Remix),Yaw Tog
7,Purple rain (feat. PsychoYP),Laime
8,Crown Of Clay (feat. Pheelz),M.I Abaga
9,A-Q - Breathe [Feat. Chike] (Official Music Video),ThisisAQ
10,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major
11,Steve Biko,Nasty C
12,City of Kings,PsychoYP
13,TBDK (feat. Erigga & Sinzu),M.I Abaga
14,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz
15,Class Clown,TNT Kenya
16,Rappers (feat. Dremo),Dreylo
17,Best I Ever Had,Nasty C
18,Rap Messiah,LADIPOE
19,Die There (Hustle),Illbliss
20,Midf (Money I Dey Find),Ycee
21,Casino,Sho Madjozi
22,A,Jesse Jagz
23,Heartbreaker (feat. Nasty C),Blaqbonez
24,"Kubo (Feat. K.O, Focalistic & Bassie) (Official Music Video)",Kwesta
25,No Fear (feat. Moliy),M.anifest and VIC MENSA
26,Truth (feat. Lil Zara),Emtee
27,Champagne Already?,LADIPOE
28,KHALIGRAPH JONES x SARKODIE - WAVY (OFFICIAL VIDEO),khaligraph jones ria
29,BLACK,Shane Eagle
30,The Live Report,AQ
31,1 of 1,Cassper Nyovest
32,40 Bars (feat. Emtee & DJ Capital),Emtee
33,Early Momo (feat. Good Girl La),Vector
34,Call Me Baby,Cheque
35,Shut Up,Blaqbonez
36,Black And White,Nasty C
37,La Hustle remix ft. Criss Wadde & Joey B (Official Video),Medikal
38,Emtee - Ithemba [C-MIX],Nasty C
39,That Year (feat. Sir Dauda),Show Dem Camp
40,STFU,Dremo
41,Blessing,VIC MENSA
42,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite
43,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz
44,What You Telling Me,Zilla Oaks
45,Big Brother,Blaqbonez
46,AcebergTM - Loyal (Official Lyrics Visualizer),Acebergtm
47,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur
48,The Target,Medikal
49,Jiggy Bop,Alpha P
