Position,song,artist
1,Sarkodie - Vibration ft. Vic Mensa (Official Video),Sarkodie
2,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp
3,Jack (Visualizer),Nasty C
4,Crown Of Clay (feat. Pheelz),M.I Abaga
5,Sore (Remix),Yaw Tog
6,Coachella ft. Kwesi Arthur (Official Video),Sarkodie
7,Breathe (feat. Chike),A-Q
8,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major
9,TBDK (feat. Erigga & Sinzu),M.I Abaga
10,Steve Biko,Nasty C
11,Best I Ever Had,Nasty C
12,City of Kings,PsychoYP
13,Class Clown,TNT Kenya
14,Rappers (feat. Dremo),Dreylo
15,The Target,Medikal
16,Rap Messiah,Ladipoe
17,Truth (feat. Lil Zara),Emtee
18,Champagne Already?,LADIPOE
19,BLACK,Shane Eagle
20,1 of 1,Cassper Nyovest
21,Die There (Hustle),Illbliss
22,Midf (Money I Dey Find),Ycee
23,KHALIGRAPH JONES x SARKODIE - WAVY (OFFICIAL VIDEO),khaligraph jones ria
24,STFU,Dremo
25,Casino,Sho Madjozi
26,"Kubo (feat. Bassie, Focalistic & K.O.)",Kwesta
27,Blessing,VIC MENSA
28,What You Telling Me,Zilla Oaks
29,The Live Report,AQ
30,Heartbreaker (feat. Nasty C),Blaqbonez
31,AcebergTM - Loyal (Official Lyrics Visualizer),Acebergtm
32,Early Momo (feat. Good Girl La),Vector
33,Own Your Throne,Boity
34,40 Bars (feat. Emtee),Emtee
35,Glory,Nyashinski
36,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur
37,Shut Up,Blaqbonez
38,Big Brother,Blaqbonez
39,Black And White,Nasty C
40,A,Jesse Jagz
41,Emtee - Ithemba [C-MIX],Nasty C
42,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz
43,Jiggy Bop,Alpha P
44,La Hustle remix ft. Criss Wadde & Joey B (Official Video),Medikal
45,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz
46,ON MY JOB (feat. PsychoYP),Sipho the Gift
47,That Year (feat. Sir Dauda),Show Dem Camp
48,No Fear (feat. Moliy),M.anifest and VIC MENSA
49,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite
50,Mainland to Island,Oladips
