Position,song,artist
1,+234 (Daily Paper),PsychoYP
2,Vibration (feat. VIC MENSA),Sarkodie
3,Crown Of Clay (Remix) (feat. Ashs The Best),Dip Doundou Guiss
4,Vipers (feat. Jesse Jagz & Tomi Thomas),Show Dem Camp
5,From Dusk Till Dawn (Official Audio) (feat. FLVME),25K
6,Tempo (feat. Rakpo & Marti),Ogranya
7,Sore (Remix),Yaw Tog
8,Big up Yo Self (feat. PsychoYP),Laime
9,A-Q - Breathe [Feat. Chike] (Official Music Video),ThisisAQ
10,"Right Now Reloaded (feat. Emtee, Nasty C, The Big Hash & Aka)",Gemini Major
11,Steve Biko,Nasty C
12,City of Kings,PsychoYP
13,TBDK (feat. Erigga & Sinzu),M.I Abaga
14,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz
15,Class Clown,TNT Kenya
16,La Hustle (Remix),Medikal
17,Best I Ever Had,Nasty C
18,Rap Messiah,LADIPOE
19,Crown Of Clay (feat. Pheelz),M.I Abaga
20,Midf (Money I Dey Find),Ycee
21,Casino,Sho Madjozi
22,Who Be This Guy (feat. M.I Abaga & Falz),Kheengz
23,A,Jesse Jagz
24,Heartbreaker (feat. Nasty C),Blaqbonez
25,Jack (Visualizer),Nasty C
26,"Kubo (Feat. K.O, Focalistic & Bassie) (Official Music Video)",Kwesta
27,40 Bars (feat. Emtee & DJ Capital),Emtee
28,No Fear (feat. Moliy),M.anifest and VIC MENSA
29,Black And White,Nasty C
30,Truth (feat. Lil Zara),Emtee
31,Champagne Already?,LADIPOE
32,KHALIGRAPH JONES x SARKODIE - WAVY (OFFICIAL VIDEO),khaligraph jones ria
33,BLACK,Shane Eagle
34,1 of 1,Cassper Nyovest
35,Early Momo (feat. Good Girl La),Vector
36,Call Me Baby,Cheque
37,Emtee - Ithemba [C-MIX],Nasty C
38,That Year (feat. Sir Dauda),Show Dem Camp
39,Die There (Hustle),Illbliss
40,STFU,Dremo
41,Blessing,VIC MENSA
42,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite
43,What You Telling Me,Zilla Oaks
44,Loyal,Acebergtm
45,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur
46,Rappers (feat. Dremo),Dreylo
47,The Target,Medikal
48,Jiggy Bop,Alpha P
49,M.anifest - La Vida,M.anifest
