Position,song,artist
1,Coachella (feat. Kwesi Arthur),Sarkodie
2,Sore (Remix),Kwesi Arthur
3,Steve Biko,Nasty C
4,TBDK (feat. Erigga & Sinzu),M.I Abaga
5,Breathe (feat. Chike),A-Q
6,Best I Ever Had,Nasty C
7,Rap Messiah,Ladipoe
8,Crown Of Clay (feat. Pheelz),M.I Abaga
9,Happy Day (feat. Kuami Eugene),Sarkodie
10,Heartbreaker (feat. Nasty C),Blaqbonez
11,Early Momo (feat. Good Girl La),Vector
12,La Hustle remix ft. Criss Waddle & Joey B [The Truth Album] (Audio Slide),Medikal
13,Black And White,Nasty C
14,Hmm (Remix) (feat. Blaqbonez & Bad Boy Timz),G4 Boyz
15,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz
16,Winning (Official Music Video) (feat. VIC MENSA),Kwesi Arthur
17,ON MY JOB (feat. PsychoYP),Sipho the Gift
18,Champagne Already?,LADIPOE
19,Shut Up,Blaqbonez
20,No Fear (feat. Moliy),M.anifest and VIC MENSA
21,A,Jesse Jagz
22,Midf (Money I Dey Find),Ycee
23,What You Telling Me,Zilla Oaks
24,The Target,Medikal
25,"Right Now Reloaded (feat. Emtee, Nasty C, Tellaman & The Big Hash)",Gemini Major
26,STFU,Dremo
27,x SARKODIE - WAVY (OFFICIAL VIDEO),khaligraph jones ria
28,That Year (feat. Sir Dauda),Show Dem Camp
29,40 Bars (feat. Emtee),Emtee
30,Problems,Darkovibes
31,Casino,Sho Madjozi
32,Rappers (feat. Dremo),Dreylo
33,Emtee - Ithemba [C-MIX],Nasty C
34,Once Again Dey Don Dey Vex Me,Ace DJ Xquisite
35,Jiggy Bop,Alpha P
36,Blessing ft. Vic Mensa (Official Video),Stonebwoy
37,1 of 1,Cassper Nyovest
38,PARIS (feat. Nasty C),Shane Eagle
39,Truth (feat. Lil Zara),Emtee
40,The Live Report,AQ
41,BLACK,Shane Eagle
42,Die There (Hustle),Illbliss
43,Mainland to Island,Oladips
44,Own Your Throne,Boity
45,City of Kings,PsychoYP
46,Class Clown,TNT Kenya
47,Glory,Nyashinski
48,Big Brother,Blaqbonez
49,"Kubo (feat. Bassie, Focalistic & K.O.)",Kwesta
