Position,song,artist
1,Drug Test,Naira Marley
2,Feel Good,Mohbad
3,Party Next Door,Bella Shmurda
4,Zinoleesky - Naira Marley (Official Video),Naira Marley
5,Coming,Naira Marley
6,Denge Pose (feat. MohBad),Lil Frosh
7,FOCUS DANCE BEAT (feat. Hagman & Abati),AJIMOVOIX DRUMS
8,Rihanna,The Kazez
9,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
10,Professor Peller [Feat. Zlatan] (Official Audio),Seyi Vibez
11,Far Away,Bella Shmurda
12,Lil Kesh x Naira Marley - Korope (Audio slide),Lil Kesh
13,Sheydi Balabala (Refix),Dj Baddo
14,KPK (Ko Por Ke) (Official Music Video) (feat. Mohbad & Sho Madjozi),Rexxie
15,Hello Ẹ,Reminisce
16,Kilamiti,Fabian Blu
17,Kilofeshe,Zinoleesky
18,God Sent,Seyi Vibez
19,KAMBA,Terry Apala
20,Happiness,Davolee
21,Cash App,Bella Shmurda
22,Mandeman (Remix) (feat. Davido),Small Doctor
23,Omo Ologo (Official Video),LilFroshVEVO
24,Koleyewon,Naira Marley
25,Bella Shmurda - Vision2020 [Official Video] ft. Olamide,Bella Shmurda
26,Gratitude (feat. Barry Jhay),Superwozzy
27,"Lyta - Are You Sure? (Official Video) ft. Zinoleesky, Emo Grae, Naira Marley",LytaVEVO
28,Lagos Anthem,Zlatan
29,Ayewada,Barry Jhay
30,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr Real
31,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",Dj Kaywise
32,Your Body,Mayorkun
33,Zinoleesky - MaPariwo (OFFICIAL VIDEO),Naira Marley
34,Chi Chi,Naira Marley
35,Triumphant (feat. Bella Shmurda),Olamide
36,All The Way,Lil Kesh
37,Lowo Lowo (Remix) (feat. Davido),May D
38,Money,Bella Shmurda
39,Available (feat. Mohbad),C Blvck
40,Baba Nla (feat. Teni),Candy Bleakz
41,90’S,Seyi Vibez
42,Caro,Idowest Ft Davido
43,See Finish (feat. Mayorkun),Dapo Tuburna
44,Ori,Barry Jhay
45,Lil Kesh & Naira Marley - O Por (Official Audio),Lil Kesh
46,Lyta - Hold Me Down (Official Video),Naira Marley
47,Love (Official Video),Davolee
48,Prayer,HotKid
49,Epo,Davido
50,Better Better,Jamopyper
