Position,song,artist
1,Naira Marley,Zinoleesky
2,Coming,Naira Marley
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
4,KPK (Ko Por Ke) (Official Music Video) (feat. Sho Madjozi & Mohbad),Rexxie
5,Lil Kesh x Naira Marley - Korope (Audio slide),Lil Kesh
6,FOCUS DANCE BEAT (feat. Hagman & Abati),AJIMOVOIX DRUMS
7,Hello Ẹ,Reminisce
8,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ
9,Cash App,Bella Shmurda
10,Chi Chi,Naira Marley
11,Sheydi Balabala (Refix),Dj Baddo
12,KAMBA,Terry Apala
13,Koleyewon,Naira Marley
14,Omo Ologo (Official Video),LilFroshVEVO
15,Mandeman (Remix) (feat. Davido),Small Doctor
16,Bella Shmurda - Vision2020 [Official Video] ft. Olamide,Bella Shmurda
17,Gratitude (feat. Barry Jhay),Superwozzy
18,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae)",LYTA
19,Lagos Anthem,Zlatan
20,World,Bella Shmurda
21,Ayewada,Barry Jhay
22,Happiness,Davolee
23,Rush,Bella Shmurda
24,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr Real
25,90’S,Seyi Vibez
26,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",Dj Kaywise
27,Better Better,Jamopyper
28,Zinoleesky Ft Naira Marley - Caro (Official video),Naira Marley
29,Your Body,Mayorkun
30,Cho Cho (feat. Davido & Mayorkun),Zlatan
31,Lyta - Hold Me Down (Official Video),Naira Marley
32,Zinoleesky - MaPariwo (OFFICIAL VIDEO),Naira Marley
33,As E Dey Go,Naira Marley
34,See Finish (feat. Mayorkun),Dapo Tuburna
35,Baba Nla (feat. Teni),Candy Bleakz
36,Triumphant (feat. Bella Shmurda),Olamide
37,Lesse passe,Bella Shmurda
38,Opor (Remix),Zlatan
39,All The Way,Lil Kesh
40,If No Be You (feat. Mayorkun),Jamopyper
41,Lowo Lowo (Remix) (feat. Davido),May D
42,Caro,Idowest Ft Davido
43,Money,Bella Shmurda
44,Love (Official Video),Davolee
45,Available (feat. Mohbad),C Blvck
46,Lil Kesh & Naira Marley - O Por (Official Audio),Lil Kesh
47,Prayer,HotKid
48,Ori,Barry Jhay
49,Epo,Davido
50,God Sent,Seyi Vibez
