Position,song,artist
1,Shako,Barry Jhay
2,Feel Good,Mohbad
3,Zinoleesky - Naira Marley (Official Video),Naira Marley
4,Party Next Door,Bella Shmurda
5,CDQ - Kogbede ft Wande Coal (Official Video) (feat. CDQ),Sossick
6,Drug Test,Naira Marley
7,Sheydi Balabala (Refix),Dj Baddo
8,FOCUS DANCE BEAT (feat. Hagman & Abati),AJIMOVOIX DRUMS
9,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
10,MAKAVELI (Official Audio),T-Classic
11,Coming,Naira Marley
12,Professor Peller [Feat. Zlatan] (Official Music Video),Seyi Vibez
13,Far Away,Bella Shmurda
14,Kilofeshe,Zinoleesky
15,Koleyewon,Naira Marley
16,Bella Shmurda - Vision2020 [Official Video] ft. Olamide,Bella Shmurda
17,KPK (Ko Por Ke) (Official Music Video) (feat. Sho Madjozi & Mohbad),Rexxie
18,Denge Pose (feat. MohBad),Lil Frosh
19,God Sent,Seyi Vibez
20,Happiness,Davolee
21,Mandeman (Remix) (feat. Davido),Small Doctor
22,Omo Ologo (Official Video),LilFroshVEVO
23,Gratitude (feat. Barry Jhay),Superwozzy
24,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",Dj Kaywise
25,KAMBA,Terry Apala
26,Better Better,Jamopyper
27,All The Way,Lil Kesh
28,"Lyta - Are You Sure? (Official Video) ft. Zinoleesky, Emo Grae, Naira Marley",LytaVEVO
29,Available (feat. Mohbad),C Blvck
30,Ori,Barry Jhay
31,Epo,Davido
32,Zinoleesky - MaPariwo (OFFICIAL VIDEO),Naira Marley
33,Your Body,Mayorkun
34,Cash App,Bella Shmurda
35,Lil Kesh & Naira Marley - O Por (Official Audio),Lil Kesh
36,Hello Ẹ,Reminisce
37,See Finish (feat. Mayorkun),Dapo Tuburna
38,Babylon,Picazo
39,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr Real
40,Money,Bella Shmurda
41,Lyta - Hold Me Down (Official Video),Naira Marley
42,Chi Chi,Naira Marley
43,Ayewada,Barry Jhay
44,Triumphant (feat. Bella Shmurda),Olamide
45,Prayer,HotKid
46,90’S,Seyi Vibez
47,Lil Kesh x Naira Marley - Korope (Audio slide),Lil Kesh
48,Paper,C Blvck
49,Lagos Anthem,Zlatan
