Position,song,artist
1,Lil Kesh x Naira Marley - Korope (Audio slide),Lil Kesh
2,KPK (Ko Por Ke) (Official Music Video),Mohbad
3,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
4,Naira Marley,Zinoleesky
5,Coming,Naira Marley
6,Omo X 100 (feat. Olamide),Reminisce
7,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ
8,Cash App,Bella Shmurda
9,Chi Chi,Naira Marley
10,Sheydi Balabala (Refix),Dj Baddo
11,KAMBA,Terry Apala
12,Koleyewon,Naira Marley
13,Omo Ologo (Official Video),LilFroshVEVO
14,Mandeman (Remix) (feat. Davido),Small Doctor
15,Bella Shmurda - Vision2020 [Official Video] ft. Olamide,Bella Shmurda
16,Gratitude (feat. Barry Jhay),Superwozzy
17,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae)",LYTA
18,Lagos Anthem,Zlatan
19,World,Bella Shmurda
20,Ayewada,Barry Jhay
21,Happiness,Davolee
22,Rush,Bella Shmurda
23,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon",Mr Real
24,90’S,Seyi Vibez
25,"What Type Of Dance (feat. Naira Marley, Zlatan & Mayorkun)",Dj Kaywise
26,Better Better,Jamopyper
27,Zinoleesky Ft Naira Marley - Caro (Official video),Naira Marley
28,Your Body,Mayorkun
29,Cho Cho (feat. Davido & Mayorkun),Zlatan
30,Lyta - Hold Me Down (Official Video),Naira Marley
31,Zinoleesky - MaPariwo (OFFICIAL VIDEO),Naira Marley
32,As E Dey Go,Naira Marley
33,See Finish (feat. Mayorkun),Dapo Tuburna
34,Baba Nla (feat. Teni),Candy Bleakz
35,Triumphant (feat. Bella Shmurda),Olamide
36,Lesse passe,Bella Shmurda
37,Opor (Remix),Zlatan
38,All The Way,Lil Kesh
39,If No Be You (feat. Mayorkun),Jamopyper
40,Lowo Lowo (Remix) (feat. Davido),May D
41,Caro,Idowest Ft Davido
42,Money,Bella Shmurda
43,Love (Official Video),Davolee
44,Available (feat. Mohbad),C Blvck
45,Lil Kesh & Naira Marley - O Por (Official Audio),Lil Kesh
46,Prayer,HotKid
47,Ori,Barry Jhay
48,Epo,Davido
49,Mad O,Dj Yk Beats
50,God Sent,Seyi Vibez
