rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Naira Marley - Zinoleesky,Zinoleesky,1,1,1,1,1,1,1,1.0
2,Coming - Naira Marley,Naira Marley,2,2,2,2,2,3,3,2.2857142857142856
3,Hallelu (feat. Bella Shmurda & Zlatan) - Masterkraft,Masterkraft,3,3,3,3,3,6,6,3.857142857142857
4,Lil Kesh x Naira Marley - Korope (Audio slide) - Lil Kesh,Lil Kesh,5,5,5,5,5,7,7,5.571428571428571
5,FOCUS DANCE BEAT (feat. Hagman & Abati) - AJIMOVOIX DRUMS,AJIMOVOIX DRUMS,6,6,6,6,6,5,5,5.714285714285714
6,Hello Ẹ - Reminisce,Reminisce,7,7,7,7,7,10,10,7.857142857142857
7,Zinoleesky - Kilofeshe (Official Video) - MarlianMusic HQ,MarlianMusic HQ,8,8,8,8,8,11,11,8.857142857142858
8,Chi Chi - Naira Marley,Naira Marley,10,10,10,10,10,12,12,10.571428571428571
9,Cash App - Bella Shmurda,Bella Shmurda,9,9,9,9,9,17,17,11.285714285714286
10,Sheydi Balabala (Refix) - Dj Baddo,Dj Baddo,11,11,11,11,11,14,14,11.857142857142858
11,KAMBA - Terry Apala,Terry Apala,12,12,12,12,12,15,15,12.857142857142858
12,Koleyewon - Naira Marley,Naira Marley,13,13,13,13,13,19,19,14.714285714285714
13,Omo Ologo (Official Video) - LilFroshVEVO,LilFroshVEVO,14,14,14,14,14,20,20,15.714285714285714
14,Mandeman (Remix) (feat. Davido) - Small Doctor,Small Doctor,15,15,15,15,15,18,18,15.857142857142858
15,Bella Shmurda - Vision2020 [Official Video] ft. Olamide - Bella Shmurda,Bella Shmurda,16,16,16,16,16,21,21,17.428571428571427
16,Gratitude (feat. Barry Jhay) - Superwozzy,Superwozzy,17,17,17,17,17,22,22,18.428571428571427
17,"Are You Sure (feat. Naira Marley, Zinoleesky & EMO Grae) - LYTA",LYTA,18,18,18,18,18,23,23,19.428571428571427
18,Happiness - Davolee,Davolee,22,22,21,21,21,16,16,19.857142857142858
19,Lagos Anthem - Zlatan,Zlatan,19,19,19,19,19,24,24,20.428571428571427
20,Ayewada - Barry Jhay,Barry Jhay,21,21,20,20,20,25,25,21.714285714285715
21,"Mr Real - Baba Fela Remix (Official Video) ft. Zlatan, Laycon - Mr Real",Mr Real,24,24,22,22,22,26,26,23.714285714285715
22,90’S - Seyi Vibez,Seyi Vibez,25,25,23,23,23,27,27,24.714285714285715
