Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Davido,248,561395,3.8%
2,30,Rema,103,429957,196%
3,4,Chike,57,399740,20.8%
4,2,Wizkid,248,397699,9%
5,5,Olamide,248,345330,5%
6,,Migos,177,339992,
7,6,Mercy Chinwo,148,327321,1.3%
8,7,Omah Lay,56,307338,0%
9,3,Joeboy,59,291694,-13.8%
10,9,Flavour,248,284457,3.9%
11,8,Burna Boy,206,274012,-4.3%
12,10,Naira Marley,136,263833,0.1%
13,15,Buju,8,261728,20.6%
14,13,Fireboy DML,113,231458,1.4%
15,14,Hamisu Breaker,68,225530,0.2%
16,100,Polo G,19,203045,226.4%
17,16,Justin Bieber,248,198549,-1.4%
18,19,LADIPOE,36,196003,5.1%
19,26,Guchi,7,184913,20.3%
20,23,Ruger,15,178334,5.9%
21,21,Teni,162,176972,-1.3%
22,18,Bella Shmurda,59,175191,-6.5%
23,20,Kizz Daniel,248,170988,-5.7%
24,11,Lil Durk,37,168766,-33.2%
25,22,Maverick City Music,59,162076,-4.1%
26,17,Zlatan,113,159248,-18.2%
27,12,Lil Baby,77,157496,-34.9%
28,24,Adekunle Gold,248,155730,-5.7%
29,29,Tekno,248,155260,6.7%
30,25,Juice WRLD,103,146305,-5.8%
31,32,Simi,18,142199,1.1%
32,31,Simi,248,139965,-2.5%
33,27,Chidinma,130,134110,-10.7%
34,28,DJ Khaled,248,127864,-12.1%
35,40,Nathaniel Bassey,226,126111,7.3%
36,34,Elevation Worship,53,124488,-5%
37,42,Pop Smoke,71,123660,6.7%
38,41,Adam A. Zango,140,123201,5.8%
39,79,Runtown,237,123195,63.1%
40,39,Timaya,237,122832,3.9%
41,38,Chris Brown,248,121100,0.7%
42,36,Drake,244,120617,-0.3%
43,44,Gyakie,21,118922,6%
44,45,P-Square,248,117137,4.8%
45,43,Patoranking,246,115327,0%
46,35,BTS,86,114336,-6.3%
47,49,Phyno,248,113561,10.7%
48,48,Tiwa Savage,248,111146,6.2%
49,55,Nicki Minaj,248,107822,9.6%
50,78,Moses Bliss,85,107667,40.3%
51,58,Rihanna,248,103244,10.7%
52,46,Peruzzi,73,103211,-3.5%
53,53,Dunsin Oyekan,87,102776,4.2%
54,50,Eminem,248,98381,-3.5%
55,57,Tion Wayne,13,98100,2.8%
56,56,Tope Alabi,144,97197,1.6%
57,51,Michael Jackson,248,95949,-4%
58,64,FUTURE,248,94748,10%
59,,Doja Cat,28,93815,
60,59,Beyoncé,248,93608,0.8%
61,54,Zinoleesky,57,91763,-6.9%
62,63,Yemi Alade,248,90181,4.6%
63,61,Sinach,246,89811,-1.5%
64,52,The Weeknd,206,89574,-10.2%
65,62,Hillsong Worship,248,89274,2.9%
66,88,Seyi Shay,22,89040,27.9%
67,68,Ada Ehi,75,87275,3%
68,66,Chioma Jesus,65,86586,1.7%
69,37,Roddy Ricch,102,84970,-29.3%
70,67,Celine Dion,248,83280,-1.8%
71,60,Mohbad,48,82918,-9.1%
72,86,Russ,12,82375,17.4%
73,75,Lil Wayne,247,81637,2.9%
74,72,Umar M. Shareef,169,80122,-1.5%
75,69,Blaqbonez,21,79269,-6.3%
76,84,Cardi B,197,79114,9.7%
77,,Maroon 5,181,77921,
78,71,Judikay,54,77752,-5.2%
79,70,Falz,248,76967,-9%
80,65,Lil Nas X,66,76875,-10%
81,47,J. Cole,54,76008,-28.5%
82,82,2Baba,248,74541,1.9%
83,83,2Pac,248,74487,2.3%
84,95,Garzali Miko,41,71553,12.2%
85,76,Young Thug,132,70471,-10.3%
86,,Kodak Black,37,70317,
87,,Megan Thee Stallion,48,70211,
88,87,R. Kelly,248,69540,-0.8%
89,80,Ariana Grande,216,69237,-6.1%
90,94,Frank Edwards,189,69065,5.9%
91,73,Mr Eazi,248,67876,-15.5%
92,93,Rexxie,29,67834,2.6%
93,85,Nura M Inuwa,171,67702,-5.4%
94,74,Kcee,82,66279,-16.9%
95,91,Cheque,28,65892,-1.6%
96,,Adeyinka Alaseyori,21,65790,
97,77,Wande Coal,156,65694,-15.1%
98,96,Ayra Starr,21,65400,3%
99,99,Westlife,248,64392,2.5%
100,98,Ed Sheeran,245,64153,1.9%
