Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Davido,246,616694,1.1%
2,2,Wizkid,246,380561,0.1%
3,3,Omah Lay,54,349739,-1%
4,31,Zlatan,111,342051,131.8%
5,4,Olamide,246,341243,0.4%
6,5,Mercy Chinwo,146,335347,3.7%
7,13,Joeboy,57,314926,37%
8,6,Burna Boy,204,308185,-2.3%
9,9,Flavour,246,288323,2.7%
10,7,Naira Marley,134,273913,-5.6%
11,8,Chike,55,266949,-5.5%
12,10,Hamisu Breaker,66,250334,-6.5%
13,19,DJ Khaled,246,230066,30.8%
14,24,Adekunle Gold,246,220105,31.5%
15,14,Justin Bieber,246,212816,-0.5%
16,15,Bella Shmurda,57,208295,-0.5%
17,18,Buju,6,203683,13.9%
18,16,Maverick City Music,57,199794,-3.6%
19,12,Fireboy DML,111,199382,-13.3%
20,35,Simi,246,196313,45.8%
21,20,Teni,160,188424,7.3%
22,34,Juice WRLD,101,183924,32.6%
23,32,LADIPOE,34,176207,19.5%
24,29,Rema,101,171134,13%
25,26,Kizz Daniel,246,168466,2.3%
26,27,Ruger,13,158311,-2%
27,25,Tekno,246,156486,-5.2%
28,11,BTS,84,153713,-35.8%
29,21,Chidinma,128,153283,-9.8%
30,28,Simi,16,152686,-4.9%
31,22,Elevation Worship,51,151582,-10.2%
32,58,Lil Durk,35,139164,45.5%
33,33,Drake,242,138254,-4.9%
34,71,Guchi,5,133388,55%
35,30,Nathaniel Bassey,224,131345,-12.4%
36,17,J. Cole,52,131274,-33.3%
37,50,Adam A. Zango,138,128927,25.4%
38,40,Patoranking,244,126408,4.4%
39,39,Chris Brown,246,124080,1.8%
40,43,Peruzzi,71,122597,2.1%
41,44,Timaya,235,120814,0.9%
42,38,Gyakie,19,119866,-4.9%
43,77,Lil Baby,75,119862,52.3%
44,42,Pop Smoke,69,119549,-0.7%
45,48,Eminem,246,119352,14.5%
46,23,Lil Nas X,64,115933,-30.8%
47,36,Nicki Minaj,246,114708,-13.2%
48,45,P-Square,246,114355,4.2%
49,37,Zinoleesky,55,112486,-12.4%
50,66,The Weeknd,204,111340,19.9%
51,46,Dunsin Oyekan,85,106808,1.7%
52,57,Michael Jackson,246,105745,9.1%
53,67,Mohbad,46,104782,14.6%
54,51,Tope Alabi,142,103116,0.5%
55,49,Phyno,246,102660,-0.4%
56,60,Sinach,244,101335,7%
57,55,Tiwa Savage,246,99959,2.5%
58,95,Kcee,80,98248,57.3%
59,62,Rihanna,246,96291,2.7%
60,64,Beyoncé,246,95730,2.7%
61,59,Chioma Jesus,63,94327,-0.6%
62,41,Lil Wayne,245,93968,-22.4%
63,69,Ada Ehi,73,93067,6.3%
64,63,Hillsong Worship,246,90981,-2.4%
65,73,FUTURE,246,90562,13.1%
66,61,Yemi Alade,246,89456,-5%
67,72,Celine Dion,246,88434,7.5%
68,68,Blaqbonez,19,87978,0.5%
69,53,Tion Wayne,11,87435,-13.6%
70,52,Nura M Inuwa,169,84460,-17.6%
71,56,Moses Bliss,83,83416,-14.3%
72,,Wande Coal,154,82795,
73,89,Bruno Mars,182,82252,26.2%
74,54,Russ,10,81955,-16.5%
75,74,Runtown,235,81626,2.1%
76,70,Mr Eazi,246,80428,-8.1%
77,,Meek Mill,205,79792,
78,76,Umar M. Shareef,167,79512,0.6%
79,88,Falz,246,79403,21%
80,47,Roddy Ricch,100,79367,-24.1%
81,75,Young Thug,130,78712,-0.9%
82,79,Cardi B,195,77020,0.7%
83,80,Ariana Grande,214,75778,-0.8%
84,93,Judikay,52,75374,19.7%
85,84,2Pac,246,73772,8%
86,81,2Baba,246,73661,1.1%
87,83,R. Kelly,246,70030,1.4%
88,78,Cheque,26,70006,-9.1%
89,99,Garzali Miko,39,69636,14.4%
90,,Billie Eilish,103,69347,
91,82,Rexxie,27,68974,-0.6%
92,65,Polo G,17,68930,-25.8%
93,,Marshmello,120,68596,
94,87,Frank Edwards,187,68524,2.6%
95,97,Westlife,246,68202,10.3%
96,91,Ed Sheeran,243,64711,1.1%
97,,Steve Crown,240,62214,
98,100,Mayorkun,229,62158,3.1%
99,90,Dj Kaywise,29,60853,-6.1%
100,92,Focalistic,15,60401,-4.2%
