Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Understand,Omah Lay,1,182663,,https://www.youtube.com/watch?v=N7N7ZJf1res
2,4,Jennifer,Guchi,9,167473,13.70%,https://www.youtube.com/watch?v=y3bQfOAsnY0
3,3,Bounce,Ruger,10,165853,-11%,https://www.youtube.com/watch?v=I9tqmugh2X8
4,2,Coming,Naira Marley & Busiswa,17,135978,-37.30%,https://www.youtube.com/watch?v=dAhmUNl62mc
5,,Bia,Phyno,1,131531,,https://www.youtube.com/watch?v=bJWzcWW-p38
6,5,Feeling,LADIPOE & Buju,10,127380,-8.60%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
7,1,HUSTLE,Teni,2,111431,-57.30%,https://www.youtube.com/watch?v=FKqlAbsGlg0
8,9,Essence (feat. Tems),Wizkid,35,109363,27.90%,https://www.youtube.com/watch?v=jipQpjUA_o8
9,,Sinner (feat. Lucky Daye),Adekunle Gold,1,106555,,https://www.youtube.com/watch?v=Gl7SQi4anVk
10,84,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,2,104844,462.80%,https://www.youtube.com/watch?v=CXjLmsOQTkA
11,7,Rock,Olamide,9,99917,-7.10%,https://www.youtube.com/watch?v=6WkxiF7nnjY
12,6,Running (To You),Chike & Simi,22,98994,-10.20%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
13,8,Soundgasm,Rema,5,97035,-3.80%,https://www.youtube.com/watch?v=nrTkERuwdCc
14,39,There Is a Place,Nathaniel Bassey,2,91813,165.50%,https://www.youtube.com/watch?v=lWGx7EL_rsQ
15,,Permission to Dance,BTS,1,88529,,https://www.youtube.com/watch?v=CuklIb9d3fI
16,10,Forever (Remix),Gyakie & Omah Lay,27,77314,-8.20%,https://www.youtube.com/watch?v=q5URc13jOv0
17,11,Celebrate Me,Patoranking,4,76450,-4%,https://www.youtube.com/watch?v=7XfOyuBSb_k
18,67,Big Thug Boys,AV,3,75936,243.80%,https://www.youtube.com/watch?v=4iJvmXekbnY
19,12,Jehovah Overdo,Chidinma,10,73272,-5.70%,https://www.youtube.com/watch?v=jgcXR4U4kEc
