rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Yahweh,Mercy Chinwo,1,1,1,1,1,1,1,1.0
2,Beautiful (feat. Nathaniel Bassey),Sinach,2,2,2,2,2,2,2,2.0
3,Everything (Amen),Timi Dakolo,3,3,3,3,3,3,3,3.0
4,Everything,Ada Ehi,4,4,4,4,4,4,4,4.0
5,INDOMITABLE,Jimmy D Psalmist,5,5,5,5,5,5,5,5.0
6,Onyedikagi (feat. Glowrie),Mercy Chinwo,6,6,6,6,6,6,6,6.0
7,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,8,8,8,8,8,8,8,8.0
8,Worship Your Maker,Dunsin Oyekan,9,9,9,9,9,9,9,9.0
9,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,10,10,10,10,10,10,10,10.0
10,Nothing Without You (feat. Kirk Whalum),Dr Tumi,11,11,11,11,11,11,11,11.0
11,Rejoice in the Lord Philippians 4:4,Victoria Orenze,12,12,12,12,12,12,12,12.0
12,One Moment,Freke Umoh,13,13,13,13,13,13,13,13.0
13,Magnify,Dare David,14,14,14,14,14,14,14,14.0
14,Obinasom,Mercy Chinwo,15,15,15,15,15,15,15,15.0
15,Jesus Jehovah,Lara George,16,16,16,16,16,16,16,16.0
16,Way Maker,Sinach,17,17,17,17,17,17,17,17.0
17,You are Yahweh,Steve Crown,18,18,18,18,18,18,18,18.0
18,We Raise a Sound (feat. 121selah),Nosa,19,19,19,19,19,19,19,19.0
19,My Father & My Friend,Elijah Oyelade,20,20,20,20,20,20,20,20.0
20,Too Faithful,Moses Bliss,21,21,21,21,21,21,21,21.0
21,Excess Love (Live) (feat. Mercy Chinwo),J.J. Hairston,22,22,22,22,22,22,22,22.0
22,Nara,Tim Godfrey,23,23,23,23,23,23,23,23.0
23,Jesus Never Fails,MaryJane Nweke,24,24,24,24,24,24,24,24.0
24,Olorun Agbaye: You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,25,25,25,25,25,25,25,25.0
25,Knowing You,Minister GUC,26,26,26,26,26,26,26,26.0
26,Love My Home,Sinach,27,27,27,27,27,27,27,27.0
27,Unchangeable,Joe Praize,28,28,28,28,28,28,28,28.0
28,Congratulations (feat. Buchi Atuonwu),Ada Ehi,29,29,29,29,29,29,29,29.0
29,Take Over,1spirit & Theopilus Sunday,30,30,30,30,30,30,30,30.0
30,You Are Worthy,Tope Alabi,31,31,31,31,31,31,31,31.0
31,Adonai [Live],Elijah Oyelade,32,32,32,32,32,32,32,32.0
32,God of Vengeance,Minister GUC,33,33,33,33,33,33,33,33.0
33,In Your Hands,Moses Bliss,34,34,34,34,34,34,34,34.0
